@relation FWD_gameweek_31

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute is_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0.330624,0.124003,0.857831,20.5,13.125,27,6.075,4,0,4.5,?
0.025281,0,0.857831,0.05,0.5,1,0.05,4,0,0.75,?
0.244492,0.21157,1.063349,15.35,11.45,43.25,7.05,7,0,2.5,?
0.193314,0.219596,1.063349,26.45,15.725,19,6.05,7,0,5.75,?
0.835899,0.251435,1.282758,47.85,13.25,45.75,10.7,9,0,8,?
0.107728,0.114495,1.854515,2,12.75,23,3.725,2,1,1.25,?
0.213329,0.024158,1.854515,2.8,3.625,16,2.2,2,1,1.25,?
0.020942,0,1.735012,0,1.05,5.25,0.45,10,1,1.5,?
0.020942,0,1.735012,0,1.05,5.25,0.45,3,1,1.5,?
0,0,1.735012,1.9,0.075,0,0.2,10,1,0.5,?
0,0,1.735012,1.9,0.075,0,0.2,3,1,0.5,?
0,0,1.735012,0,0,0,0,10,1,0,?
0,0,1.735012,0,0,0,0,3,1,0,?
0.207692,0,1.735012,3.4,3.05,12,1.825,10,1,1.75,?
0.207692,0,1.735012,3.4,3.05,12,1.825,3,1,1.75,?
0.080204,0,0.671254,0.55,2.35,13,1.5,4,1,1.25,?
0.104315,0,0.671254,0.1,0.275,5,0.55,4,1,1,?
0.075197,0,1.181558,0.05,0.15,0.5,0.075,8,1,0.25,?
0.083577,0.026156,1.181558,6.2,3.8,0.5,1.05,8,1,1.25,?
0.432405,0.019448,1.181558,20.55,6.275,39,6.6,8,1,4.75,?
0.026469,0.102938,1.181558,0.8,2.7,4.5,0.8,8,1,0.25,?
0.070352,0.097133,1.661794,4.55,3.025,8,1.525,9,0,1.5,?
0.070352,0.097133,1.661794,4.55,3.025,8,1.525,1,0,1.5,?
0.187911,0,1.661794,7.3,2.175,20,2.95,9,0,1.75,?
0.187911,0,1.661794,7.3,2.175,20,2.95,1,0,1.75,?
0.303054,0.073125,1.661794,0,0,0,0,9,0,0,?
0.303054,0.073125,1.661794,0,0,0,0,1,0,0,?
0,0,1.661794,0,0,0,0,9,0,0,?
0,0,1.661794,0,0,0,0,1,0,0,?
0,0,1.661794,0,0,0,0,9,0,0,?
0,0,1.661794,0,0,0,0,1,0,0,?
0.102806,0.035219,1.961835,6.1,9.125,10.25,2.55,8,0,1.75,?
0.136388,0,1.961835,0.45,0.825,15.75,1.6,8,0,0.75,?
0.303271,0.075086,1.068565,18.7,8.775,23.25,5.05,6,1,4,?
0.033597,0.152582,1.068565,4.45,3.075,3.5,1.1,6,1,1.25,?
0.267998,0,1.068565,8.6,0.4,23.5,3.225,6,1,1.75,?
0.258394,0,0.660855,8.5,0.35,8.75,1.75,1,1,1,?
0.2511,0,0.660855,0.75,0.025,4.25,0.5,1,1,0.25,?
0.040663,0.005315,0.902238,0,0.325,0,0.025,1,0,0.25,?
0,0,0.902238,0,0,0,0,1,0,0,?
0.15888,0.235055,1.637506,0,0,0,0,5,1,0.25,?
0.78187,0.338153,1.637506,29.85,10.95,54.25,9.525,5,1,5,?
0.111754,0.144203,1.306957,13.35,7.7,13.5,3.45,7,0,3.5,?
0.015105,0.002723,1.306957,0,0,0,0,7,0,0,?
0.055351,0.047616,1.306957,3.15,8.075,6.25,1.75,7,0,0.75,?
0.11077,0.057124,1.306957,3.8,4.075,3.5,1.125,7,0,0.75,?
0.424718,0.158157,2.639405,26.1,11.8,40.25,7.8,6,0,5.25,?
0.038538,0.003195,2.639405,3.2,5.85,8.25,1.725,6,0,2,?
0.574547,0.223804,1.346187,15.4,9.375,42.5,6.725,3,0,3.75,?
0.161152,0.123583,1.346187,3.35,11.275,17,3.15,3,0,1.75,?
0.111306,0.010063,1.346187,1.5,2.65,0,0.4,3,0,0.75,?
0.02141,0,1.346187,0,0.45,1.5,0.15,3,0,0.25,?
0.901897,0.366972,0.728259,50,26.875,45.5,12.25,2,1,10,?
0,0,0.728259,0,0,0,0,2,1,0,?
0.029361,0.016321,1.556617,7.65,4.925,9.25,2.175,10,0,1,?
0.220854,0.040074,1.556617,6.65,7.1,29,4.275,10,0,2,?
0.035429,0.092185,1.556617,3.45,8.425,8,2,10,0,1,?
0.254269,0.117631,1.556617,33.55,10.85,26,6.925,10,0,5.75,?
0.126955,0.211769,1.670632,9.9,14.375,26.25,4.95,3,1,2,?
0.281293,0.014962,1.563646,0.65,2.7,3.25,0.575,5,1,0.75,?
0.040113,0.109523,1.563646,7.5,3.4,10.5,2.15,5,1,2.25,?
