name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Granit Xhaka,MID,0.061545499,0.145208067,0.85783125,9.6,23.05,11.5,4.425,4,0,2.25,?
Mohamed Naser El Sayed Elneny,MID,0.003891529,0.010825068,0.85783125,0,0,0,0,4,0,0,?
Thomas Partey,MID,0.231873491,0.029134098,0.85783125,22.5,11.675,23.25,5.75,4,0,5,?
Nicolas Pépé,MID,0.016230086,0,0.85783125,0.7,0.675,2.5,0.275,4,0,1,?
Emile Smith Rowe,MID,0.267401466,0.004954427,0.85783125,2.15,4.65,14.75,2.175,4,0,1.25,?
Bukayo Saka,MID,0.157567997,0.249975057,0.85783125,31.15,25.975,42.25,9.925,4,0,7,?
Gabriel Teodoro Martinelli Silva,MID,0.237071229,0.105818217,0.85783125,18.7,14.3,24.5,5.75,4,0,3.75,?
Albert Sambi Lokonga,MID,0.010968072,0.125754867,0.85783125,0,0,0,0,4,0,0,?
Martin Ødegaard,MID,0.126330787,0.230398485,0.85783125,24.2,40.275,12.5,7.7,4,0,4,?
Bertrand Traoré,MID,0.006233491,0,1.0633495,0,0.4,2,0.15,7,0,0.25,?
Morgan Sanson,MID,0,0.007051584,1.0633495,2,2.95,0,0.5,7,0,0.5,?
John McGinn,MID,0.037887311,0.086124603,1.0633495,18.45,24,13,5.55,7,0,2.25,?
Emiliano Buendía Stati,MID,0.101843826,0.047642578,1.0633495,8.65,9.85,10.75,2.925,7,0,2,?
Douglas Luiz Soares de Paulo,MID,0.190159264,0,1.0633495,19,5.575,18,4.275,7,0,3.5,?
Jacob Ramsey,MID,0.045166332,0.090621259,1.0633495,23.2,15.7,6.5,4.55,7,0,4.25,?
Leon Bailey,MID,0.024148574,0.101843826,1.0633495,2.8,4.95,3.75,1.15,7,0,0.75,?
Carney Chukwuemeka,MID,0.009223213,0,1.0633495,0,0,0,0,7,0,0,?
Tim Iroegbunam,MID,0,0,1.0633495,0,0,0,0,7,0,0,?
Philippe Coutinho Correia,MID,0.353180105,0.255320739,1.0633495,31.45,25.475,35.5,9.25,7,0,6.75,?
Christian Nørgaard,MID,0.012807205,0.044010577,1.28275775,12.05,14.225,5.25,3.15,9,0,1.75,?
Tariqe Fosu-Henry,MID,0.053581476,0,1.28275775,1.3,1.2,5.25,0.775,9,0,0.25,?
Sergi Canós,MID,0.052739806,0.064698004,1.28275775,7.6,15.325,13.5,3.65,9,0,1.75,?
Vitaly Janelt,MID,0.118154238,0,1.28275775,6.85,2.75,14.5,2.4,9,0,1.75,?
Saman Ghoddos,MID,0,0.076663897,1.28275775,0,0,0,0,9,0,0,?
