inst#,actual,predicted,error,prediction
1,1:?,2:return,,0.693
2,1:?,1:no,,0.998
3,1:?,2:return,,0.847
4,1:?,2:return,,0.769
5,1:?,2:return,,0.898
6,1:?,1:no,,0.925
7,1:?,1:no,,0.956
8,1:?,1:no,,0.996
9,1:?,1:no,,0.988
10,1:?,1:no,,0.999
11,1:?,1:no,,0.998
12,1:?,1:no,,0.999
13,1:?,1:no,,0.998
14,1:?,1:no,,0.991
15,1:?,1:no,,0.974
16,1:?,1:no,,0.988
17,1:?,1:no,,0.998
18,1:?,1:no,,0.999
19,1:?,1:no,,0.987
20,1:?,2:return,,0.519
21,1:?,1:no,,0.995
22,1:?,1:no,,0.987
23,1:?,1:no,,0.98
24,1:?,1:no,,0.968
25,1:?,1:no,,0.951
26,1:?,1:no,,0.995
27,1:?,1:no,,0.993
28,1:?,1:no,,0.999
29,1:?,1:no,,0.998
30,1:?,1:no,,0.999
31,1:?,1:no,,0.998
32,1:?,1:no,,0.973
33,1:?,1:no,,0.999
34,1:?,2:return,,0.586
35,1:?,1:no,,0.971
36,1:?,1:no,,0.98
37,1:?,1:no,,0.996
38,1:?,1:no,,0.996
39,1:?,1:no,,0.998
40,1:?,1:no,,0.998
41,1:?,1:no,,0.99
42,1:?,2:return,,0.932
43,1:?,1:no,,0.9
44,1:?,1:no,,0.998
45,1:?,1:no,,0.992
46,1:?,1:no,,0.992
47,1:?,2:return,,0.898
48,1:?,1:no,,0.988
49,1:?,2:return,,0.896
50,1:?,1:no,,0.845
51,1:?,1:no,,0.995
52,1:?,1:no,,0.998
53,1:?,2:return,,0.932
54,1:?,1:no,,0.998
55,1:?,1:no,,0.999
56,1:?,1:no,,0.91
57,1:?,1:no,,0.995
58,1:?,2:return,,0.546
59,1:?,1:no,,0.799
60,1:?,1:no,,0.99
61,1:?,1:no,,0.98

