inst#,actual,predicted,error,prediction
1,1:?,2:return,,0.568
2,1:?,1:no,,0.508
3,1:?,2:return,,0.568
4,1:?,2:return,,0.512
5,1:?,2:return,,0.542
6,1:?,2:return,,0.542
7,1:?,2:return,,0.669
8,1:?,2:return,,0.66
9,1:?,1:no,,0.501
10,1:?,2:return,,0.618
11,1:?,2:return,,0.534
12,1:?,2:return,,0.65
13,1:?,2:return,,0.986
14,1:?,2:return,,0.991
15,1:?,2:return,,0.605
16,1:?,2:return,,0.528
17,1:?,1:no,,0.517
18,1:?,2:return,,0.522
19,1:?,2:return,,0.514
20,1:?,2:return,,0.658
21,1:?,1:no,,0.522
22,1:?,2:return,,0.625
23,1:?,1:no,,0.539
24,1:?,2:return,,0.563
25,1:?,2:return,,0.663
26,1:?,2:return,,0.658
27,1:?,2:return,,0.663
28,1:?,2:return,,0.61
29,1:?,2:return,,0.673
30,1:?,2:return,,0.673
31,1:?,2:return,,0.566
32,1:?,2:return,,0.613
33,1:?,2:return,,0.613
34,1:?,2:return,,0.574
35,1:?,2:return,,0.527
36,1:?,2:return,,0.581
37,1:?,2:return,,1
38,1:?,2:return,,0.562
39,1:?,2:return,,0.597
40,1:?,2:return,,0.646
41,1:?,2:return,,0.571
42,1:?,2:return,,0.647
43,1:?,1:no,,0.53
44,1:?,2:return,,0.532
45,1:?,2:return,,0.65
46,1:?,2:return,,0.599
47,1:?,2:return,,0.65
48,1:?,2:return,,0.613
49,1:?,2:return,,0.553

