name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Bernd Leno,GK,0.0,0.0,0.8830912500000001,1.5,0.0,0.0,0.15,6,1,1.5,?
Aaron Ramsdale,GK,0.0,0.0,0.8830912500000001,11.899999999999999,0.0,0.0,1.175,6,1,2.75,?
Emiliano Martínez,GK,0.0,0.0,1.1363595,14.85,0.0,0.0,1.475,7,1,3.0,?
Robin Olsen,GK,0,0,1.1363595,0.0,0.0,0.0,0.0,7,1,0.0,?
David Raya Martin,GK,0.0,0.0,1.04186025,29.65,0.0,0.0,2.95,9,1,3.75,?
Álvaro Fernández,GK,0.0,0.0,1.04186025,0.0,0.0,0.0,0.0,9,1,0.0,?
Jonas Lössl,GK,0.0,0.0,1.04186025,0.0,0.0,0.0,0.0,9,1,0.0,?
Jason Steele,GK,0.0,0.0,1.6523679999999998,0.0,0.0,0.0,0.0,8,0,0.0,?
Robert Sánchez,GK,0.0,0.0,1.6523679999999998,26.849999999999998,0.0,0.0,2.7,8,0,3.0,?
Nick Pope,GK,0.0,0.0,1.88062,9.45,0.0,0.0,0.9500000000000001,2,0,0.75,?
Will Norris,GK,0,0,1.88062,0.0,0.0,0.0,0.0,2,0,0.0,?
Wayne Hennessey,GK,0.0,0.07637932151556015,1.88062,0.0,0.0,0.0,0.0,2,0,0.0,?
Kepa Arrizabalaga,GK,0.0,0.0,1.1238029999999999,0.0,0.0,0.0,0.0,6,0,0.0,?
Edouard Mendy,GK,0.0,0.0,1.1238029999999999,11.55,0.0,0.0,1.125,6,0,3.25,?
Vicente Guaita,GK,0.0,0.0,1.0147632500000001,21.4,0.0,0.0,2.125,5,0,6.0,?
Jack Butland,GK,0.0,0.0,1.0147632500000001,2.45,0.0,0.0,0.25,5,0,0.5,?
Jordan Pickford,GK,0.0,0.0,1.55238125,9.55,0.0,0.0,0.9500000000000001,8,1,1.0,?
Asmir Begović,GK,0.0,0.0,1.55238125,10.65,0.0,0.0,1.075,8,1,2.75,?
Kasper Schmeichel,GK,0.0,0.003967297729104757,1.92683175,38.7,2.5,0.0,4.125,4,1,4.5,?
Eldin Jakupovic,GK,0,0,1.92683175,0.0,0.0,0.0,0.0,4,1,0.0,?
Illan Meslier,GK,0.0,0.0,1.4947500000000002,26.6,0.0,0.0,2.65,1,0,2.25,?
Adrián San Miguel del Castillo,GK,0,0,0.8137945,0.0,0.0,0.0,0.0,10,0,0.0,?
Alisson Ramses Becker,GK,0.0,0.0,0.8137945,22.6,0.0,0.0,2.25,10,0,7.5,?
Caoimhin Kelleher,GK,0.0,0.0,0.8137945,0.0,0.0,0.0,0.0,10,0,0.0,?
Ederson Santana de Moraes,GK,0.0,0.0,0.416431325,15.849999999999998,0.0,0.0,1.575,10,1,4.75,?
Zack Steffen,GK,0.0,0.0,0.416431325,0.0,0.0,0.0,0.0,10,1,0.0,?
Scott Carson,GK,0,0,0.416431325,0.0,0.0,0.0,0.0,10,1,0.0,?
David de Gea,GK,0.0,0.0,1.4704112499999997,21.15,0.0,0.0,2.1,3,0,2.75,?
Dean Henderson,GK,0,0,1.4704112499999997,0.0,0.0,0.0,0.0,3,0,0.0,?
Tom Heaton,GK,0,0,1.4704112499999997,0.0,0.0,0.0,0.0,3,0,0.0,?
Karl Darlow,GK,0.0,0.0,1.79649475,0.0,0.0,0.0,0.0,7,1,0.0,?
Martin Dubravka,GK,0.0,0.0,1.79649475,18.650000000000002,0.0,0.0,1.8499999999999999,7,1,1.75,?
Michael McGovern,GK,0,0,2.46299,0.0,0.0,0.0,0.0,1,1,0.0,?
Tim Krul,GK,0.0,0.11980179697275162,2.46299,29.25,3.325,0.0,3.25,1,1,4.5,?
Angus Gunn,GK,0.0,0.0,2.46299,0.0,0.0,0.0,0.0,1,1,0.0,?
Fraser Forster,GK,0.0,0.0,1.61675575,22.0,0.0,0.0,2.225,9,1,1.5,?
Willy Caballero,GK,0.0,0.0,1.61675575,0.0,0.0,0.0,0.0,9,1,0.0,?
Hugo Lloris,GK,0.0,0.0,0.8107314999999999,8.4,0.0,0.0,0.8500000000000001,5,0,3.0,?
Pierluigi Gollini,GK,0,0,0.8107314999999999,0.0,0.0,0.0,0.0,5,0,0.0,?
Ben Foster,GK,0.0,0.0,1.5121025000000001,16.1,0.0,0.0,1.6,3,1,1.25,?
Daniel Bachmann,GK,0.0,0.0,1.5121025000000001,0.0,0.0,0.0,0.0,3,1,0.0,?
Darren Randolph,GK,0,0,1.612089,0.0,0.0,0.0,0.0,4,0,0.0,?
Lukasz Fabianski,GK,0.0,0.0,1.612089,24.65,0.0,0.0,2.4749999999999996,4,0,2.5,?
Alphonse Areola,GK,0.0,0.0,1.612089,0.0,0.0,0.0,0.0,4,0,0.0,?
John Ruddy,GK,0,0,1.4073885,0.0,0.0,0.0,0.0,2,0,0.0,?
José Malheiro de Sá,GK,0.0,0.0,1.4073885,16.700000000000003,0.0,0.0,1.7000000000000002,2,0,4.0,?
