inst#,actual,predicted,error,prediction
1,1:?,1:no,,0.633
2,1:?,1:no,,0.992
3,1:?,2:return,,0.685
4,1:?,1:no,,0.875
5,1:?,2:return,,0.898
6,1:?,1:no,,0.956
7,1:?,1:no,,0.8
8,1:?,1:no,,0.998
9,1:?,1:no,,0.998
10,1:?,1:no,,0.998
11,1:?,1:no,,0.974
12,1:?,1:no,,0.955
13,1:?,1:no,,0.998
14,1:?,1:no,,0.998
15,1:?,1:no,,0.992
16,1:?,2:return,,0.72
17,1:?,1:no,,0.992
18,1:?,1:no,,0.987
19,1:?,1:no,,0.986
20,1:?,1:no,,0.995
21,1:?,1:no,,0.999
22,1:?,1:no,,0.999
23,1:?,2:return,,0.586
24,1:?,1:no,,0.998
25,1:?,2:return,,0.676
26,1:?,1:no,,0.971
27,1:?,1:no,,0.984
28,1:?,1:no,,0.999
29,1:?,1:no,,0.999
30,1:?,1:no,,0.999
31,1:?,1:no,,0.982
32,1:?,1:no,,0.998
33,1:?,1:no,,0.991
34,1:?,1:no,,0.998
35,1:?,2:return,,0.898
36,1:?,1:no,,0.525
37,1:?,1:no,,0.997
38,1:?,1:no,,0.999
39,1:?,2:return,,0.932
40,1:?,1:no,,0.998
41,1:?,1:no,,0.98
42,1:?,1:no,,0.919
43,1:?,1:no,,0.992
44,1:?,2:return,,0.857
45,1:?,1:no,,0.614
46,1:?,1:no,,0.974
47,1:?,1:no,,0.98

