inst#,actual,predicted,error,prediction
1,1:?,2:return,,0.532
2,1:?,2:return,,0.51
3,1:?,2:return,,0.502
4,1:?,2:return,,0.57
5,1:?,1:no,,0.508
6,1:?,2:return,,0.536
7,1:?,2:return,,0.536
8,1:?,2:return,,0.563
9,1:?,2:return,,0.518
10,1:?,2:return,,0.649
11,1:?,2:return,,0.669
12,1:?,2:return,,0.992
13,1:?,2:return,,0.587
14,1:?,2:return,,0.513
15,1:?,2:return,,0.558
16,1:?,2:return,,0.584
17,1:?,2:return,,0.532
18,1:?,1:no,,0.508
19,1:?,2:return,,0.541
20,1:?,2:return,,0.632
21,1:?,2:return,,0.654
22,1:?,2:return,,0.512
23,1:?,2:return,,0.508
24,1:?,2:return,,0.512
25,1:?,1:no,,0.579
26,1:?,1:no,,0.508
27,1:?,1:no,,0.508
28,1:?,2:return,,0.596
29,1:?,2:return,,0.648
30,1:?,2:return,,0.648
31,1:?,2:return,,0.58
32,1:?,2:return,,0.541
33,1:?,2:return,,0.68
34,1:?,2:return,,1
35,1:?,2:return,,0.68
36,1:?,2:return,,0.521
37,1:?,2:return,,0.548
38,1:?,2:return,,0.52
39,1:?,2:return,,0.593
40,1:?,2:return,,0.621
41,1:?,2:return,,0.649
42,1:?,2:return,,0.631
43,1:?,2:return,,0.589
44,1:?,2:return,,0.631
45,1:?,2:return,,0.666
46,1:?,2:return,,0.6

