name,pos,return_confidence
Bernd Leno,GK,0.521
Aaron Ramsdale,GK,0.544
David Raya Martin,GK,0.543
Alvaro Fernandes,GK,0.663
Jonas LÃ¶ssl,GK,0.663
Robert SÃ¡nchez,GK,0.521
Kepa Arrizabalaga,GK,0.563
Vicente Guaita,GK,0.62
Jack Butland,GK,0.651
Asmir BegoviÄ‡,GK,0.552
AdriÃ¡n San Miguel del Castillo,GK,0.554
Caoimhin Kelleher,GK,0.554
Ederson Santana de Moraes,GK,0.502
Zack Steffen,GK,0.574
Scott Carson,GK,0.574
David de Gea,GK,0.645
Michael McGovern,GK,0.547
Tim Krul,GK,1
Angus Gunn,GK,0.547
Hugo Lloris,GK,0.521
Pierluigi Gollini,GK,0.591
Ben Foster,GK,0.613
Daniel Bachmann,GK,0.641
Darren Randolph,GK,0.697
Lukasz Fabianski,GK,0.669
Alphonse Areola,GK,0.697
Rico Henry,DEF,0.527
Kristoffer Ajer,DEF,0.595
Marcos Alonso,DEF,0.758
Joachim Andersen,DEF,0.578
Joel Matip,DEF,0.554
Andrew Robertson,DEF,0.577
Trent Alexander-Arnold,DEF,0.507
JoÃ£o Pedro Cavaco Cancelo,DEF,0.736
Alex Nicolao Telles,DEF,0.634
Fabian SchÃ¤r,DEF,0.547
Ben Davies,DEF,0.562
Sergio ReguilÃ³n,DEF,0.573
Cristian Romero,DEF,0.562
Emerson Aparecido Leite de Souza Junior,DEF,0.573
Aaron Cresswell,DEF,0.55
Vitaly Janelt,MID,0.78
Bryan Mbeumo,MID,0.991
Christian Eriksen,MID,0.631
Mason Mount,MID,0.978
Kai Havertz,MID,0.988
Wilfried Zaha,MID,0.991
Anthony Gordon,MID,0.521
Mohamed Salah,MID,0.898
Diogo Jota,MID,0.765
Jack Grealish,MID,0.616
Ilkay GÃ¼ndogan,MID,0.518
Kevin De Bruyne,MID,0.996
Riyad Mahrez,MID,0.553
Raheem Sterling,MID,0.508
Bernardo Mota Veiga de Carvalho e Silva,MID,0.914
Heung-Min Son,MID,0.998
Dejan Kulusevski,MID,0.979
SaÃ¯d Benrahma,MID,0.905
Ivan Toney,FWD,0.932
Timo Werner,FWD,0.857
Jean-Philippe Mateta,FWD,0.72
Richarlison de Andrade,FWD,0.903
Teemu Pukki,FWD,0.898
Che Adams,FWD,0.583
Harry Kane,FWD,0.932
Jason Steele,GK,1.0899999999999999
Nick Pope,GK,1.084
Will Norris,GK,1.143
Wayne Hennessey,GK,1.976
Kasper Schmeichel,GK,1.271
Eldin Jakupovic,GK,1.299
Dean Henderson,GK,1.1960000000000002
Tom Heaton,GK,1.1960000000000002
Karl Darlow,GK,1.262
Martin Dubravka,GK,1.1320000000000001
Fraser Forster,GK,1.233
Willy Caballero,GK,1.251
Bukayo Saka,MID,1.756
Maxwel Cornet,MID,1.513
James Maddison,MID,1.866
Jadon Sancho,MID,1.3479999999999999
Stuart Armstrong,MID,1.13
Cristiano Ronaldo dos Santos Aveiro,FWD,1.41
