@relation DEF_gameweek_33

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute was_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0.026343,0.112935,0.89484,16.2,21.2,2.75,4.025,6,0,2,?
0.026343,0.112935,0.89484,16.2,21.2,2.75,4.025,9,0,2,?
0.011387,0,0.89484,0,0,0,0,6,0,0.25,?
0.011387,0,0.89484,0,0,0,0,9,0,0.25,?
0.053112,0.013173,0.89484,16.35,9.125,17.5,4.275,6,0,2.75,?
0.053112,0.013173,0.89484,16.35,9.125,17.5,4.275,9,0,2.75,?
0,0,0.89484,15.25,1.375,1,1.775,6,0,2.5,?
0,0,0.89484,15.25,1.375,1,1.775,9,0,2.5,?
0,0.010045,0.89484,0.95,0.175,0.5,0.175,6,0,0,?
0,0.010045,0.89484,0.95,0.175,0.5,0.175,9,0,0,?
0.003311,0.118637,0.909731,11.45,17.025,0.75,2.9,1,0,4,?
0,0,0.909731,2.45,1,1,0.45,1,0,1,?
0.01467,0.033339,0.909731,0,0,0,0,1,0,0,?
0,0,0.909731,15.3,0.4,1.5,1.7,1,0,4,?
0.048225,0.116913,0.909731,13,4.75,18.25,3.575,1,0,3.75,?
0,0.028888,0.909731,0,0,0,0,1,0,0,?
0.035543,0.005766,0.909731,3.05,0.075,0.5,0.375,1,0,1.5,?
0.07226,0.010553,1.845181,3.5,2.925,7,1.35,7,0,0.25,?
0.07226,0.010553,1.845181,3.5,2.925,7,1.35,10,0,0.25,?
0.033126,0.077639,1.845181,17.9,5.8,11.75,3.55,7,0,2.5,?
0.033126,0.077639,1.845181,17.9,5.8,11.75,3.55,10,0,2.5,?
0.296334,0,1.845181,1.5,0,0,0.15,7,0,0.25,?
0.296334,0,1.845181,1.5,0,0,0.15,10,0,0.25,?
0.095788,0.008068,1.845181,17.6,4.95,11.5,3.425,7,0,2.5,?
0.095788,0.008068,1.845181,17.6,4.95,11.5,3.425,10,0,2.5,?
0.02081,0.009292,1.845181,4.4,7.225,4.25,1.575,7,0,2,?
0.02081,0.009292,1.845181,4.4,7.225,4.25,1.575,10,0,2,?
0.005499,0.165759,1.845181,20.05,23.7,3.5,4.75,7,0,3,?
0.005499,0.165759,1.845181,20.05,23.7,3.5,4.75,10,0,3,?
0,0.003153,1.857035,36.4,2.9,3,4.225,9,0,0.75,?
0,0.003153,1.857035,36.4,2.9,3,4.225,6,1,0.75,?
0,0,1.857035,0,0,0,0,9,0,0,?
0,0,1.857035,0,0,0,0,6,1,0,?
