@relation FWD_gameweek_33

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute was_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0.084677,0.114515,0.89484,3.8,10.1,15.75,2.9,6,0,2,?
0.084677,0.114515,0.89484,3.8,10.1,15.75,2.9,9,0,2,?
0.173897,0.104336,0.89484,1.25,6.175,8.25,1.575,6,0,1,?
0.173897,0.104336,0.89484,1.25,6.175,8.25,1.575,9,0,1,?
0.761123,0.320065,0.909731,40.8,28.175,63.5,13.275,1,0,7.75,?
0.371361,0.121843,1.845181,0.45,11.775,18.5,2.8,7,0,0.5,?
0.371361,0.121843,1.845181,0.45,11.775,18.5,2.8,10,0,0.5,?
0.076793,0.06038,1.845181,10.45,16.425,17.25,4.425,7,0,1.5,?
0.076793,0.06038,1.845181,10.45,16.425,17.25,4.425,10,0,1.5,?
0.266544,0.025759,1.857035,10.9,7.3,24.25,4.25,9,0,2.75,?
0.266544,0.025759,1.857035,10.9,7.3,24.25,4.25,6,1,2.75,?
0,0,1.857035,0.5,0.025,0.5,0.1,9,0,0.5,?
0,0,1.857035,0.5,0.025,0.5,0.1,6,1,0.5,?
0.045466,0.126967,1.857035,3.8,2.975,4.25,1.025,9,0,1.25,?
0.045466,0.126967,1.857035,3.8,2.975,4.25,1.025,6,1,1.25,?
0,0,1.857035,0,0,0,0,9,0,0,?
0,0,1.857035,0,0,0,0,6,1,0,?
0.020643,0.012975,1.857035,2,4,7.25,1.3,9,0,1.5,?
0.020643,0.012975,1.857035,2,4,7.25,1.3,6,1,1.5,?
0.639122,0.030356,1.052677,19.2,13.625,47.25,7.925,8,1,5.25,?
0.075197,0,1.170575,0.05,0.15,0.5,0.075,2,0,0.25,?
0.083961,0.043624,1.170575,12.9,3.725,12.25,2.9,2,0,2.75,?
0.510242,0.019448,1.170575,22.05,6,46.5,7.475,2,0,4.75,?
0.026469,0.102938,1.170575,0.8,3.275,4.5,0.85,2,0,0.25,?
0.036437,0.110199,1.315337,5.05,7.175,5.75,1.8,5,1,2.5,?
0.55606,0.048182,1.315337,36.3,15.075,50.75,10.225,5,1,5,?
0.164897,0.02994,1.315337,0,0,1,0.025,5,1,0.25,?
0,0,1.315337,0,0,0,0,5,1,0,?
0,0,1.315337,0,0,0,0,5,1,0,?
0.270257,0.017637,1.772777,9.75,9.9,16.5,3.625,2,0,3,?
0.270257,0.017637,1.772777,9.75,9.9,16.5,3.625,3,0,3,?
0.004609,0,1.772777,0.6,0.275,4.5,0.425,2,0,1,?
0.004609,0,1.772777,0.6,0.275,4.5,0.425,3,0,1,?
0.257147,0,0.81584,11.4,1.725,20.25,3.325,8,1,1.75,?
0.2511,0,0.81584,0,0,0,0,8,1,0,?
0.357234,0.101552,0.548684,9.45,3.475,29,4.1,6,1,2.5,?
0,0,0.548684,0,0,0,0,6,1,0,?
0.613664,0.066848,1.450439,27.35,5.275,36,6.875,2,1,4.5,?
0.613664,0.066848,1.450439,27.35,5.275,36,6.875,10,0,4.5,?
0.247003,0.037575,1.423624,10.5,6.65,14.5,3.1,5,1,3.75,?
0.247003,0.037575,1.423624,10.5,6.65,14.5,3.1,4,1,3.75,?
0.015105,0.002723,1.423624,0,0,0,0,5,1,0,?
0.015105,0.002723,1.423624,0,0,0,0,4,1,0,?
0.076446,0.013914,1.423624,4.65,9.7,13,2.725,5,1,1.25,?
0.076446,0.013914,1.423624,4.65,9.7,13,2.725,4,1,1.25,?
0.015332,0.032712,1.423624,3.5,4.775,7.25,1.525,5,1,1,?
0.015332,0.032712,1.423624,3.5,4.775,7.25,1.525,4,1,1,?
0.571441,0.344372,2.26946,25.7,15.15,42,8.275,8,0,5.75,?
0.366232,0.250244,2.002516,10.8,15.4,30.75,5.725,8,1,2.75,?
0.366232,0.250244,2.002516,10.8,15.4,30.75,5.725,1,0,2.75,?
0.114521,0.031278,2.002516,0.85,6.825,10.5,1.8,8,1,1.25,?
0.114521,0.031278,2.002516,0.85,6.825,10.5,1.8,1,0,1.25,?
0.014859,0,2.002516,0.15,1.55,4,0.525,8,1,0.5,?
0.014859,0,2.002516,0.15,1.55,4,0.525,1,0,0.5,?
0.606869,0.628099,0.927987,38.15,40.625,40.75,11.95,6,1,8.75,?
0,0,0.927987,0,0,0,0,6,1,0,?
0.124609,0.136249,1.484863,6.5,8.625,9.5,2.475,4,1,1.5,?
0.034849,0.028541,1.484863,6.65,7.825,8.75,2.35,4,1,1.5,?
0.022818,0.057416,1.484863,1.35,5.575,3,1,4,1,1,?
0.253578,0.035063,1.528762,3.9,13.05,19.5,3.45,1,1,2,?
