name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
Granit Xhaka,MID,0.017787944,0.04136572,0.89484025,13.7,16.925,5.25,3.6,6,0,3,?
Granit Xhaka,MID,0.017787944,0.04136572,0.89484025,13.7,16.925,5.25,3.6,9,0,3,?
Mohamed Naser El Sayed Elneny,MID,0.003891529,0.010825068,0.89484025,0,0,0,0,6,0,0,?
Mohamed Naser El Sayed Elneny,MID,0.003891529,0.010825068,0.89484025,0,0,0,0,9,0,0,?
Nicolas Pépé,MID,0.167571276,0,0.89484025,0.75,1,14.5,1.575,6,0,0.75,?
Nicolas Pépé,MID,0.167571276,0,0.89484025,0.75,1,14.5,1.575,9,0,0.75,?
Emile Smith Rowe,MID,0.274487061,0.053731836,0.89484025,5.2,15.275,20.25,4.075,6,0,2,?
Emile Smith Rowe,MID,0.274487061,0.053731836,0.89484025,5.2,15.275,20.25,4.075,9,0,2,?
Bukayo Saka,MID,0.112168705,0.418036258,0.89484025,18,33.925,29.25,8.125,6,0,4,?
Bukayo Saka,MID,0.112168705,0.418036258,0.89484025,18,33.925,29.25,8.125,9,0,4,?
Gabriel Teodoro Martinelli Silva,MID,0.143441742,0.075586434,0.89484025,5.3,10.8,24.25,4.025,6,0,1.25,?
Gabriel Teodoro Martinelli Silva,MID,0.143441742,0.075586434,0.89484025,5.3,10.8,24.25,4.025,9,0,1.25,?
Albert Sambi Lokonga,MID,0.013755265,0.025655924,0.89484025,4.9,6.55,2,1.35,6,0,0.5,?
Albert Sambi Lokonga,MID,0.013755265,0.025655924,0.89484025,4.9,6.55,2,1.35,9,0,0.5,?
Martin Ødegaard,MID,0.247073798,0.041837336,0.89484025,13.1,11.275,19.5,4.2,6,0,3.5,?
Martin Ødegaard,MID,0.247073798,0.041837336,0.89484025,13.1,11.275,19.5,4.2,9,0,3.5,?
Christian Nørgaard,MID,0.031103939,0.011304201,0.90973125,14.3,8.625,7,3,1,0,2.25,?
Tariqe Fosu-Henry,MID,0.053581476,0,0.90973125,1.3,1.2,5.25,0.775,1,0,0.25,?
Sergi Canós,MID,0.062988798,0.064698004,0.90973125,5.7,12.1,8.75,2.675,1,0,1.25,?
Vitaly Janelt,MID,0.180699429,0.176137282,0.90973125,23.8,9.25,29.25,6.225,1,0,5.5,?
Saman Ghoddos,MID,0,0.076663897,0.90973125,0,0,0,0,1,0,0,?
Mathias Jensen,MID,0.036302801,0.003586933,0.90973125,3.7,5.65,4.5,1.4,1,0,1.25,?
Bryan Mbeumo,MID,0.43272187,0.38736879,0.90973125,33.8,26.475,53.75,11.4,1,0,7.5,?
Shandon Baptiste,MID,0.033369038,0.026314246,0.90973125,1.95,5.5,5,1.25,1,0,0.25,?
Yoane Wissa,MID,0.035464955,0.088077608,0.90973125,21,8.85,11,4.075,1,0,4.5,?
Christian Eriksen,MID,0.217023968,0.210204953,0.90973125,27.95,21.5,14.75,6.4,1,0,4.5,?
Adam Lallana,MID,0.014473821,0.004831516,1.8451805,1.8,0.05,0,0.175,7,0,0.5,?
Adam Lallana,MID,0.014473821,0.004831516,1.8451805,1.8,0.05,0,0.175,10,0,0.5,?
