name,pos,prediction,confidence_score
Bernd Leno,GK,2:return,0.558
Aaron Ramsdale,GK,2:return,0.523
Emiliano Martínez,GK,2:return,0.543
Robin Olsen,GK,2:return,0.58
David Raya Martin,GK,1:no,0.569
Alvaro Fernandes,GK,2:return,0.548
Jonas Lössl,GK,2:return,0.548
Jason Steele,GK,2:return,0.636
Robert Sánchez,GK,2:return,0.561
Nick Pope,GK,2:return,0.549
Will Norris,GK,2:return,0.59
Wayne Hennessey,GK,2:return,0.989
Kepa Arrizabalaga,GK,2:return,0.585
Kepa Arrizabalaga,GK,2:return,0.546
Edouard Mendy,GK,2:return,0.513
Edouard Mendy,GK,1:no,0.526
Vicente Guaita,GK,2:return,0.596
Jack Butland,GK,2:return,0.653
Jordan Pickford,GK,1:no,0.61
Asmir Begović,GK,2:return,0.517
Kasper Schmeichel,GK,2:return,0.627
Eldin Jakupovic,GK,2:return,0.66
Illan Meslier,GK,2:return,0.561
Adrián San Miguel del Castillo,GK,2:return,0.655
Alisson Ramses Becker,GK,2:return,0.594
Caoimhin Kelleher,GK,2:return,0.655
Ederson Santana de Moraes,GK,2:return,0.596
Zack Steffen,GK,2:return,0.665
Scott Carson,GK,2:return,0.665
David de Gea,GK,2:return,0.512
David de Gea,GK,2:return,0.52
Dean Henderson,GK,2:return,0.548
Dean Henderson,GK,2:return,0.556
Tom Heaton,GK,2:return,0.548
Tom Heaton,GK,2:return,0.556
Karl Darlow,GK,2:return,0.672
Martin Dubravka,GK,2:return,0.6
Michael McGovern,GK,2:return,0.622
Tim Krul,GK,2:return,1
Angus Gunn,GK,2:return,0.622
Fraser Forster,GK,2:return,0.565
Alex McCarthy,GK,2:return,0.581
Willy Caballero,GK,2:return,0.578
Hugo Lloris,GK,2:return,0.516
Pierluigi Gollini,GK,2:return,0.583
Ben Foster,GK,1:no,0.517
Daniel Bachmann,GK,2:return,0.521
Darren Randolph,GK,2:return,0.536
Lukasz Fabianski,GK,2:return,0.501
Alphonse Areola,GK,2:return,0.536
John Ruddy,GK,2:return,0.658
José Malheiro de Sá,GK,2:return,0.599
Cédric Soares,DEF,1:no,0.595
Rob Holding,DEF,1:no,0.923
Gabriel Magalhães,DEF,1:no,0.629
Ben White,DEF,1:no,0.864
Nuno Varela Tavares,DEF,1:no,0.757
Calum Chambers,DEF,1:no,0.987
Tyrone Mings,DEF,1:no,0.857
Matthew Cash,DEF,1:no,0.753
Ezri Konsa Ngoyo,DEF,1:no,0.808
Ashley Young,DEF,1:no,0.862
Pontus Jansson,DEF,2:return,0.591
Rico Henry,DEF,1:no,0.68
Mads Roerslev Rasmussen,DEF,1:no,0.988
Mads Bech Sørensen,DEF,1:no,0.856
Kristoffer Ajer,DEF,2:return,0.554
Finley Stevens,DEF,1:no,0.999
Lewis Dunk,DEF,2:return,0.655
Adam Webster,DEF,1:no,0.998
Joël Veltman,DEF,2:return,0.645
Tariq Lamptey,DEF,1:no,0.59
Marc Cucurella,DEF,2:return,0.666
James Tarkowski,DEF,1:no,0.639
Phil Bardsley,DEF,1:no,0.999
Kevin Long,DEF,1:no,0.999
Matthew Lowton,DEF,1:no,0.822
Charlie Taylor,DEF,1:no,0.644
Nathan Collins,DEF,2:return,0.657
Connor Roberts,DEF,1:no,0.706
César Azpilicueta,DEF,1:no,0.701
César Azpilicueta,DEF,1:no,0.813
Thiago Emiliano da Silva,DEF,1:no,0.87
Thiago Emiliano da Silva,DEF,1:no,0.925
Marcos Alonso,DEF,2:return,0.75
Marcos Alonso,DEF,2:return,0.618
Reece James,DEF,1:no,0.862
Reece James,DEF,1:no,0.92
Malang Sarr,DEF,1:no,0.9
Malang Sarr,DEF,1:no,0.944
Trevoh Chalobah,DEF,1:no,0.897
Trevoh Chalobah,DEF,1:no,0.941
James Tomkins,DEF,1:no,0.998
Cheikhou Kouyaté,DEF,1:no,0.685
Martin Kelly,DEF,1:no,0.999
Tyrick Mitchell,DEF,1:no,0.675
Joel Ward,DEF,1:no,0.855
Marc Guéhi,DEF,2:return,0.645
Joachim Andersen,DEF,2:return,0.64
Nathaniel Clyne,DEF,1:no,0.796
Seamus Coleman,DEF,1:no,0.955
Michael Keane,DEF,1:no,0.967
Yerry Mina,DEF,1:no,0.967
Mason Holgate,DEF,1:no,0.918
Ben Godfrey,DEF,1:no,0.923
Jonjoe Kenny,DEF,1:no,0.919
Jarrad Branthwaite,DEF,1:no,1
Vitalii Mykolenko,DEF,1:no,0.887
Jonny Evans,DEF,1:no,0.898
Ricardo Domingos Barbosa Pereira,DEF,1:no,0.999
Daniel Amartey,DEF,1:no,0.898
Timothy Castagne,DEF,1:no,0.898
Çaglar Söyüncü,DEF,1:no,0.86
James Justin,DEF,1:no,0.545
Luke Thomas,DEF,1:no,0.825
Wesley Fofana,DEF,1:no,0.766
Jannik Vestergaard,DEF,1:no,0.999
Liam Cooper,DEF,1:no,0.888
Luke Ayling,DEF,2:return,0.677
Diego Llorente,DEF,1:no,0.761
Robin Koch,DEF,1:no,0.888
Pascal Struijk,DEF,1:no,0.683
Charlie Cresswell,DEF,1:no,0.999
Leo Fuhr Hjelde,DEF,1:no,0.999
Joel Matip,DEF,2:return,0.645
Virgil van Dijk,DEF,1:no,0.52
Andrew Robertson,DEF,2:return,0.735
Trent Alexander-Arnold,DEF,2:return,0.676
Joseph Gomez,DEF,1:no,0.693
Ibrahima Konaté,DEF,1:no,0.998
Konstantinos Tsimikas,DEF,1:no,0.998
João Pedro Cavaco Cancelo,DEF,2:return,0.798
Aymeric Laporte,DEF,1:no,0.52
Rúben Santos Gato Alves Dias,DEF,1:no,0.998
Oleksandr Zinchenko,DEF,1:no,0.998
Harry Maguire,DEF,1:no,0.767
Harry Maguire,DEF,1:no,0.718
Alex Nicolao Telles,DEF,1:no,0.805
Alex Nicolao Telles,DEF,1:no,0.761
Victor Lindelöf,DEF,1:no,0.925
Victor Lindelöf,DEF,1:no,0.905
Eric Bailly,DEF,1:no,1
Eric Bailly,DEF,1:no,1
Aaron Wan-Bissaka,DEF,1:no,0.896
Aaron Wan-Bissaka,DEF,1:no,0.869
José Diogo Dalot Teixeira,DEF,1:no,0.683
José Diogo Dalot Teixeira,DEF,1:no,0.624
Raphaël Varane,DEF,1:no,1
Raphaël Varane,DEF,1:no,1
Phil Jones,DEF,1:no,1
Phil Jones,DEF,1:no,1
Matt Targett,DEF,2:return,0.613
Dan Burn,DEF,2:return,0.595
Matt Ritchie,DEF,1:no,0.999
Jamaal Lascelles,DEF,1:no,0.999
Paul Dummett,DEF,1:no,0.999
Javier Manquillo,DEF,1:no,0.999
Emil Krafth,DEF,1:no,0.729
Fabian Schär,DEF,2:return,0.578
Federico Fernández,DEF,1:no,0.999
Brandon Williams,DEF,1:no,0.87
Grant Hanley,DEF,1:no,0.625
Sam Byram,DEF,1:no,0.683
Christoph Zimmermann,DEF,1:no,0.999
Max Aarons,DEF,1:no,0.983
Ben Gibson,DEF,1:no,0.815
Dimitris Giannoulis,DEF,1:no,0.815
Jack Stephens,DEF,1:no,1
Kyle Walker-Peters,DEF,1:no,0.687
Jan Bednarek,DEF,1:no,0.603
Mohammed Salisu,DEF,1:no,0.918
Romain Perraud,DEF,1:no,0.808
Tino Livramento,DEF,1:no,0.942
