name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
Alexandre Lacazette,FWD,0.08054872043430805,0.022358082234859467,0.90676175,1.1,4.4,5.25,1.0,8,1,1.25,?
Edward Nketiah,FWD,0.3639641674235463,0.1130800899118185,0.90676175,21.700000000000003,9.675,24.5,5.6,8,1,4.25,?
Ollie Watkins,FWD,0.38738536508753896,0.04315240494906902,1.33375275,13.1,12.1,47.5,7.299999999999999,6,0,3.75,?
Danny Ings,FWD,0.22996677830815315,0.13569563254714012,1.33375275,3.25,8.875,33.5,4.5,6,0,1.0,?
Ivan Toney,FWD,0.5266023837029934,0.31322125904262066,1.079356,22.200000000000003,33.325,52.25,10.8,9,1,5.0,?
Neal Maupay,FWD,0.3606035802513361,0.12184325233101845,1.2400805,0.0,6.775,6.75,1.125,4,1,0.25,?
Danny Welbeck,FWD,0.09151849709451199,0.042456458206288517,1.2400805,9.950000000000001,16.625,17.75,4.425000000000001,4,1,1.75,?
Jay Rodriguez,FWD,0.42109215259552,0.030941773671656847,2.02454,14.25,11.5,45.0,7.074999999999999,7,1,4.0,?
Ashley Barnes,FWD,0.0,0.0,2.02454,0.5,0.0,0.5,0.1,7,1,0.25,?
Matej Vydra,FWD,0.026013039983808994,0.12366873770952225,2.02454,4.35,3.4250000000000003,4.25,1.125,7,1,1.75,?
Lewis Richardson,FWD,0,0,2.02454,0.0,0.0,0.0,0.0,7,1,0.0,?
Wout Weghorst,FWD,0.41562017798423767,0.06462037097662687,2.02454,13.7,9.850000000000001,26.0,4.95,7,1,3.25,?
Timo Werner,FWD,0.6141259204596281,0.03869930701330304,1.2795732499999999,28.1,18.05,49.5,9.575,7,1,6.75,?
Timo Werner,FWD,0.6141259204596281,0.03869930701330304,1.2795732499999999,28.1,18.05,49.5,9.575,8,0,6.75,?
Romelu Lukaku,FWD,0.05071656405925751,0.024449333548545837,1.2795732499999999,1.0,3.65,3.0,0.75,7,1,0.75,?
Romelu Lukaku,FWD,0.05071656405925751,0.024449333548545837,1.2795732499999999,1.0,3.65,3.0,0.75,8,0,0.75,?
Christian Benteke,FWD,0.07519692182540894,0.0,1.1848225000000001,0.0,0.0,0.0,0.0,3,1,0.0,?
Jordan Ayew,FWD,0.08396060951054096,0.01746818609535694,1.1848225000000001,13.799999999999999,4.1499999999999995,12.75,3.075,3,1,3.0,?
Jean-Philippe Mateta,FWD,0.1456637503579259,0.036022357642650604,1.1848225000000001,12.0,6.625,16.75,3.55,3,1,2.75,?
Odsonne Edouard,FWD,0.07282453030347824,0.03231826890259981,1.1848225000000001,3.4000000000000004,6.875,14.5,2.475,3,1,0.75,?
Richarlison de Andrade,FWD,0.8880240228027105,0.04818152729421854,1.3224125,42.95,14.7,60.75,11.85,10,0,6.5,?
Salomón Rondón,FWD,0.16115715820342302,0.022745097056031227,1.3224125,4.05,2.7,3.0,0.9,10,0,1.25,?
Lewis Dobbin,FWD,0.0,0.0,1.3224125,0.0,0.0,0.0,0.0,10,0,0.0,?
Cenk Tosun,FWD,0.0,0.0,1.3224125,0.0,0.0,0.0,0.0,10,0,0.0,?
Kelechi Iheanacho,FWD,0.2508320137858391,0.025509928818792105,1.6652317500000002,9.100000000000001,6.375,23.25,3.875,3,1,3.75,?
Patson Daka,FWD,0.0046094912104308605,0.053686030209064484,1.6652317500000002,1.7,6.3500000000000005,5.0,1.275,3,1,1.25,?
Rodrigo Moreno,FWD,0.3797984626144171,0.13487756624817848,1.44508,30.7,18.125,22.5,7.125,4,0,6.0,?
Sam Greenwood,FWD,0.022397853434085846,0.13116098692019781,1.44508,11.25,8.100000000000001,4.0,2.325,4,0,2.25,?
Joe Gelhardt,FWD,0.2679980583488941,0.0,1.44508,8.950000000000001,0.225,9.75,1.875,4,0,1.75,?
Divock Origi,FWD,0.2511001918464899,0.0,0.68606725,0.0,0.0,0.0,0.0,2,1,0.0,?
Gabriel Fernando de Jesus,FWD,0.3347865492105484,0.10155186057090759,0.48757707499999997,9.45,3.475,29.0,4.1,1,1,2.75,?
