@relation GK_gameweek_34

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute was_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0,0,0.906762,0,0,0,0,8,1,0,?
0,0,0.906762,12.15,0,0,1.225,8,1,1.25,?
0,0,1.333753,15.25,0,0,1.525,6,0,1.5,?
0,0,1.333753,0,0,0,0,6,0,0,?
0,0.010249,1.079356,26.6,2.5,0,2.9,9,1,3.75,?
0,0,1.079356,0,0,0,0,9,1,0,?
0,0,1.079356,0,0,0,0,9,1,0,?
0,0,1.24008,0,0,0,0,4,1,0,?
0,0,1.24008,10.3,0,0,1.025,4,1,3.75,?
0,0,2.02454,29.45,0,0,2.925,7,1,3.25,?
0,0,2.02454,0,0,0,0,7,1,0,?
0,0.076379,2.02454,0,0,0,0,7,1,0,?
0,0,1.279573,0,0,0,0,7,1,0,?
0,0,1.279573,0,0,0,0,8,0,0,?
0,0,1.279573,11.3,0,0,1.125,7,1,3,?
0,0,1.279573,11.3,0,0,1.125,8,0,3,?
0,0,1.184822,20.85,0,0,2.075,3,1,5,?
0,0,1.184822,0,0,0,0,3,1,0,?
0,0.010282,1.322412,21.4,2.5,0,2.375,10,0,3.5,?
0,0,1.322412,0,0,0,0,10,0,0,?
0,0,1.665232,32.05,0,0,3.225,3,1,4.25,?
0,0,1.665232,0,0,0,0,3,1,0,?
0,0,1.44508,20.75,0,0,2.05,4,0,3,?
0,0,0.686067,0,0,0,0,2,1,0,?
0,0,0.686067,19.4,0,0,1.95,2,1,4.75,?
0,0,0.686067,0,0,0,0,2,1,0,?
0,0,0.487577,13.25,0,0,1.325,1,1,4.75,?
0,0,0.487577,0,0,0,0,1,1,0,?
0,0,0.487577,0,0,0,0,1,1,0,?
0,0,1.372721,11.7,0,0,1.15,8,0,1.25,?
0,0,1.372721,11.7,0,0,1.15,9,1,1.25,?
0,0,1.372721,0,0,0,0,8,0,0,?
0,0,1.372721,0,0,0,0,9,1,0,?
0,0,1.372721,0,0,0,0,8,0,0,?
0,0,1.372721,0,0,0,0,9,1,0,?
0,0,1.22221,0,0,0,0,1,0,0,?
0,0,1.22221,11.05,0,0,1.1,1,0,3.75,?
0,0,2.153602,0,0,0,0,5,1,0,?
0,0.119802,2.153602,31.6,3.325,0,3.5,5,1,6.5,?
0,0,2.153602,0,0,0,0,5,1,0,?
0,0,2.350357,39,0,0,3.925,6,0,3.75,?
0,0.005852,2.350357,0,0,0,0,6,0,0,?
0,0,2.350357,0,0,0,0,6,0,0,?
0,0,0.845348,18.75,0,0,1.875,5,0,4.25,?
0,0,0.845348,0,0,0,0,5,0,0,?
0,0,1.628413,19,0,0,1.9,10,0,1.75,?
0,0,1.628413,0,0,0,0,10,0,0,?
0,0,1.735626,0,0,0,0,9,0,0,?
0,0,1.735626,16.7,0,0,1.675,9,0,1.5,?
0,0,1.735626,0,0,0,0,9,0,0,?
0,0,1.64241,0,0,0,0,2,0,0,?
0,0,1.64241,19.6,0,0,1.975,2,0,3.25,?
