@relation MID_gameweek_34

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute was_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0.045488,0.019404,0.906762,16.4,14.475,14.25,4.525,8,1,3,?
0.008289,0.012862,0.906762,4.05,3.375,2,0.95,8,1,0.5,?
0.183238,0,0.906762,0.1,1.175,15.5,1.675,8,1,0.5,?
0.161002,0.074437,0.906762,14.35,19.8,24.25,5.825,8,1,3,?
0.407603,0.315671,0.906762,22.35,38.175,40.5,10.1,8,1,3.25,?
0.145161,0.014458,0.906762,4.15,8.05,32.25,4.45,8,1,1.5,?
0.013755,0.048357,0.906762,7.25,13.975,2,2.325,8,1,1,?
0.170756,0.093755,0.906762,19.65,23.675,14.75,5.625,8,1,4,?
0.023244,0.131413,1.333753,21.1,27.225,8,5.625,6,0,1.5,?
0,0.011347,1.333753,0,0,0,0,6,0,0,?
0.110962,0.067015,1.333753,9.85,12.8,16,3.85,6,0,2,?
0.010485,0.0999,1.333753,11.25,13.55,0.25,2.525,6,0,1.75,?
0.097855,0.049485,1.333753,21.6,13.175,9.75,4.45,6,0,3.75,?
0.037773,0.101844,1.333753,4.55,5.6,9,1.85,6,0,1.25,?
0.009223,0,1.333753,0,0,0,0,6,0,0,?
0,0,1.333753,0,0,0,0,6,0,0,?
0.113901,0.128148,1.333753,11.05,21.025,23.5,5.55,6,0,2,?
0.179309,0.003313,1.079356,23.7,6.7,13.75,4.425,9,1,4,?
0.053581,0,1.079356,1.3,1.2,5.25,0.775,9,1,0.25,?
0.169986,0.176137,1.079356,21.35,9.65,27.25,5.775,9,1,5.25,?
0,0.066096,1.079356,0.75,0.125,1.5,0.25,9,1,0.25,?
0.036303,0.003587,1.079356,4,5.8,4.5,1.45,9,1,1.25,?
0.406909,0.392621,1.079356,33.15,26.375,45.75,10.525,9,1,7.25,?
0.033369,0.026314,1.079356,1.95,5.5,5,1.25,9,1,0.25,?
0.064987,0.088078,1.079356,22.15,9.1,19.25,5.05,9,1,4.75,?
0.216799,0.472503,1.079356,28.95,26.5,15,7.025,9,1,4.25,?
0.014474,0,1.24008,1.9,0.25,1,0.3,4,1,0.5,?
0,0.084207,1.24008,13.35,36.8,2.5,5.275,4,1,2.25,?
0.016709,0.088967,1.24008,7.25,17.7,5.5,3.05,4,1,1.5,?
0.09199,0.017668,1.24008,7.6,7.25,10,2.475,4,1,2.25,?
0.042377,0.088213,1.24008,17.6,3.6,9.5,3.075,4,1,4.25,?
0,0,1.24008,0.1,0.375,0,0.05,4,1,0.5,?
0,0,2.02454,3.1,2.025,0,0.5,7,1,0.75,?
0.022307,0.008636,2.02454,0,0,0,0,7,1,0,?
0.038092,0.170491,2.02454,22.7,25.625,4.25,5.25,7,1,4,?
0.045495,0.258941,2.02454,9.45,11.725,13.5,3.475,7,1,1.75,?
0,0.032301,2.02454,3.3,9.075,6,1.85,7,1,1.25,?
0.593831,0.235574,2.02454,22.1,23.925,36.75,8.275,7,1,4.25,?
0.006261,0.108663,1.279573,7.4,4.125,0,1.15,7,1,1.75,?
0.006261,0.108663,1.279573,7.4,4.125,0,1.15,8,0,1.75,?
0.192746,0.145286,1.279573,0,0,0,0,7,1,0,?
0.192746,0.145286,1.279573,0,0,0,0,8,0,0,?
0.07076,0.054732,1.279573,19.65,19.425,8.5,4.775,7,1,4,?
0.07076,0.054732,1.279573,19.65,19.425,8.5,4.775,8,0,4,?
0.026618,0.243695,1.279573,6.45,30.8,5.75,4.3,7,1,1.5,?
0.026618,0.243695,1.279573,6.45,30.8,5.75,4.3,8,0,1.5,?
0.01402,0.103205,1.279573,14.4,16,9,3.95,7,1,1.75,?
0.01402,0.103205,1.279573,14.4,16,9,3.95,8,0,1.75,?
0.365217,0.103641,1.279573,1.45,0.625,8.75,1.1,7,1,0.5,?
0.365217,0.103641,1.279573,1.45,0.625,8.75,1.1,8,0,0.5,?
0.282879,0.153163,1.279573,33.4,21.1,24.25,7.775,7,1,7,?
0.282879,0.153163,1.279573,33.4,21.1,24.25,7.775,8,0,7,?
0.561532,0.087891,1.279573,23.75,17.55,37.5,7.875,7,1,4,?
0.561532,0.087891,1.279573,23.75,17.55,37.5,7.875,8,0,4,?
0.004466,0.022168,1.279573,0,0,0,0,7,1,0,?
0.004466,0.022168,1.279573,0,0,0,0,8,0,0,?
0.011535,0.023282,1.184822,4.15,5.275,2.5,1.2,3,1,1.5,?
0.011025,0.039113,1.184822,4.65,10.55,4.5,1.975,3,1,0.75,?
0.586919,0.061756,1.184822,24.55,14.45,35.25,7.45,3,1,4.5,?
0.023709,0.044007,1.184822,14.25,8.05,9,3.1,3,1,2.5,?
0,0.017875,1.184822,0,0,0,0,3,1,0,?
0,0.027605,1.184822,1.2,4.2,0.5,0.6,3,1,0.25,?
0.015831,0.01188,1.184822,0,0,0,0,3,1,0,?
0.117075,0.19207,1.184822,2.45,2.875,1.5,0.675,3,1,1,?
0,0,1.184822,0,0,0,0,3,1,0,?
0.007014,0.017483,1.322412,0,0,0,0,10,0,0,?
0,0.005247,1.322412,13.25,3.225,0,1.65,10,0,1.25,?
0.010087,0.015489,1.322412,4.35,0.75,4.5,0.95,10,0,1,?
0.006076,0,1.322412,0,0,0,0,10,0,0,?
0.009986,0.017485,1.322412,5.3,7.1,2,1.45,10,0,1.25,?
0.035563,0.061421,1.322412,8.85,26.25,8.25,4.35,10,0,2.25,?
