inst#,actual,predicted,error,prediction
1,1:?,1:no,,0.595
2,1:?,1:no,,0.923
3,1:?,1:no,,0.629
4,1:?,1:no,,0.864
5,1:?,1:no,,0.757
6,1:?,1:no,,0.987
7,1:?,1:no,,0.857
8,1:?,1:no,,0.753
9,1:?,1:no,,0.808
10,1:?,1:no,,0.862
11,1:?,2:return,,0.591
12,1:?,1:no,,0.68
13,1:?,1:no,,0.988
14,1:?,1:no,,0.856
15,1:?,2:return,,0.554
16,1:?,1:no,,0.999
17,1:?,2:return,,0.655
18,1:?,1:no,,0.998
19,1:?,2:return,,0.645
20,1:?,1:no,,0.59
21,1:?,2:return,,0.666
22,1:?,1:no,,0.639
23,1:?,1:no,,0.999
24,1:?,1:no,,0.999
25,1:?,1:no,,0.822
26,1:?,1:no,,0.644
27,1:?,2:return,,0.657
28,1:?,1:no,,0.706
29,1:?,1:no,,0.701
30,1:?,1:no,,0.813
31,1:?,1:no,,0.87
32,1:?,1:no,,0.925
33,1:?,2:return,,0.75
34,1:?,2:return,,0.618
35,1:?,1:no,,0.862
36,1:?,1:no,,0.92
37,1:?,1:no,,0.9
38,1:?,1:no,,0.944
39,1:?,1:no,,0.897
40,1:?,1:no,,0.941
41,1:?,1:no,,0.998
42,1:?,1:no,,0.685
43,1:?,1:no,,0.999
44,1:?,1:no,,0.675
45,1:?,1:no,,0.855
46,1:?,2:return,,0.645
47,1:?,2:return,,0.64
48,1:?,1:no,,0.796
49,1:?,1:no,,0.955
50,1:?,1:no,,0.967
51,1:?,1:no,,0.967
52,1:?,1:no,,0.918
53,1:?,1:no,,0.923
54,1:?,1:no,,0.919
55,1:?,1:no,,1
56,1:?,1:no,,0.887
57,1:?,1:no,,0.898
58,1:?,1:no,,0.999
59,1:?,1:no,,0.898
60,1:?,1:no,,0.898
61,1:?,1:no,,0.86
62,1:?,1:no,,0.545
63,1:?,1:no,,0.825
64,1:?,1:no,,0.766
65,1:?,1:no,,0.999
66,1:?,1:no,,0.888
67,1:?,2:return,,0.677
68,1:?,1:no,,0.761
69,1:?,1:no,,0.888
70,1:?,1:no,,0.683
71,1:?,1:no,,0.999
72,1:?,1:no,,0.999
73,1:?,2:return,,0.645
74,1:?,1:no,,0.52
75,1:?,2:return,,0.735
76,1:?,2:return,,0.676
77,1:?,1:no,,0.693
78,1:?,1:no,,0.998
79,1:?,1:no,,0.998
80,1:?,2:return,,0.798
81,1:?,1:no,,0.52
82,1:?,1:no,,0.998
83,1:?,1:no,,0.998
84,1:?,1:no,,0.767
85,1:?,1:no,,0.718
86,1:?,1:no,,0.805
87,1:?,1:no,,0.761
88,1:?,1:no,,0.925
89,1:?,1:no,,0.905
90,1:?,1:no,,1
91,1:?,1:no,,1
92,1:?,1:no,,0.896
93,1:?,1:no,,0.869
94,1:?,1:no,,0.683
95,1:?,1:no,,0.624
96,1:?,1:no,,1
97,1:?,1:no,,1
98,1:?,1:no,,1
99,1:?,1:no,,1
100,1:?,2:return,,0.613
101,1:?,2:return,,0.595
102,1:?,1:no,,0.999
103,1:?,1:no,,0.999
104,1:?,1:no,,0.999
105,1:?,1:no,,0.999
106,1:?,1:no,,0.729
107,1:?,2:return,,0.578
108,1:?,1:no,,0.999
109,1:?,1:no,,0.87
110,1:?,1:no,,0.625
111,1:?,1:no,,0.683
112,1:?,1:no,,0.999
113,1:?,1:no,,0.983
114,1:?,1:no,,0.815
115,1:?,1:no,,0.815
116,1:?,1:no,,1
117,1:?,1:no,,0.687
118,1:?,1:no,,0.603
119,1:?,1:no,,0.918
120,1:?,1:no,,0.808
121,1:?,1:no,,0.942
122,1:?,1:no,,0.862
123,1:?,1:no,,0.75
124,1:?,1:no,,0.503
125,1:?,1:no,,0.999
126,1:?,1:no,,0.999
127,1:?,1:no,,0.737
128,1:?,1:no,,0.999
129,1:?,1:no,,0.758
130,1:?,2:return,,0.509
131,1:?,1:no,,1
132,1:?,1:no,,0.913
133,1:?,1:no,,0.945
134,1:?,1:no,,1
135,1:?,1:no,,1
136,1:?,1:no,,0.926
137,1:?,1:no,,0.941
138,1:?,1:no,,0.61
139,1:?,1:no,,0.87
140,1:?,1:no,,0.959
141,1:?,1:no,,1
142,1:?,1:no,,0.959
143,1:?,1:no,,0.861
144,1:?,1:no,,1
145,1:?,1:no,,0.859
146,1:?,1:no,,0.678
147,1:?,1:no,,0.92
148,1:?,1:no,,0.593
149,1:?,2:return,,0.766
150,1:?,1:no,,0.999
151,1:?,1:no,,0.859
152,1:?,1:no,,0.982
153,1:?,1:no,,0.999

