inst#,actual,predicted,error,prediction
1,1:?,1:no,,0.934
2,1:?,1:no,,1
3,1:?,1:no,,0.997
4,1:?,1:no,,0.533
5,1:?,2:return,,0.979
6,1:?,1:no,,0.96
7,1:?,1:no,,0.999
8,1:?,1:no,,0.67
9,1:?,1:no,,0.82
10,1:?,1:no,,1
11,1:?,1:no,,0.958
12,1:?,1:no,,0.996
13,1:?,1:no,,0.763
14,1:?,1:no,,0.995
15,1:?,1:no,,1
16,1:?,1:no,,1
17,1:?,1:no,,0.641
18,1:?,1:no,,0.928
19,1:?,1:no,,0.999
20,1:?,2:return,,0.732
21,1:?,1:no,,1
22,1:?,1:no,,0.998
23,1:?,2:return,,0.989
24,1:?,1:no,,0.999
25,1:?,1:no,,0.652
26,1:?,2:return,,0.691
27,1:?,1:no,,1
28,1:?,1:no,,0.962
29,1:?,1:no,,0.95
30,1:?,1:no,,0.983
31,1:?,1:no,,0.946
32,1:?,1:no,,1
33,1:?,1:no,,1
34,1:?,1:no,,1
35,1:?,1:no,,0.74
36,1:?,1:no,,0.974
37,1:?,1:no,,0.997
38,1:?,2:return,,0.95
39,1:?,1:no,,1
40,1:?,1:no,,1
41,1:?,1:no,,0.999
42,1:?,1:no,,0.999
43,1:?,1:no,,0.909
44,1:?,1:no,,0.931
45,1:?,1:no,,0.932
46,1:?,1:no,,0.949
47,1:?,1:no,,0.983
48,1:?,1:no,,0.987
49,1:?,1:no,,0.996
50,1:?,1:no,,0.997
51,1:?,2:return,,0.926
52,1:?,2:return,,0.903
53,1:?,2:return,,0.949
54,1:?,2:return,,0.932
55,1:?,1:no,,1
56,1:?,1:no,,1
57,1:?,1:no,,1
58,1:?,1:no,,0.997
59,1:?,2:return,,0.94
60,1:?,1:no,,0.951
61,1:?,1:no,,1
62,1:?,1:no,,1
63,1:?,1:no,,1
64,1:?,1:no,,0.998
65,1:?,1:no,,1
66,1:?,1:no,,1
67,1:?,1:no,,1
68,1:?,1:no,,1
69,1:?,1:no,,1
70,1:?,1:no,,1
71,1:?,1:no,,0.991
72,1:?,1:no,,1
73,1:?,1:no,,1
74,1:?,1:no,,0.987
75,1:?,1:no,,0.735
76,1:?,1:no,,1
77,1:?,1:no,,0.998
78,1:?,1:no,,1
79,1:?,1:no,,0.983
80,1:?,1:no,,0.999
81,1:?,2:return,,0.847
82,1:?,1:no,,1
83,1:?,1:no,,0.739
84,1:?,1:no,,0.618
85,1:?,1:no,,0.902
86,1:?,1:no,,0.99
87,1:?,1:no,,0.94
88,1:?,1:no,,1
89,1:?,2:return,,0.863
90,1:?,2:return,,0.976
91,1:?,2:return,,0.668
92,1:?,1:no,,1
93,1:?,1:no,,1
94,1:?,1:no,,1
95,1:?,1:no,,1
96,1:?,1:no,,1
97,1:?,1:no,,0.993
98,1:?,1:no,,0.65
99,1:?,1:no,,0.997
100,1:?,2:return,,0.835
101,1:?,1:no,,0.771
102,1:?,2:return,,0.993
103,1:?,1:no,,0.997
104,1:?,1:no,,0.999
105,1:?,2:return,,0.994
106,1:?,1:no,,0.997
107,1:?,1:no,,0.997
108,1:?,1:no,,1
109,1:?,1:no,,0.996
110,1:?,1:no,,0.715
111,1:?,1:no,,0.661
112,1:?,1:no,,0.627
113,1:?,2:return,,0.992
114,1:?,2:return,,0.87
115,1:?,2:return,,0.508
116,1:?,2:return,,0.71
117,1:?,2:return,,0.702
118,1:?,1:no,,0.971
119,1:?,1:no,,0.996
120,1:?,1:no,,0.999
121,1:?,1:no,,0.999
122,1:?,1:no,,1
123,1:?,1:no,,1
124,1:?,1:no,,0.994
125,1:?,1:no,,0.991
126,1:?,1:no,,0.893
127,1:?,1:no,,0.86
128,1:?,1:no,,0.998
129,1:?,1:no,,0.997
130,1:?,1:no,,1
131,1:?,1:no,,1
132,1:?,1:no,,0.999
133,1:?,1:no,,0.999
