name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Cédric Soares,DEF,0.03388889832422137,0.0446576913818717,0.8988015,10.600000000000001,5.425,7.5,2.375,10,1,2.0,?
Rob Holding,DEF,0.011387490667402744,0.0,0.8988015,0.0,0.0,0.0,0.0,10,1,0.25,?
Kieran Tierney,DEF,0.016352638602256775,0.09554452076554298,0.8988015,11.65,18.549999999999997,1.0,3.125,10,1,2.25,?
Gabriel Magalhães,DEF,0.028557361103594303,0.0,0.8988015,8.549999999999999,0.7250000000000001,6.25,1.5500000000000003,10,1,2.25,?
Ben White,DEF,0.114219406619668,0.06391250714659691,0.8988015,14.25,4.199999999999999,12.0,3.05,10,1,2.5,?
Nuno Varela Tavares,DEF,0.0,0.010044875554740429,0.8988015,0.85,2.55,0.0,0.35,10,1,0.25,?
Zach Awe,DEF,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,1,0.0,?
Zak Swanson,DEF,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,1,0.0,?
Calum Chambers,DEF,0.03398982062935829,0.0,0.9338212499999999,18.4,0.925,9.75,2.9000000000000004,8,1,5.25,?
Kortney Hause,DEF,0.0021014262456446886,0.0,0.9338212499999999,0.0,0.0,0.0,0.0,8,1,0.0,?
Tyrone Mings,DEF,0.029219552874565125,0.11595339514315128,0.9338212499999999,19.650000000000002,12.0,8.75,4.025,8,1,6.5,?
Matthew Cash,DEF,0.10917077958583832,0.16255225986242294,0.9338212499999999,42.349999999999994,14.575,9.5,6.625,8,1,11.0,?
Ezri Konsa Ngoyo,DEF,0.0,0.012385163456201553,0.9338212499999999,2.85,2.625,0.5,0.6,8,1,1.75,?
Ashley Young,DEF,0.0033581717871129513,0.00516706146299839,0.9338212499999999,6.449999999999999,6.25,1.75,1.425,8,1,2.25,?
Lamare Bogarde,DEF,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,8,1,0.0,?
Josh Feeney,DEF,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,8,1,0.0,?
Kaine Hayden,DEF,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,8,1,0.0,?
Pontus Jansson,DEF,0.0,0.0,1.3437127500000001,22.45,0.35000000000000003,1.5,2.4000000000000004,5,0,3.0,?
Rico Henry,DEF,0.0033107802737504244,0.0,1.3437127500000001,11.0,1.95,1.25,1.425,5,0,2.5,?
Mads Roerslev Rasmussen,DEF,0.008160850033164024,0.020840613171458244,1.3437127500000001,0.75,0.025,0.0,0.075,5,0,0.0,?
Mads Bech Sørensen,DEF,0.014670130796730518,0.03333882475271821,1.3437127500000001,0.0,0.0,0.0,0.0,5,0,0.0,?
