,season_x,name,position,team_x,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
0,2016-17,Aaron Cresswell,DEF,,0,0,0,0,0,454,10,0,0,0,0,2016-08-15T19:00:00Z,0,4,Chelsea,0,0,0,0,1,0,14023,1,2,0,0,0,0,0,55,FALSE,0,1
1,2016-17,Abdoulaye Doucouré,MID,,0,0,0,0,0,482,7,0,0,0,0,2016-08-13T14:00:00Z,0,13,Southampton,0,0,0,0,1,0,1051,1,1,0,0,0,0,0,50,FALSE,0,1
2,2016-17,Adam Forshaw,MID,,0,0,3,0,1.3,286,6,1,0,0.3,2,2016-08-13T14:00:00Z,69,14,Stoke,0,0,0,0,1,0,2723,1,1,0,1,0,0,0,45,TRUE,1,1
3,2016-17,Adam Lallana,MID,,1,2,33,0,33.7,205,8,3,1,14.2,51.2,2016-08-14T15:00:00Z,75,1,Arsenal,0,0,0,0,1,0,155525,4,3,57,11,0,0,0,70,FALSE,1,1
4,2016-17,Adrián,GK,,0,0,16,0,0,450,10,2,0,3,29.8,2016-08-15T19:00:00Z,90,4,Chelsea,0,0,0,0,1,4,94480,1,2,0,2,0,0,0,50,FALSE,0,1
5,2016-17,Alex Iwobi,MID,,1,0,12,0,17.5,21,8,3,0,3.4,16.6,2016-08-14T15:00:00Z,58,9,Liverpool,0,0,0,0,1,0,48146,4,3,0,3,0,0,0,60,TRUE,1,1
6,2016-17,Alex McCarthy,GK,,0,0,0,0,0,101,7,0,0,0,0,2016-08-13T14:00:00Z,0,18,Watford,0,0,0,0,1,0,8821,1,1,0,0,0,0,0,45,TRUE,0,1
7,2016-17,Alex Oxlade-Chamberlain,MID,,0,0,23,0,6.5,18,8,1,1,6.5,39.4,2016-08-14T15:00:00Z,32,9,Liverpool,0,0,0,0,1,0,41083,4,3,19,6,0,0,0,60,TRUE,0,1
8,2016-17,Andreas Pereira,MID,,0,0,0,0,0,263,9,0,0,0,0,2016-08-14T12:30:00Z,0,2,Bournemouth,0,0,0,0,1,0,2632,3,1,0,0,0,0,0,45,FALSE,0,1
9,2016-17,Andrew Robertson,DEF,,0,0,14,0,1.8,152,4,1,0,1.7,14.8,2016-08-13T11:30:00Z,90,8,Leicester,0,0,0,0,1,0,32036,1,2,0,2,0,0,0,45,TRUE,0,1
10,2016-17,Andros Townsend,MID,,0,0,17,0,32.8,120,2,1,0,10.2,23.2,2016-08-13T14:00:00Z,90,19,West Bromwich Albion,0,0,0,0,1,0,223526,1,0,46,2,0,0,0,65,TRUE,0,1
11,2016-17,Andy Carroll,FWD,,0,0,7,0,17,468,10,2,0,3.2,10.6,2016-08-15T19:00:00Z,90,4,Chelsea,0,0,0,0,1,0,268504,1,2,4,2,0,0,0,65,FALSE,0,1
12,2016-17,Angelo Ogbonna,DEF,,0,0,0,0,0,456,10,0,0,0,0,2016-08-15T19:00:00Z,0,4,Chelsea,0,0,0,0,1,0,45667,1,2,0,0,0,0,0,50,FALSE,0,1
13,2016-17,Anthony Martial,FWD,,2,3,35,0,37.3,267,9,1,0,10.4,38.8,2016-08-14T12:30:00Z,84,2,Bournemouth,0,0,0,0,1,0,213574,3,1,28,11,0,0,0,95,FALSE,0,1
14,2016-17,Arthur Masuaku,DEF,,0,0,19,0,1.4,505,10,2,0,1.8,16.4,2016-08-15T19:00:00Z,90,4,Chelsea,0,0,0,0,1,0,7272,1,2,0,1,0,0,0,50,FALSE,0,1
15,2016-17,Ashley Barnes,FWD,,0,0,0,0,0,70,1,0,0,0,0,2016-08-13T14:00:00Z,0,16,Swansea,0,0,0,0,1,0,3649,1,0,0,0,0,0,0,45,TRUE,0,1
16,2016-17,Dele Alli,MID,,0,0,6,0,16.9,398,3,1,0,3,2.2,2016-08-13T14:00:00Z,90,6,Everton,0,0,0,0,1,0,415753,1,1,11,2,0,0,0,85,FALSE,0,1
17,2016-17,Benjamin Chilwell,DEF,,0,0,0,0,0,496,4,0,0,0,0,2016-08-13T11:30:00Z,0,7,Hull,0,0,0,0,1,0,8192,1,2,0,0,0,0,0,45,FALSE,0,1
18,2016-17,Ben Davies,DEF,,0,0,0,0,0,386,3,0,0,0,0,2016-08-13T14:00:00Z,0,6,Everton,0,0,0,0,1,0,9018,1,1,0,0,0,0,0,50,FALSE,0,1
19,2016-17,Ben Gibson,DEF,,0,0,6,0,0.1,278,6,1,0,1.7,10.4,2016-08-13T14:00:00Z,90,14,Stoke,0,0,0,0,1,0,17473,1,1,6,2,0,0,0,45,TRUE,0,1
20,2016-17,Ben Mee,DEF,,0,0,15,0,0.6,56,1,1,0,2.3,18.8,2016-08-13T14:00:00Z,90,16,Swansea,0,0,0,0,1,0,21801,1,0,4,2,0,0,0,45,TRUE,0,1
