influence,creativity,threat,ict_index,was_home,xG,xA,xGC,Fixture,Form,total_points
10.6,17,4,3.2,FALSE,0,0.112549834,1.4603,10,0,2
0,8.3,13,1.7,TRUE,0.115664557,0,0.684593,6,0,2
0,15.3,4,1.9,FALSE,0,0.058979984,0.790063,7,0,2
3.2,22.5,32,5.8,FALSE,0.876939654,0.137088418,0.740018,2,0,2
4.2,13.5,32,5,TRUE,0.078866363,0.081629239,1.91105,8,0,2
4.2,21,35,6,FALSE,0.225639865,0.141751826,1.18197,8,0,2
32.6,29.6,81,14.3,TRUE,1.131807446,0.537351906,1.09877,1,0,9
0,4.4,30,3.4,TRUE,0.227183849,0,1.14759,10,1,2
8.6,5.7,61,7.5,TRUE,0.175707653,0,2.26056,9,0,2
15.4,15.1,6,3.7,FALSE,0,0.550724387,1.69833,10,2,4
1.6,4.9,50,5.7,FALSE,0.531844854,0,1.44317,1,2,2
23.2,43.9,28,9.5,FALSE,0.227055222,0.237449825,2.0087,7,0,1
0.8,24.4,27,5.2,TRUE,0.200253189,0.135479316,0.251367,2,2,2
35.8,7.8,50,9.4,FALSE,0.568127692,0,0.496044,4,2,6
79.6,34.4,71,18.5,FALSE,0.43943277,0.20010218,0.596605,6,9,16
45.2,27.8,112,18.5,FALSE,1.198059916,0.146651328,0.561215,2,1.5,7
44.6,24.6,78,14.7,FALSE,0.988996983,0.104875758,2.25738,3,1,6
36.4,10.6,43,9,TRUE,0.452185482,0,0.78196,6,0,7
6.4,15.5,64,8.6,TRUE,0.337099046,0.046668898,1.13672,1,2,1
2.4,7.3,32,4.2,TRUE,0.167380393,0,0.81046,4,0.5,4
3.6,15.5,9,2.8,FALSE,0.026244381,0.020986384,4.18366,9,2,2
70.4,46.3,89,20.6,TRUE,0.927177191,1.215060472,0.771133,2,4,15
65,2.6,43,11.1,TRUE,1.293314219,0,1.76706,5,3.333333333,13
0,13.8,15,2.9,FALSE,0.021240002,0.05583895,0.7197,2,2.333333333,5
53.8,10.3,89,15.3,FALSE,0.679802656,0.021595906,2.53396,10,1.666666667,6
6.6,41.5,41,8.9,FALSE,0.549341083,0.199973196,0.0942055,7,7.666666667,3
54.4,35.2,52,14.2,FALSE,0.728661537,0.413958162,3.3955,3,2.5,10
12,23,13,4.8,FALSE,0.036407303,0.077649385,1.24948,10,5.75,2
16.6,19.6,4,4,FALSE,0,0.067620829,2.8697,8,2,2
10.2,22.4,37,7,FALSE,0.127745599,0.071789749,1.12929,4,2.25,1
39.2,11.6,29,8,TRUE,0.761168838,0.083965577,1.26532,9,2.25,6
67.8,5.8,82,15.6,TRUE,1.252984524,0,0.764357,7,5,12
31.4,14.8,23,6.9,FALSE,0.712391555,0.046924233,2.54396,6,2.25,6
0,4.2,12,1.2,FALSE,0.123847082,0,1.4282,1,2.75,2
1.6,15.1,23,4,FALSE,0.104532361,0.031602371,2.54396,6,6.75,2
0,3.8,83,8.6,TRUE,1.180432558,0,1.2848,10,9,-1
34,2.8,29,6.6,FALSE,0.796092093,0,2.16649,2,7.5,6
37.6,7.9,77,12.3,TRUE,0.696432471,0,0.64998,5,3.5,9
2.6,11.9,5,2,FALSE,0.023755673,0.022524584,1.04894,8,9,2
2.2,12.7,80,9.5,TRUE,1.084752679,0.028108152,0.493941,1,0.5,3
41.4,1.3,36,7.9,FALSE,0.471212834,0,1.79134,9,3,7
0,8,27,3.5,TRUE,0.188365132,0,0.64998,5,5.75,1
59.6,36.7,51,14.7,FALSE,0.606836736,0.500722587,0.161583,1,5.75,11
12,32.3,41,8.5,FALSE,0.625716865,0.673203945,0.64118,6,6.25,2
16.2,20.7,13,5,TRUE,0.082036197,0.089209341,0.923353,3,3.75,3
10.6,17.7,26,5.4,FALSE,0.098312236,0.134257317,0.161583,1,2.25,3
15.4,15,38,6.8,TRUE,0.039328225,0.027046463,1.13479,2,2,2
2,4.6,23,3,TRUE,0.066436514,0,0.81444,10,7.5,2
11.2,34.6,61,10.7,TRUE,0.370774299,0.127582729,1.17031,3,4.75,2
72,3.1,75,15,FALSE,1.113385201,0,0.492912,6,1,15
15.6,15.5,39,7,TRUE,0.176751658,0.049819604,1.13479,2,3,6
7,5.8,31,4.4,FALSE,0.063229486,0,1.13526,1,1,2
42.2,13.8,51,10.7,FALSE,0.341348201,0.101078317,0.954864,3,2.5,8
9.8,3.7,44,5.8,FALSE,0.89967978,0,0.959496,2,5.5,-1
0,16.3,7,2.2,TRUE,0.065641649,0.017795702,1.25512,7,3,2
3.4,11.7,27,4.2,TRUE,0.081842296,0.02706394,1.53834,4,1.25,2
38.4,20.8,90,14.9,TRUE,0.371628851,0.033519551,0.687502,6,0.75,7
3.8,15.3,33,5.2,FALSE,0.172007024,0.055982217,1.10842,5,3.25,2
54.6,39.3,76,17,TRUE,0.508820295,0.22273761,0.64492,1,1,9
1.2,3.3,68,7.3,FALSE,0.606630147,0,1.10842,5,6,2
0,1.8,6,0.7,TRUE,0.036274381,0,3.06509,10,1.5,2
41.2,23.6,29,9.4,TRUE,0.122055978,0.046589844,0.221469,4,2.5,8
13.8,32.7,4,5.1,TRUE,0,0.136957914,0.352445,9,4.25,3
1,4.9,8,1.4,FALSE,0.075652726,0,0.256825,9,0,2
34.8,9.5,45,8.9,TRUE,0.060559575,0,0.6675,6,1,7
18,4,11,3.3,FALSE,0.018648447,0,2.25623,10,0,2
3,20.3,32,5.5,TRUE,0.131041467,0.017549278,0.521509,8,0,2
12.4,4.5,30,4.7,FALSE,0.105668671,0,1.69288,5,3.25,2
51.2,40.3,61,15.3,TRUE,0.792059362,0.080090284,0.39341,6,4.75,11
0,4.5,17,1.8,TRUE,0.650251985,0,1.75595,10,2,2
20.8,63.3,18,10.2,FALSE,0.021006158,0.185297966,0.197536,3,4.75,2
31.6,3.6,23,5.8,TRUE,0.761168838,0,1.12629,8,1,6
6.4,17.4,33,5.7,FALSE,0.555594742,0.119293384,2.34997,7,4.75,2
16.4,33,26,7.5,TRUE,0.495009691,0.146968737,1.64905,8,6.75,2
69.8,25.5,82,17.7,FALSE,0.238595709,0.455303758,1.55859,6,4.25,15
23,32.2,67,12.2,FALSE,0.237939239,0.050568346,1.91057,1,4.5,2
34,4.3,60,9.8,TRUE,0.27028507,0,1.06181,4,2.75,5
6.4,3.2,4,1.4,TRUE,0,0,0.962065,7,3.75,2
8.8,26.9,6,4.2,FALSE,0,0.028565731,1.72338,5,0.5,2
2.4,22.1,6,3.1,TRUE,0,0.077831678,0.738826,10,0.5,2
13.6,15.2,39,6.8,FALSE,0.112012528,0.04275687,1.03178,8,4.25,1
4.2,13.4,30,4.8,FALSE,0.150253326,0,0.572528,7,5.5,2
7,20.3,30,5.7,FALSE,0.082522079,0.045693722,0.464555,3,2.5,2
16,0.1,83,9.9,FALSE,0.334402889,0,1.86443,8,3.75,4
2.6,1.8,36,4,TRUE,0.26913327,0,1.08731,2,2.25,2
1.4,2,22,2.5,TRUE,0.174032614,0,0.949561,7,1.25,2
18.4,12.3,4,3.5,FALSE,0,0.369278759,2.52702,9,10,5
1.6,12.8,6,2,FALSE,0,0.016237158,2.49923,7,1,2
8.8,16.4,36,6.1,FALSE,0.683265567,0.050339982,0.958825,1,7.5,5
80.2,20.7,77,17.8,TRUE,0.434731007,0.126117304,1.60482,3,2,14
14,13.1,48,7.5,TRUE,0.423556,0.057649504,1.12391,10,6,2
31.2,7.3,79,11.8,FALSE,0.669380665,0,0.32099,6,1.25,6
0.6,2.1,26,2.9,FALSE,0.037704989,0,0.228009,1,7.25,2
0,22.4,32,5.4,FALSE,0.363121599,0.05808812,1.82995,3,1.5,2
5.2,35.6,11,5.2,TRUE,0.153474018,0.056028392,1.60667,4,3.25,2
13.4,23.4,7,4.4,TRUE,0.021077693,0.047945995,2.66472,9,8.25,2
