influence,creativity,threat,ict_index,was_home,xG,xA,xGC,fixture,form,total_points
29.8,0,0,3,0,0,0,1.4603,10,0,2
17.2,0,0,1.7,0,0,0,0.522847,6,0,2
2,0,0,0.2,1,0,0,0.180046,2,0,2
24.6,0,0,2.5,0,0,0,0.740018,2,0,2
19.4,0,0,1.9,0,0,0,1.04903,3,0,8
47.8,0,0,4.8,1,0,0,1.72089,3,0,4
13.2,0,0,1.3,1,0,0,0.684593,6,0,2
17.4,0,0,1.7,1,0,0,1.09877,1,0,2
36.2,0,0,3.6,0,0,0,2.0087,7,2,2
9.2,0,0,0.9,0,0,0,0.596605,6,0,6
9.2,0,0,0.9,1,0,0,0.327957,3,2,6
32.8,0,0,3.3,1,0,0,1.14759,10,2,2
12,0,0,1.2,1,0,0,0.740987,5,2,2
24,0,0,2.4,1,0,0,2.48348,8,0,1
18.8,0,0,1.9,0,0,0,1.69833,10,2,3
76.8,0,0,7.7,0,0,0,2.72391,8,4,11
13.2,0,0,1.3,1,0,0,0.81046,4,2,2
13.2,0,0,1.3,1,0,0,0.208762,1,6,2
7.6,0,0,0.8,0,0,0,0.51266,3,4,2
1.6,0,0,0.2,0,0,0,0.561215,2,2,1
20.4,0,2,2.2,0,0,0,0.675745,8,2,2
42.8,0,0,4.3,0,0,0,2.6457,6,0.5,4
15,0,0,1.5,0,0,0,0.404528,5,3,2
0,0,0,0,1,0,0,1.00006,8,4.5,1
26.6,0,0,2.7,1,0,0,2.05902,4,7.5,2
10,0,0,1,0,0,0,0.431559,4,4,2
17.8,0,0,1.8,0,0,0,2.53396,10,0,2
3,0,0,0.3,1,0,0,0.575813,8,3.333333333,2
25.8,0,0,2.6,1,0,0,1.68802,9,1.666666667,6
12.8,0,0,1.3,1,0,0,1.76706,5,2,1
39,0,0,3.9,1,0,0,1.25065,2,1.666666667,7
10.6,0,0,1.1,1,0,0,1.24012,6,2.5,2
37.4,0,0,3.7,0,0,0,1.54877,7,3.333333333,4
11,0,0,1.1,1,0,0,1.39421,9,0.666666667,1
31.4,0,0,3.1,0,0,0,0.475642,3,3.333333333,3
51,0,0,5.1,0,0,0,1.44452,8,0.5,4
11.2,0,0,1.1,1,0,0,0.749388,5,3,2
5.2,0,0,0.5,1,0,0,0.615174,7,2.75,6
11.6,0,0,1.2,0,0,0,1.24948,10,1.75,2
30,0,0,3,0,0,0,2.02461,9,3,2
9.6,0,0,1,0,0,0,0.541915,2,2.333333333,7
5.8,0,0,0.6,1,0,0,2.28156,4,3.5,0
22.4,0,0,2.2,0,0,0,3.3955,3,0.75,0
9.4,0,0,0.9,1,0,0,1.2848,10,3.25,1
37,0,0,3.7,1,0,0,2.96923,8,1.5,1
