influence,creativity,threat,ict_index,was_home,xG,xA,xGC,Fixture,Form,total_points
23.2,32.8,46,10.2,TRUE,0.204455689,0.077487022,0.684593,6,0,2
2.2,16.9,11,3,FALSE,0.039559949,0.029841676,0.790063,7,0,2
18.6,12.5,2,3.3,FALSE,0,0.03720979,1.4603,10,0,2
39.6,9.4,38,8.7,FALSE,0.225078955,0,0.790063,7,0,9
17,33.4,8,5.8,FALSE,0,0.60718751,1.04903,3,0,3
25.4,0,0,2.5,TRUE,0,0,2.45631,5,0,2
21.4,2.1,0,2.4,TRUE,0,0,1.12348,10,0,2
15,28.9,8,5.2,FALSE,0.063261002,0.11490649,1.18197,8,0,2
3.2,25.9,23,5.2,TRUE,0.198129132,0.125143364,1.09877,1,0,2
1.4,4.8,1,0.7,FALSE,0.015647886,0,1.4603,10,0,2
4.2,1.2,7,1.2,FALSE,0.021659896,0,0.990062,4,0,3
47.2,49.1,63,15.9,TRUE,0.222850516,0.150568843,0.180046,2,0,10
4,5.3,6,1.5,TRUE,0,0,0.445604,5,0,1
21.6,5.3,8,3.5,TRUE,0.019803738,0,0.180046,2,0,2
5.8,17.9,17,4.1,TRUE,0.056425367,0.084198005,1.09877,1,0,5
38,18.3,58,11.4,FALSE,1.068739414,0.062012386,0.740018,2,0,8
46.6,37.7,36,12,TRUE,0.260104477,0.050413247,2.45631,5,0,10
45.2,36.2,36,11.7,TRUE,0.196972236,0.075765222,1.12348,10,0,10
43.2,8.2,65,11.6,FALSE,0.239024282,0,1.18197,8,0,7
46.6,20,38,10.5,TRUE,0.833291531,0.012844755,1.6591,9,0,5
15.2,2.9,39,5.7,TRUE,0.54919219,0,0.684593,6,0,1
36.2,18.7,26,8.1,FALSE,0.164004907,0.038935855,1.80523,1,0,9
6.6,3,2,1.2,TRUE,0,0,1.54599,6,0,3
9.8,42.4,0,5.2,TRUE,0,0.164555714,1.54599,6,1,3
21.4,0.9,0,2.2,FALSE,0,0,2.0087,7,2,2
9.4,29.3,21,6,TRUE,0.090259455,0.078568347,0.740987,5,0,1
93.4,59.6,62,21.5,FALSE,0.781462252,0.587451279,0.596605,6,0,18
17.2,77.2,4,9.8,FALSE,0,0.495528817,1.44317,1,0,2
3.8,4.4,3,1.1,FALSE,0.01686904,0,1.14991,2,2,2
4.6,2,2,0.9,FALSE,0,0,2.72391,8,0,3
38.6,38.7,0,7.7,FALSE,0,0.429155588,0.496044,4,2,7
12.6,2.9,7,2.3,FALSE,0.02766264,0,2.0087,7,2,2
32.4,45.9,42,12,FALSE,0.638230443,0.351929426,0.853434,1,0,5
2,13,6,2.1,TRUE,0,0,1.14759,10,10,2
17.6,25.4,13,5.6,FALSE,0.015273347,0.43642801,0.422364,7,1,3
12.6,4.3,11,2.8,TRUE,0.038265686,0,1.14759,10,2,2
35.2,82.1,66,18.3,TRUE,0.168551475,0.770328522,0.327957,3,0,2
14.4,39.8,30,8.4,FALSE,0.62493825,0.269359648,0.496044,4,7,2
44.6,31,31,10.7,TRUE,0.056650061,0.108447425,2.26056,9,1,5
13,16.3,2,3.1,FALSE,0,0.050583299,2.49606,9,3,2
4,2.8,19,2.6,FALSE,0.050583299,0,2.49606,9,2,1
16,35.2,17,6.8,FALSE,0.128177717,0.098483786,2.25738,3,1.5,6
16.2,0.4,0,1.7,TRUE,0,0,0.81046,4,2,2
16.2,16.3,5,3.8,TRUE,0.01843309,0.033905003,1.19585,10,0,3
18.2,19.4,10,4.8,TRUE,0.022891235,0.372353584,1.00006,8,3,5
17.8,24,40,8.2,TRUE,0.56646657,0.050605599,1.13672,1,1,2
8.6,0.8,2,1.1,TRUE,0,0,2.03046,7,2,2
32.6,26.3,51,11,TRUE,0.206287533,0.016412877,0.771133,2,0,2
55.4,30.1,11,9.7,TRUE,0.102161042,0.633858919,2.05902,4,2,13
15.6,24.8,6,4.6,TRUE,0.067971401,0.194621414,0.771133,2,4.5,2
38.2,85.3,33,15.7,TRUE,0.433717072,0.982363522,0.208762,1,3,8
1.6,3.4,1,0.6,TRUE,0.011905469,0,0.81046,4,2,1
14.4,72.8,19,10.6,TRUE,0.128535017,0.175031245,1.19585,10,2.5,5
30,38.7,6,7.5,TRUE,0,0.262560129,0.0131321,7,2,6
3.2,3.8,1,0.8,FALSE,0.015533073,0,0.561215,2,2,1
38,26.8,29,9.4,FALSE,0.086417988,0.021079661,0.51266,3,1,8
25.4,29.2,10,6.5,TRUE,0,0.504881859,0.78196,6,4.5,5
1,22.3,0,2.3,FALSE,0,0.013132149,1.94078,10,10,2
36.8,37.7,29,10.4,FALSE,0.408976197,0.361038089,2.25738,3,3,5
17.2,14.9,23,5.5,TRUE,0.075318776,0.095832653,1.68738,10,2.5,2
12.2,0,12,2.4,FALSE,0.028329827,0,2.53396,10,2,2
15.2,32.6,15,6.3,FALSE,0.050910238,0.27130869,0.0942055,7,3.666666667,3
49.8,25.8,53,12.9,FALSE,0.932239413,0.079496913,1.54877,7,3.666666667,9
42,19.2,39,10,TRUE,0.826320231,0.025182791,1.76706,5,0.666666667,7
11.4,18.3,0,3,FALSE,0,0.074571423,1.54877,7,1.333333333,2
6.8,52.6,3,6.2,FALSE,0.050897915,0.563051879,1.60429,4,1.333333333,3
23.8,25,10,5.9,FALSE,0.011281962,0.148964077,0.951511,1,2,2
16.8,2.4,2,2.1,TRUE,0,0,1.39421,9,5.333333333,2
8.8,30.4,3,4.2,FALSE,0.012546723,0.143161595,0.0942055,7,0.666666667,3
14,5.8,0,2,FALSE,0,0,0.0942055,7,3.666666667,3
26.8,60.8,4,9.2,FALSE,0.045544498,1.012422681,0.431559,4,4.666666667,7
48.8,14.3,29,9.2,FALSE,0.782764733,0.124704666,2.53396,10,1.666666667,8
5,32.9,26,6.4,TRUE,0.052986462,0.047239888,0.575813,8,0.666666667,2
6.4,14,2,2.2,FALSE,0,0,0.511462,8,3.333333333,2
1.2,3.3,0,0.5,TRUE,0,0,1.68802,9,4.666666667,3
17.6,4.8,2,2.4,FALSE,0,0,0.55976,1,3.333333333,3
19.2,0.8,0,2,TRUE,0,0,1.68802,9,1.666666667,3
2.6,31.6,16,5,TRUE,0.047239888,0.08877141,0.575813,8,3.333333333,2
11.4,17.2,21,5,FALSE,0.433474064,0.026132489,0.431559,4,2.666666667,2
42.6,23,53,11.9,FALSE,0.89611733,0.047692679,0.7197,2,4.666666667,8
7.8,45.8,24,7.8,FALSE,0.057783902,0.18101348,0.951511,1,8,2
14.4,45.2,13,7.3,TRUE,0.270026654,0.099079631,1.07471,3,7.333333333,1
