avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
0.008886172,0,1.6804095,19.3,0.45,8.5,2.85,10,0,2.75,-7,no
0,0.09706458,1.54001,10.35,22.875,2,3.55,8,1,0.75,-6,no
0.024524832,0.007225374,1.89189675,16.25,6.425,6.25,2.9,6,0,1.5,-4,no
0.160584391,0.025069665,0.7150635,24.3,5.975,13,4.3,7,1,6.75,-3,no
0.033788186,0,1.92136,16.45,1.35,8.5,2.625,10,0,2.5,-3,no
0,0,0.960758,20.15,0.375,1,2.175,4,0,1.5,-3,no
0.147211403,0.040231925,1.416186,32.6,3.775,5.75,4.2,10,0,3.25,-3,no
0.01406707,0.206839871,2.24179,24.5,20.825,5.75,5.1,2,1,2,-3,no
0.052187919,0.031216223,1.02117875,20.75,4.925,6.25,3.2,9,0,2.5,-3,no
0.020866803,0.023349531,1.31062125,12.85,10.375,4.25,2.75,8,0,2.5,-3,no
0.004905515,0.160624877,2.4762,18.05,7,4.5,2.95,10,0,4.25,-3,no
0,0,1.36123775,18.65,1.4,0.5,2.075,9,1,2.5,-3,no
0.130351573,0.056725353,1.6804095,24.8,3.025,5.5,3.35,10,0,3,-3,no
0,0,2.96802,11.2,0,0,1.1,10,0,1,-3,no
0.003499815,0.039974198,1.9300175,14.55,10.125,4.25,2.925,10,1,2.25,-3,no
0.048125686,0,1.19948325,38,0.625,8.75,4.75,6,1,5,-2,no
0,0.040490555,0.8005885,11.05,16.525,1.5,2.925,3,1,1.5,-2,no
0.015049323,0.151568107,1.31172725,14.4,14.875,2.5,3.175,10,1,2,-2,no
0.090649332,0,1.24659125,17.3,1.8,11.75,3.1,4,0,2.5,-2,no
0.10274126,0.004315003,1.134104,19.45,3.15,15.75,3.85,9,1,2.75,-2,no
0,0,2.05899575,9.05,1.45,0,1.075,10,1,1.75,-2,no
0.010081857,0.041705564,0.60734875,13.3,13.85,3.25,3.05,7,1,2.75,-2,no
0.003593588,0.04529728,1.03347375,25.95,3.2,0.25,2.925,9,0,7.5,-2,no
0.009434249,0.002139772,1.15821075,19.95,2.95,4.75,2.775,8,0,3.75,-2,no
0.011895421,0.032509527,1.8287925,16.25,16.95,0.5,3.375,9,0,1.25,-2,no
0.104245957,0.13073037,0.92929825,22.35,13.475,14.5,5.05,4,0,4.25,-2,no
0,0.083928559,1.16668,30.2,9.25,0,3.925,10,1,4.75,-2,no
0.008271144,0,1.4298225,14.45,0.35,2.25,1.725,6,0,2.5,-2,no
0,0,1.3776685,17.55,0.525,1,1.925,7,1,0.25,-2,no
0.003897089,0.074221952,2.216105,11.55,16.175,2.75,3.05,1,0,1,-2,no
0.014506716,0.004546866,0.73676725,24.55,3.45,9.75,3.8,8,1,5.75,-2,no
0.114209641,0.008786483,1.55482825,35.7,3.05,17.25,5.6,5,1,3.25,-2,no
0.048642841,0,1.37864825,20.25,1.225,6.25,2.8,4,0,1.5,-2,no
0,0.004995336,1.52308525,12.95,4.1,1.5,1.85,6,0,2.25,-2,no
0.060553906,0.277177773,1.208906,22.8,28.675,18,6.95,1,0,3.5,-2,no
0.025404344,0.040032703,1.0748075,17.7,8.25,19,4.5,3,0,1.25,-2,no
0.007011179,0.032356534,2.1880925,15.35,4.9,8.5,2.85,6,0,1.75,-2,no
0.004760998,0.197779899,1.04501825,16.9,13.5,1.75,3.225,4,0,2.75,-2,no
0.173092676,0.0062965,1.4154625,31.15,5.425,14.5,5.1,8,0,7.25,-2,no
0.075952266,0,1.53806725,16.35,0.4,16,3.3,10,0,1.25,-2,no
0.002891535,0.003190405,1.6287,20.9,3.7,2.25,2.65,8,0,4,-2,no
0.047867241,0.062638734,0.85745525,21.55,19.2,15.75,5.625,5,1,4.25,-2,no
0.027262569,0.302888185,1.638084,17.45,11.1,11.25,3.975,6,0,3,-2,no
0,0,1.635845,19.05,0.55,0,1.95,8,1,0.75,-2,no
0,0.007393209,1.03764425,14.35,2.75,0.5,1.8,2,1,1,-2,no
0.154591678,0,2.04692975,11.4,0.975,2.75,1.5,3,1,2,-2,no
0.035700625,0.079386786,1.20170025,15.1,3.175,3,2.15,7,1,3.25,-2,no
0.016675917,0,1.22110025,22.1,0.425,1,2.35,10,0,2.75,-2,no
0.102773182,0.015305941,1.01898925,19.85,4.05,5.75,2.975,2,0,4.25,-2,no
0,0.033365018,1.27694975,17.95,9.5,0.5,2.8,9,1,2,-2,no
0.045570487,0.158387415,1.5302255,18.45,20.1,9.75,4.85,8,0,5.75,-2,no
0.054783937,0.112898126,1.625121,16.8,2.675,24,4.35,5,0,2.25,-2,no
