avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
0.506687406,0.168300986,0.866251,28.05,10.3,32.5,6.975,4,0,5.5,-2,no
0.341733649,0.05063887,1.25954775,31.1,13.925,32.75,7.775,3,0,4.25,-2,no
0.164710819,0.016330485,0.68826675,1.7,9.7,42.25,5.175,7,0,1.5,-2,no
0.091149062,0.014549071,1.5656755,12,3,5.75,2.1,5,1,2.25,-2,no
0.383137107,0.203572497,1.0229345,18.4,7.15,19.5,4.5,5,1,4.5,-2,no
0.964387819,0.14091466,0.428142,48.35,22.7,96.25,16.7,10,1,9,-1,no
0.711043667,0.103489541,1.78519675,39.55,12.1,46.5,9.85,2,0,7.5,-1,no
0.471617872,0.034473337,1.27584425,16.25,8.975,47.25,7.25,2,0,4,-1,no
0.162011132,0.003539513,1.67026,1.85,2.8,4.5,0.9,4,1,1,-1,no
0.36686549,0.049583386,1.12095225,24.8,13.4,51.75,9,5,1,5.25,-1,no
0.984898627,0.08661853,1.315466,45,17.175,71,13.35,7,1,7.75,-1,no
0.278496537,0,1.1106285,3.75,2.9,29.75,3.65,5,1,1.5,-1,no
0.031539333,0,0.45961075,1,3.675,3.25,0.75,9,0,1,-1,no
0.052573331,0.007235692,1.11259325,3.9,7.3,11.5,2.225,5,0,1.25,-1,no
0.576660007,0.106545787,1.2677645,18.55,9.95,80,10.825,8,0,3.5,-1,no
0.262470367,0.166493377,1.4192895,16.95,18.325,26.75,6.15,2,0,2.75,-1,no
0.474105582,0.01812274,0.787224,4.65,6.5,45.75,5.65,9,1,2,-1,no
0.394650109,0.040182352,0.900508,2.1,8.2,28.5,3.875,1,0,1.25,-1,no
0.383564765,0.15839971,1.62499,31.3,19.6,55,10.575,10,1,6.5,-1,no
0.006716532,0,0.95068925,1.3,0.225,5.25,0.675,10,1,1,0,no
0.09330511,0.046162003,0.5939135,4.65,18.15,27.75,5.05,1,0,1.75,0,no
0,0,1.59897975,1.4,0.3,0.5,0.225,10,0,1,0,no
0.783363346,0.522710455,0.65072375,29.45,25.825,64.25,11.975,5,1,6.5,0,no
0.414342582,0.043997914,1.4850625,8,9.5,21.75,3.9,3,1,1.5,0,no
0.013750102,0.129988164,1.71044325,7.2,8.025,6.5,2.2,5,1,1.75,0,no
0.072894588,0,1.06583875,8.25,0.75,16.75,2.55,3,0,2.25,0,no
0.418243506,0,1.7286615,10.75,2.175,27.25,4.025,7,1,2.75,0,no
0.059556492,0.101282261,1.63383425,9.9,8.375,16,3.425,1,1,2,0,no
0.246105585,0.012279653,1.4994745,2.8,7.2,18.25,2.85,10,1,1.5,0,no
0.009755061,0.074084654,1.85647525,5.6,4.925,7.5,1.8,9,0,1.25,0,no
0.13482966,0,1.313013,12,0.775,19.75,3.25,3,0,2.75,0,no
0.483194444,0.106610524,1.082208,29.35,20.125,29,7.875,6,1,5.75,0,no
0.597198553,0.148620339,0.48628475,44.4,20.575,58,12.325,10,1,7.25,0,no
0.211153872,0.005721752,1.452698,11.35,7.075,16.25,3.475,8,1,2.5,0,no
0.600503386,0.106775151,1.6542975,12.9,11.125,27.25,5.075,7,0,2.5,0,no
0.413180593,0.034707434,0.94635625,17.25,9.475,36.5,6.325,7,0,2.5,0,no
0.399053706,0.0423874,1.29852025,11,9.95,42.5,6.325,2,0,3,0,no
0.028601605,0.009958145,1.7676735,2.6,3.925,10.75,1.625,1,1,1,0,no
0.269979178,0.293706268,1.18340025,18.65,13.2,13,4.475,3,0,3.5,0,no
0.269979178,0.176413409,1.12544025,17.3,6.65,14.5,3.85,2,0,3.25,0,no
0.246012047,0,2.37597075,18.1,0.8,14,3.3,6,0,4,0,no
0.329620007,0.17115372,1.578539,19.85,20.725,18.75,5.85,3,1,5.25,0,no
0.181667487,0.094668001,1.714993333,1.4,5.366666667,1.333333333,0.733333333,1,0,1,0,no
0,0,1.8837775,0.1,0.475,1,0.15,1,1,1,0,no
