avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
0,0,1.18788325,16.2,0,0,1.625,7,1,2,-2,no
0,0,1.41306625,20.2,0,0,2,4,0,3.25,-1,no
0.020178767,0,0.960758,24.25,0,1,2.525,4,0,2.25,-1,no
0,0,1.8459395,15.3,0,0,1.525,9,1,2.75,-1,no
0,0,1.175384,19.85,0,0,1.975,5,1,1.75,-1,no
0,0,1.733977,21.2,0,0,2.125,7,1,3,-1,no
0,0,1.04451325,24.4,0,0,2.425,9,1,2.75,-1,no
0,0,1.199286667,18.93333333,0,0,1.866666667,4,1,4.333333333,0,no
0,0,1.0394015,12.1,0,0,1.2,3,0,1.5,0,no
0,0,0.60019075,16,0,0,1.575,5,0,2,0,no
0,0,0.95068925,10.95,0,0,1.075,10,1,4,0,no
0,0,1.037975,25.4,0,0,2.55,9,0,5,0,no
0,0,0.4647245,6.55,0,0,0.65,7,0,3,0,no
0,0,1.19452625,21.5,0,0,2.175,9,1,3.25,0,no
0,0,0.811268667,21.06666667,0,0,2.1,8,1,3.333333333,0,no
0,0,1.032476,11.85,0,0,1.175,8,0,2.75,0,no
0,0,1.82586175,28.05,0,0,2.8,6,0,3.75,0,no
0,0,0.87572425,17.8,0,0,1.775,10,0,3.5,0,no
0,0,1.171169667,36,0,0,3.6,5,0,8.333333333,0,no
0,0.013666984,1.4323225,11.8,5,0,1.675,2,0,2.5,0,no
0,0,1.64354375,29.5,0,0,2.95,8,0,4.5,0,no
0,0,1.5406175,32.7,0,0,3.275,9,0,2.5,0,no
0,0,1.607705,14.6,0,0,1.45,4,0,4.5,0,no
0,0,1.399465,27.6,0,0,2.75,4,1,4,0,no
0,0,1.3941555,27.2,0,0,2.7,7,1,5.25,0,no
0,0,2.3690725,23.4,0.025,0,2.35,8,0,2.25,0,no
0,0,1.31707475,21.65,0,0,2.175,3,0,5,0,no
0,0,1.97782775,21.9,0,0,2.2,3,1,3.25,0,no
0,0.006011181,1.77675,36.4,2.5,0,3.875,8,1,4.5,0,no
0,0.006011181,1.6754175,36.2,2.5,0,3.875,10,0,3.25,0,no
0,0,1.57454375,34.3,0,0,3.45,2,1,5.75,0,no
0,0,2.91877,38.45,0,0,3.825,8,1,3.75,0,no
0,0,2.532495,32,0,0,3.175,2,0,2,0,no
0,0,2.03431575,15.3,0,0,1.525,10,0,2.25,0,no
0,0,1.282241,29.65,0,0,2.95,10,1,3.5,0,no
0,0,1.032742,27.2,0,0,2.725,8,0,5.5,0,no
0,0,1.72558175,25.8,0,0,2.575,7,1,3.5,0,no
0,0,1.10834425,14.5,0,0,1.425,5,1,4.75,0,no
0,0,1.4653395,23.4,0,0,2.325,9,0,3.25,0,no
0,0,1.5797485,14,0,0,1.425,6,0,4,0,no
0,0,0.9138455,28.8,0,0,2.875,10,0,2.5,0,no
0,0,1.89129,19.5,0,0,1.95,6,0,1.5,0,no
0,0.006526821,1.6321525,18.75,2.5,1,2.225,10,0,1.25,0,no
0,0,1.4154625,21.3,0,0,2.125,8,0,3.75,0,no
0,0,1.6287,18.65,0,0,1.875,8,0,4.25,0,no
0,0,1.635845,20.75,0,0,2.1,8,1,2,0,no
0,0,2.187125,33.85,0,0,3.375,9,0,2.5,0,no
0,0,1.259411,20.9,0.75,0,2.15,10,0,2,0,no
0,0.034591727,1.21849175,21.6,2.5,0,2.4,8,0,5,0,no
0,0,1.06355475,20.85,0,0,2.075,9,1,3,0,no
0,0,1.54915325,27.15,0,0,2.725,10,1,3.75,0,no
0,0,2.34418,0.6,0,0,0.1,10,1,1,0,no
0,0,1.26703625,15.95,0,0,1.6,10,0,4.75,0,no
0.004639436,0.042801846,1.01898925,25.05,2.5,0.5,2.8,2,0,6.5,0,no
0,0,1.03868675,20.1,0,0,2,7,1,3,0,no
0,0,2.95581,31.2,0,0,3.1,6,0,2,0,no
0,0,1.006445425,11.45,0,0,1.15,5,0,1.5,0,no
