position,influence,creativity,threat,ict_index,minutes,was_home,xG,xA,xGC,Fixture,Form,total_points
DEF,14.8,1.8,0,1.7,90,TRUE,0,0,2.45631,5,0,2
DEF,16.4,1.4,0,1.8,90,FALSE,0,0,1.4603,10,0,1
DEF,10.4,0.1,6,1.7,90,TRUE,0.108450994,0,0.485626,4,0,2
DEF,18.8,0.6,4,2.3,90,TRUE,0,0,1.72089,3,0,2
DEF,18.4,12.9,41,7.2,90,TRUE,0.111077368,0.058255177,0.445604,5,0,2
DEF,48.8,0.5,27,7.6,90,TRUE,0.131936803,0,1.6591,9,0,6
DEF,25.4,13.8,17,5.6,90,FALSE,0.442562431,0.034477282,0.740018,2,0,0
DEF,18,20,8,4.6,90,FALSE,0,0.022485541,0.990062,4,0,5
DEF,12,15.8,6,3.4,90,TRUE,0.029093619,0.016753934,0.445604,5,0,5
DEF,15,4.9,30,5,90,FALSE,0.065057702,0,0.790063,7,0,2
DEF,21.2,0.5,0,2.2,90,FALSE,0,0,0.522847,6,0,2
DEF,16.6,21.3,0,3.8,90,FALSE,0,0.101539873,1.80523,1,0,2
DEF,26.8,0.1,7,3.4,90,FALSE,0.55107832,0,1.04903,3,0,5
DEF,18.6,6.8,0,2.5,90,TRUE,0,0,1.09877,1,0,2
DEF,12.8,0.7,12,2.6,90,TRUE,0,0,0.445604,5,0,2
DEF,19.6,6.8,2,2.8,90,TRUE,0,0,1.6591,9,0,0
DEF,4.8,3.3,8,1.6,90,TRUE,0.055706635,0,0.684593,6,0,2
DEF,12.4,2.8,2,1.7,90,TRUE,0,0,1.09877,1,0,2
DEF,13.6,1,0,1.5,90,FALSE,0,0,0.990062,4,0,5
DEF,38.4,41.8,8,8.8,90,FALSE,0.029841676,0.1919339,0.790063,7,0,6
DEF,15.6,2,0,1.8,90,FALSE,0,0,0.522847,6,0,2
DEF,23.2,0.3,0,2.4,90,TRUE,0,0,1.12348,10,0,2
DEF,15.4,29.2,6,5.1,90,TRUE,0.025955522,0.058708228,1.72089,3,0,1
DEF,8.6,14.6,4,2.7,90,TRUE,0,0.038596146,0.180046,2,0,2
DEF,15,4.5,4,2.4,90,TRUE,0,0,1.72089,3,0,2
DEF,30.2,18.2,17,6.5,90,FALSE,0.029306922,0.365368128,1.18197,8,0,4
DEF,15,8.3,7,3,90,FALSE,0.057913192,0,1.95479,9,0,1
DEF,6.8,15.7,8,3.1,90,FALSE,0.015360567,0.014228404,1.80523,1,0,1
DEF,40,0.2,19,5.9,90,TRUE,0.029306324,0,1.12348,10,0,2
DEF,21,0.4,10,3.1,90,TRUE,0,0,1.6591,9,0,0
DEF,18.4,0.8,6,2.5,90,TRUE,0.012986654,0,0.684593,6,0,2
DEF,13.2,1.3,18,3.3,90,FALSE,0.043189909,0,0.790063,7,0,2
