inst#,actual,predicted,error,prediction
1,1:no,1:no,,1
2,1:no,1:no,,0.893
3,1:no,1:no,,0.999
4,1:no,1:no,,0.999
5,1:no,1:no,,1
6,1:no,1:no,,0.849
7,1:no,1:no,,0.998
8,1:no,1:no,,0.999
9,1:no,1:no,,0.999
10,1:no,1:no,,0.999
11,1:no,1:no,,0.997
12,1:no,1:no,,0.999
13,1:no,1:no,,0.993
14,1:no,1:no,,0.983
15,1:no,1:no,,1
16,1:no,1:no,,0.994
17,1:no,2:return,+,0.57
18,1:no,1:no,,1
19,1:no,1:no,,1
20,1:no,1:no,,0.999
21,1:no,1:no,,0.999
22,1:no,1:no,,0.997
23,1:no,1:no,,0.997
24,1:no,1:no,,0.999
25,1:no,1:no,,0.994
26,1:no,1:no,,0.992
27,1:no,1:no,,0.999
28,1:no,1:no,,0.998
29,1:no,1:no,,0.999
30,1:no,1:no,,0.999
31,1:no,1:no,,0.998
32,1:no,1:no,,0.999
33,1:no,1:no,,0.716
34,1:no,1:no,,0.997
35,1:no,2:return,+,1
36,1:no,1:no,,0.999
37,1:no,1:no,,0.999
38,1:no,1:no,,0.999
39,1:no,2:return,+,1
40,1:no,2:return,+,1
41,1:no,1:no,,0.998
42,1:no,1:no,,1
43,1:no,1:no,,0.993
44,1:no,1:no,,1
45,1:no,1:no,,1
46,1:no,2:return,+,0.724
47,1:no,2:return,+,0.772
48,1:no,1:no,,0.962
49,1:no,1:no,,0.974
50,1:no,1:no,,0.998
51,1:no,1:no,,0.999
52,1:no,2:return,+,0.876
53,1:no,1:no,,0.999
54,1:no,2:return,+,1
55,1:no,1:no,,0.999
56,2:return,1:no,+,0.999
57,2:return,1:no,+,1
58,2:return,2:return,,0.969
59,2:return,1:no,+,0.999
60,2:return,1:no,+,0.994
61,2:return,1:no,+,0.999
62,2:return,1:no,+,0.916
63,2:return,1:no,+,0.895
64,2:return,1:no,+,0.997
65,2:return,1:no,+,0.988
66,2:return,2:return,,1
67,2:return,2:return,,1
68,2:return,2:return,,0.991
69,2:return,2:return,,0.505
70,2:return,2:return,,0.834
71,2:return,1:no,+,0.998
72,2:return,2:return,,0.626
73,2:return,1:no,+,0.862
74,2:return,1:no,+,0.976
75,2:return,1:no,+,0.723
76,2:return,2:return,,0.724
77,2:return,2:return,,1

