avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
0.003628995,0,2.10509,7.1,1.3,0.75,0.925,2,0,1.25,no
0.171015113,0.335868292,1.6370605,10.8,43.4,16.25,7.05,2,0,2.25,no
0.010547836,0.072725281,1.24197975,19.35,10,4.25,3.35,6,0,2,no
0.034458052,0.045777952,1.86864425,9.95,11.875,6.25,2.8,1,0,1.75,no
0.025263924,0.026519585,1.62463175,7.4,10.8,7.75,2.6,9,0,2.25,no
0.318246823,0.150935775,1.04501825,12.45,22.1,42.5,7.7,4,0,2.75,no
0.01685554,0.198103718,1.6287,20.75,6.875,10.75,3.85,8,0,3.5,no
0.005781896,0.006089166,1.523287,11.7,4.275,0.25,1.625,2,0,1.75,no
0.003240215,0.011645024,1.3951055,9.45,10.825,2,2.225,1,0,2.75,no
0.150864282,0.035714369,2.52022,9.65,10.8,10.5,2.975,4,1,2,no
0.08625714,0.104518551,1.42113425,7.95,25.725,13.25,4.7,4,1,2,no
0.012405452,0.08454176,1.51067775,6.35,11.85,9,2.725,4,1,2.75,no
0,0.256614068,0.5470635,19.2,15.475,1,3.55,3,1,2.75,no
0.078709526,0.068396397,1.13838275,30.25,29.95,7.25,6.725,6,0,3.5,no
0.054261658,0,0.651171,0,0.5,4,0.3,8,1,1,no
0.16894134,0.132008713,1.84459975,9.8,13.975,27.5,5.125,1,0,2.75,no
0.489656311,0.112092361,0.5470635,26.55,17.4,25,6.9,3,1,5.75,no
0.004336456,0,0.9063735,1.9,1.475,1.75,0.45,4,0,1,no
0.004336456,0,1.4698675,2.35,2.375,2.25,0.65,9,0,1,no
0.114132375,0.103118597,0.94635625,8.9,16,7,3.225,7,0,2,no
0.022664387,0.051359653,1.573614,9.25,4.4,5.75,1.95,1,0,2.5,no
0.077436703,0.174288586,1.52218225,7.55,11.075,20.75,3.9,3,0,2.75,no
0.065306909,0.005925463,0.478584175,20.7,9.4,10.25,4.025,3,0,3.5,no
0.003365316,0.006524763,1.162421,8.25,9.425,0.25,1.8,1,1,1.25,no
0.15319357,0.027039439,1.20288675,11.75,10.875,19.75,4.175,1,1,4.25,no
0.146776784,0.031834853,1.52059025,24,13.8,14.75,5.275,8,1,5.25,no
0.043301955,0.008628722,1.629456667,3.733333333,4.633333333,6.333333333,1.466666667,4,1,1.333333333,no
0.059040898,0.082748502,0.98157155,11.55,17.075,7.5,3.6,8,1,3.75,no
0.112619937,0.013530688,1.634417,11.85,4.95,13.25,3.025,1,1,1,no
0.048233593,0.043963976,0.8324915,11.65,12.8,10.75,3.525,8,1,3,no
0.025296228,0.034468997,0.8324915,13.45,16.1,7.5,3.725,8,1,4,no
0.031014748,0.050437399,0.87045455,13.5,19.925,2.25,3.575,8,1,2.25,no
0.208103232,0.055074688,0.458078925,31.6,27.425,23.75,8.3,3,0,5.75,no
0.121034747,0.047868548,1.53066875,14.05,16.925,5.5,3.625,2,0,4.5,no
0.984207793,0.343167055,0.554488375,62.65,27.55,45.25,13.55,7,0,13.5,no
0.022273632,0.006633125,0.89271675,11.8,4.125,7,2.3,6,1,2,no
0.020722357,0.004379486,1.67117275,7.55,4.6,11.25,2.325,1,1,1.75,no
0.039658181,0.009681629,1.69939,11,9.6,0.25,2.125,5,1,1.5,no
0.408288609,0.346525077,0.93953075,44.95,36.65,35,11.65,9,0,9,no
0.38466824,0.345688437,1.04597425,45.95,36.775,35,11.775,4,0,9,no
0.015927269,0.03270412,1.044256,18.35,16.875,6.5,4.2,4,0,3,no
0.012644882,0.027114841,2.001971,9,11.325,3,2.35,10,1,1.75,no
0.303150157,0.035983931,1.51028225,17.2,6.15,20.25,4.375,6,0,4.5,no
0.009492462,0,1.93168725,2.55,0.85,1.75,0.525,6,0,1,no
0.025183243,0.02913262,1.822915,8.5,11.3,8.5,2.825,10,0,1.25,no
0.322354926,0.064467528,0.849863,34.95,16.175,34.25,8.55,6,0,7.5,no
0.166042189,0.400245078,2.01581775,29.45,43.75,23,9.625,3,0,4.75,no
0.195107117,0.205598547,0.3496734,21,19.775,19,5.975,2,0,4.25,no
0.241508856,0.077279521,1.00987325,19.65,21.05,29,7,9,0,4.5,no
0.118788747,0.016992822,1.114629,12.15,6.225,16.75,3.525,3,1,2.25,no
0.014261813,0,0.83786675,0.4,1.85,4.5,0.675,3,1,1.25,no
0.158960238,0.460210893,2.18795775,33.5,42.05,19.25,9.5,8,1,5.75,no
0.171964507,0.021636438,2.01943525,4.7,8.8,23,3.6,7,1,2.25,no
0.749992087,0.220873659,0.710273375,39.85,22.45,59.25,12.175,7,1,7,no
0,0.122637605,1.48562075,19.25,14.8,2,3.625,6,0,2.5,no
