ID,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,total_points,class
324,0.13131357,0.378074709,0.95068925,13.75,27.35,18.75,6,10,1,2.75,-2,no
605,0.025188433,0.01512198,1.054888,4.65,8.35,9.5,2.225,2,0,2.25,-2,no
1389,0.025242221,0.039916884,1.63714725,9.4,6.5,1.25,1.725,8,1,2,-2,no
3224,0,0.215474149,1.3381415,13.75,19.65,1.5,3.5,5,0,2.75,-2,no
3442,0.470762055,0.248038029,0.696066875,18.95,29.8,46.75,9.55,10,0,4,-2,no
3769,0.005572788,0.014560921,1.1083465,19.25,5.075,3.75,2.8,2,0,2.5,-2,no
3895,0.088096641,0,1.6423275,12.45,3.325,7.75,2.35,3,0,2.75,-2,no
4258,0.024227332,0.121081946,1.22315225,13.9,13.9,8.25,3.625,6,0,2.75,-2,no
4355,0.003628995,0,2.10509,7.1,1.3,0.75,0.925,2,0,1.25,-2,no
4431,0.171015113,0.335868292,1.6370605,10.8,43.4,16.25,7.05,2,0,2.25,-2,no
4814,0.010547836,0.072725281,1.24197975,19.35,10,4.25,3.35,6,0,2,-2,no
4968,0.034458052,0.045777952,1.86864425,9.95,11.875,6.25,2.8,1,0,1.75,-2,no
5461,0.025263924,0.026519585,1.62463175,7.4,10.8,7.75,2.6,9,0,2.25,-2,no
5975,0.318246823,0.150935775,1.04501825,12.45,22.1,42.5,7.7,4,0,2.75,-2,no
6519,0.01685554,0.198103718,1.6287,20.75,6.875,10.75,3.85,8,0,3.5,-2,no
6641,0.005781896,0.006089166,1.523287,11.7,4.275,0.25,1.625,2,0,1.75,-2,no
7840,0.003240215,0.011645024,1.3951055,9.45,10.825,2,2.225,1,0,2.75,-2,no
9318,0.150864282,0.035714369,2.52022,9.65,10.8,10.5,2.975,4,1,2,-2,no
9764,0.08625714,0.104518551,1.42113425,7.95,25.725,13.25,4.7,4,1,2,-2,no
9813,0.027674221,0,1.12968275,13,3.875,2.75,1.975,2,1,1.75,-2,no
9973,0.010660301,0.018383839,1.65645925,6.3,6.95,1.5,1.5,5,1,1.25,-2,no
9993,0.041288657,0.02913262,2.024315,10.75,7.575,13.75,3.225,3,0,2.25,-2,no
10624,0,0,0.795508,4.4,0.3,0,0.5,10,0,1,-2,no
10691,0.027584508,0.055383078,1.2909595,5.05,10.825,3.5,1.95,3,1,2,-2,no
502,0.047101325,0.037506735,0.70555925,19.05,19.375,12.5,5.125,3,1,3.5,-1,no
1521,0.024495086,0.04592512,1.01878225,16.85,14.45,5,3.625,3,1,3,-1,no
1993,0.02977385,0.019543845,1.81718425,5.45,8.725,7.5,2.125,6,1,1.5,-1,no
2073,0.035371553,0.029585146,2.13898675,5.15,13.65,5.75,2.475,7,1,1.25,-1,no
2157,0.053021251,0.052767207,1.29692375,23.75,10.4,10.25,4.475,5,1,3.25,-1,no
2473,0.074683996,0.142437994,0.67234925,13.75,16.2,11.5,4.15,10,1,3,-1,no
2891,0.200523365,0.024455112,0.73040275,16.8,14.2,21,5.225,7,0,3.75,-1,no
3035,0.012994811,0.023753128,1.009368,15.7,9.925,4.75,3.05,3,1,2.25,-1,no
3517,0.036341975,0.141327146,0.80879475,11,10.875,6.75,2.85,10,0,2.25,-1,no
3852,0.002501909,0.021730038,0.648384,9.85,11.9,1.25,2.325,6,1,1.5,-1,no
3965,0.053571211,0.016826979,1.52545,11.5,10.875,10.5,3.275,5,0,2.5,-1,no
4191,0.021124836,0.181598222,1.7827375,16.55,21.15,6.75,4.425,7,0,2.25,-1,no
4253,0.012578442,0.004096719,2.3927,7.75,4.85,1.25,1.4,4,1,1.25,-1,no
4863,0.389012494,0.016353707,1.8236225,22.25,11.1,26.75,5.925,1,1,4,-1,no
5476,0.328118239,0.174607322,1.41548475,40.4,22.375,25.5,8.825,3,1,7.75,-1,no
5477,0.578995243,0.257068902,1.282065,26.2,12.625,39.25,7.8,9,0,5.5,-1,no
5742,0.083705624,0.227346366,1.4064765,21.4,39.125,9.25,7,4,1,4,-1,no
6876,0.155148889,0.177131083,1.2027215,18.55,22.1,13,5.35,9,0,2,-1,no
7301,0.323804026,0.733673096,1.06355475,47.25,36.7,37.75,12.15,9,1,9.25,-1,no
8345,0.022396768,0.028954435,1.173733625,4.8,13.45,8.75,2.7,10,0,1.5,-1,no
9000,0.225078915,0.098080322,1.625121,15.85,5.675,9.25,3.1,5,0,2.5,-1,no
10251,0.287104618,0.206974424,0.51996125,20.65,24.025,38.5,8.325,3,1,5.75,-1,no
11430,0.279377155,0.04214795,1.73109675,24.2,17.85,17.75,5.975,1,0,3.25,-1,no
11964,0.103554489,0.045752877,0.99497325,6.45,12.65,20.5,3.975,10,0,2.5,-1,no
71,0.027519904,0.009013095,0.760989,2.2,7.65,10.5,2.05,2,0,3,0,no
73,0.009216545,0.016952502,1.427475,8.1,10.55,2.5,2,8,0,1.5,0,no
109,0.083158351,0.043992702,1.64918575,11.1,17.625,15.75,4.45,3,0,2.5,0,no
147,0.099453438,0.078151897,0.433984,6.4,28.8,15,5.05,10,1,1.5,0,no
360,0.061806663,0.051586939,1.70467825,7.7,16.775,12,3.675,5,0,2,0,no
425,0.040225754,0.071714647,0.275167,23.95,26.05,11,6.125,1,0,3.25,0,no
461,0.029838149,0.055270141,3.001295,15.1,9.725,8.75,3.35,8,1,1.75,0,no
516,0.094791759,0.074320154,0.879661,18.75,15.425,21.75,5.6,4,0,4.25,0,no
628,0.128916852,0.090549253,0.94501225,25.5,17.225,15.75,5.85,6,1,5.5,0,no
645,0,0.004698223,1.11504725,3.5,3.375,0,0.7,9,0,1,0,no
683,0.03261644,0.012728496,1.00715175,4.3,4.975,8,1.7,5,1,1.75,0,no
701,0.030237643,0.053854196,0.70719875,6.55,17.65,2.75,2.7,1,1,2.25,0,no
753,0.118168706,0.053807652,0.470685,5.65,15.25,18.25,3.925,6,1,2.25,0,no
786,0.140184581,0.035634184,1.264216,18,16.6,12.75,4.725,6,0,3.5,0,no
833,0.040562097,0.088095566,1.3572265,7.9,11.45,13.25,3.25,10,0,2,0,no
851,0.063154184,0.026915596,1.548855,4.8,9.25,9.5,2.35,2,0,2,0,no
873,0.05841792,0.245069912,1.23166375,24.45,16.775,21.5,6.3,3,1,5.5,0,no
969,0.0826825,0.124381175,1.322885,9,28.975,10.75,4.875,9,0,2.75,0,no
975,0.215059542,0.019580217,0.88598125,15.25,9.4,17.75,4.25,10,0,3.25,0,no
1063,0.076989572,0.057852827,1.8388525,3.7,10.925,6.5,2.1,10,0,2,0,no
1150,0.089480832,0.117830473,0.6914245,13.5,25.6,21.5,6.05,1,0,3.5,0,no
1184,0.005951452,0.025930183,0.70259125,20.85,8.375,5.5,3.475,9,0,3.5,0,no
1228,0.018692985,0.120376013,1.3118865,8.6,4.15,4.75,1.75,10,1,2,0,no
1267,0.154212439,0.107208475,0.85266925,20.55,14.625,27.5,6.3,9,0,4.75,0,no
1269,0.091728326,0.125054692,1.35855075,15.55,35.05,10.25,6.075,6,0,2.75,0,no
1273,0,0.011720198,0.92649925,3.15,5.075,0.5,0.85,10,1,1.5,0,no
1304,0.004705982,0.040058317,1.82107,9.55,16.15,3.25,2.9,5,1,1.75,0,no
1322,0.053055985,0.006376489,1.1265275,3.75,5.425,5.75,1.45,4,1,1,0,no
1358,0.022083478,0.024552777,0.61242575,5.65,7.75,6.25,1.95,4,0,1,0,no
1363,0.018578126,0,1.9546225,13.25,5.65,4.5,2.325,8,0,1.75,0,no
1417,0,0.014235874,1.895245,4.3,4.675,2.5,1.125,10,1,1,0,no
1536,0.28784235,0.585557267,0.8342215,44.5,53.95,29.25,12.8,7,1,11.5,0,no
1606,0,0,1.70802,0.6,0.3,0,0.1,10,0,1,0,no
1630,0.185578216,0.040894972,0.87974,15.65,15.85,31.75,6.325,3,0,2.75,0,no
1805,0.012666219,0.012263219,1.184965,9.3,6.15,3.5,1.9,5,0,1.25,0,no
1901,0.175425096,0.228340463,1.87333525,26.25,36.075,13.75,7.625,7,0,4.25,0,no
1940,0.01122098,0,2.25706,1.7,0.35,1,0.3,10,0,0.75,0,no
1967,0.037792329,0,0.898622,12,0.75,9.5,2.2,5,0,1.5,0,no
2008,0.01694981,0.028837263,0.94350775,4.75,12.7,2.5,2,2,0,1.5,0,no
2011,0.220437376,0.014238139,1.1106285,16.7,10.825,28.5,5.6,5,1,3.25,0,no
2038,0.063556826,0.037792317,1.0224175,7.9,13.55,14.25,3.575,2,0,2.25,0,no
2103,0.030873537,0,1.15553675,2.05,3.825,4,0.95,5,0,1.5,0,no
2144,0.119636275,0.028297663,0.58553975,5.25,4.5,15.25,2.5,10,0,1.5,0,no
