name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Alexandre Lacazette,FWD,0.5112615525722504,0.10042780637741089,0.8988015,20.6,14.225,44.0,7.875,10,1,4.75,?
Edward Nketiah,FWD,0.025281021371483803,0.12627603113651276,0.8988015,5.3,2.6500000000000004,2.0,0.9,10,1,1.25,?
Mika Biereth,FWD,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,1,0.0,?
Ollie Watkins,FWD,0.3124049734324217,0.21157027781009674,0.9338212499999999,24.9,11.350000000000001,41.0,7.75,8,1,3.25,?
Danny Ings,FWD,0.15649908408522606,0.21959554590284824,0.9338212499999999,28.300000000000004,16.175,17.5,6.2250000000000005,8,1,6.0,?
Ivan Toney,FWD,0.8741906434297562,0.11514712730422616,1.3437127500000001,47.7,9.425,36.25,9.35,5,0,7.5,?
Nathan Young-Coombes,FWD,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,5,0,0.0,?
Neal Maupay,FWD,0.05626544263213873,0.11449496261775494,1.5468319999999998,1.9999999999999998,11.75,13.5,2.725,7,1,1.0,?
Danny Welbeck,FWD,0.21332887187600136,0.0,1.5468319999999998,1.25,0.925,16.0,1.775,7,1,1.0,?
Evan Ferguson,FWD,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,7,1,0.0,?
Jay Rodriguez,FWD,0.020941981812939048,0.0,1.7350124999999998,0.0,1.05,5.25,0.45,10,1,1.5,?
Ashley Barnes,FWD,0.0,0.0,1.7350124999999998,1.9,0.075,0.0,0.2,10,1,0.5,?
Lewis Richardson,FWD,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,1,0.0,?
Wout Weghorst,FWD,0.2076924480497837,0.0,1.7350124999999998,3.4,3.0500000000000003,12.0,1.825,10,1,1.75,?
Timo Werner,FWD,0.08020358625799417,0.0,0.67125375,0.55,2.35,13.0,1.5,4,1,1.25,?
