name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Granit Xhaka,MID,0.07202276773750782,0.16270208545029163,0.8988015,7.949999999999999,18.8,17.75,4.45,10,1,1.75,?
Mohamed Naser El Sayed Elneny,MID,0.003891529282554984,0.01082506775856018,0.8988015,0.0,0.0,0.0,0.0,10,1,0.0,?
Thomas Partey,MID,0.2663040906190872,0.08791023585945368,0.8988015,17.9,16.275,19.0,5.324999999999999,10,1,4.5,?
Nicolas Pépé,MID,0.1786926779896021,0.0,0.8988015,8.65,0.6749999999999999,7.25,1.5999999999999999,10,1,2.25,?
Emile Smith Rowe,MID,0.12500499188899994,0.1253245840780437,0.8988015,1.25,2.675,4.75,0.875,10,1,0.25,?
Bukayo Saka,MID,0.26341983303427696,0.24586566910147667,0.8988015,22.6,31.6,50.75,10.475,10,1,4.0,?
Gabriel Teodoro Martinelli Silva,MID,0.2268444150686264,0.10188276134431362,0.8988015,17.8,15.375,29.75,6.300000000000001,10,1,3.75,?
Albert Sambi Lokonga,MID,0.0109680718742311,0.12575486674904823,0.8988015,0.0,0.0,0.0,0.0,10,1,0.0,?
Martin Ødegaard,MID,0.1863514631986618,0.2796642603352666,0.8988015,20.6,37.525000000000006,11.25,6.95,10,1,3.25,?
Charlie Patino,MID,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,1,0.0,?
Omari Hutchinson,MID,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,1,0.0,?
Salah-Eddine Oulad M'hand,MID,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,10,1,0.0,?
Bertrand Traoré,MID,0.016401056200265884,0.0,0.9338212499999999,0.0,0.0,0.0,0.0,8,1,0.0,?
Morgan Sanson,MID,0.0,0.007051583845168352,0.9338212499999999,3.05,2.95,0.0,0.6,8,1,0.75,?
John McGinn,MID,0.2059221863746643,0.070932830683887,0.9338212499999999,18.8,17.7,24.5,6.1,8,1,2.75,?
Emiliano Buendía Stati,MID,0.11899388395249844,0.18383962102234364,0.9338212499999999,6.8,6.4,10.25,2.35,8,1,1.5,?
Douglas Luiz Soares de Paulo,MID,0.17967439256608486,0.0,0.9338212499999999,18.849999999999998,6.2,17.75,4.2749999999999995,8,1,3.5,?
Jacob Ramsey,MID,0.07816237211227417,0.09062125906348228,0.9338212499999999,24.0,15.725,11.0,5.075,8,1,4.75,?
Leon Bailey,MID,0.024148574098944664,0.10184382647275925,0.9338212499999999,2.75,4.7,3.25,1.075,8,1,0.5,?
