Understat_ID, FPL_ID, Understat_Name, FPL_Name,
181,1,Bernd Leno,Bernd Leno,
6875,2,,,
700,3,,,
318,4,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,
847,5,Cédric Soares,Cédric Soares,
3277,6,Alexandre Lacazette,Alexandre Lacazette,
204,7,Granit Xhaka,Granit Xhaka,
8380,8,Pablo Marí,Pablo Marí,
492,9,,,
508,10,Calum Chambers,Calum Chambers,
342,11,Sead Kolasinac,Sead Kolasinac,
496,12,Mohamed Elneny,Mohamed Naser El Sayed Elneny,
1750,13,Ainsley Maitland-Niles,Ainsley Maitland-Niles,
1749,14,Rob Holding,Rob Holding,
2328,15,Thomas Partey,Thomas Partey,
8089,16,Kieran Tierney,Kieran Tierney,
5656,17,Nicolas Pepe,Nicolas Pépé,
1227,18,,,
6630,19,Joe Willock,Joseph Willock,
6482,20,,,
7230,21,Emile Smith-Rowe,Emile Smith Rowe,
7322,22,Bukayo Saka,Bukayo Saka,
5613,23,Gabriel,Gabriel Magalhães,
6722,24,,,
5759,25,,,
7752,26,Gabriel Martinelli,Gabriel Teodoro Martinelli Silva,
6888,27,,,
4475,28,Jed Steer,Jed Steer,
7721,29,,,
4401,30,Emiliano Martinez,Emiliano Martínez,
7152,31,,,
695,32,Bertrand Traoré,Bertrand Traoré,
675,33,Jack Grealish,Jack Grealish,
3696,34,,,
7723,35,John McGinn,John McGinn,
6859,36,Kortney Hause,Kortney Hause,
7722,37,,,
1024,38,Tyrone Mings,Tyrone Mings,
884,39,Matt Targett,Matt Targett,
8865,40,Ollie Watkins,Ollie Watkins,
8040,41,Marvelous Nakamba,Marvelous Nakamba,
5612,42,Anwar El Ghazi,Anwar El Ghazi,
2203,43,Emiliano Buendía,Emiliano Buendía Stati,
8864,44,Matthew Cash,Matthew Cash,
7726,45,Ezri Konsa Ngoyo,Ezri Konsa Ngoyo,
3253,46,,,
7724,47,Wesley,Wesley Moraes,
8287,48,,,
1053,49,,,
6122,50,Douglas Luiz,Douglas Luiz Soares de Paulo,
8941,51,Jacob Ramsey,Jacob Ramsey,
631,52,Ashley Young,Ashley Young,
486,53,Adam Lallana,Adam Lallana,
239,55,Pascal Groß,Pascal Groß,
6047,56,Shane Duffy,Shane Duffy,
6050,57,,,
7382,58,Dan Burn,Dan Burn,
6048,59,Lewis Dunk,Lewis Dunk,
6049,60,Solly March,Solomon March,
7699,61,Adam Webster,Adam Webster,
8780,62,Joël Veltman,Joël Veltman,
3621,63,Neal Maupay,Neal Maupay,
7698,64,Leandro Trossard,Leandro Trossard,
2385,65,,,
6842,66,,,
7298,67,Ben White,Ben White,
5245,68,,,
9098,69,Robert Sánchez,Robert Sánchez,
5609,70,Yves Bissouma,Yves Bissouma,
8226,71,,,
7991,72,Aaron Connolly,Aaron Connolly,
8020,73,Steven Alzate,Steven Alzate,
8379,74,Alexis Mac Allister,Alexis Mac Allister,
9284,75,Jakub Moder,Jakub Moder,
1801,76,Pontus Jansson,Pontus Jansson,
7083,77,Christian Nørgaard,Christian Nørgaard,
998,78,Ivan Toney,Ivan Toney,
9676,80,David Raya,David Raya Martin,
1078,81,Sergi Canos,Sergi Canós,
9679,83,Rico Henry,Rico Henry,
9680,84,Vitaly Janelt,Vitaly Janelt,
7069,85,Saman Ghoddos,Saman Ghoddos,
7166,86,Mathias Jensen,Mathias Jensen,
9684,88,Marcus Forss,Marcus Forss,
9685,89,Mads Roerslev,Mads Roerslev Rasmussen,
9683,90,Mads Bech Sørensen,Mads Bech Sørensen,
9678,91,Ethan Pinnock,Ethan Pinnock,
6552,96,Bryan Mbeumo,Bryan Mbeumo,
9682,97,Mads Bidstrup,Mads Bidstrup,
1665,98,James Tarkowski,James Tarkowski,
857,99,,,
887,100,Erik Pieters,Erik Pieters,
712,101,Jack Cork,Jack Cork,
6051,102,,,
1747,103,,,
844,104,Jay Rodriguez,Jay Rodriguez,
4422,105,Ashley Barnes,Ashley Barnes,
1654,106,Ben Mee,Ben Mee,
669,107,Ashley Westwood,Ashley Westwood,
1663,108,Johann Berg Gudmundsson,Johann Berg Gudmundsson,
4456,109,Chris Wood,Chris Wood,
1652,110,Matthew Lowton,Matthew Lowton,
1017,111,Matej Vydra,Matej Vydra,
5552,112,Nick Pope,Nick Pope,
6044,113,Charlie Taylor,Charlie Taylor,
7459,114,,,
8323,115,Josh Brownhill,Josh Brownhill,
7383,116,,,
8482,117,,,
6756,118,Dwight McNeil,Dwight McNeil,
681,119,César Azpilicueta,César Azpilicueta,
502,120,,,
3288,121,Thiago Silva,Thiago Emiliano da Silva,
1621,122,Marcos Alonso,Marcos Alonso,
1389,123,Jorginho,Jorge Luiz Frello Filho,
592,124,Ross Barkley,Ross Barkley,
2254,125,Mateo Kovacic,Mateo Kovacic,
1678,126,,,
1822,127,Antonio Rüdiger,Antonio Rüdiger,
935,128,Kurt Zouma,Kurt Zouma,
5061,129,Kepa,Kepa Arrizabalaga,
751,130,N&#039;Golo Kanté,N'Golo Kanté,
8992,131,Hakim Ziyech,Hakim Ziyech,
688,132,Ruben Loftus-Cheek,Ruben Loftus-Cheek,
200,133,Andreas Christensen,Andreas Christensen,
65,134,Timo Werner,Timo Werner,
782,135,Ben Chilwell,Benjamin Chilwell,
702,136,,,
2662,137,Christian Pulisic,Christian Pulisic,
7768,138,Mason Mount,Mason Mount,
6369,139,,,
6456,140,Callum Hudson-Odoi,Callum Hudson-Odoi,
5220,141,Kai Havertz,Kai Havertz,
8067,142,Reece James,Reece James,
6880,143,Edouard Mendy,Edouard Mendy,
9040,144,Conor Gallagher,Conor Gallagher,
7988,145,Billy Gilmour,Billy Gilmour,
2190,146,Vicente Guaita,Vicente Guaita,
530,147,,,
633,148,James McArthur,James McArthur,
606,149,Christian Benteke,Christian Benteke,
532,150,Cheikhou Kouyaté,Cheikhou Kouyaté,
525,151,,,
5549,152,Luka Milivojevic,Luka Milivojevic,
672,153,Jordan Ayew,Jordan Ayew,
522,154,Wilfried Zaha,Wilfried Zaha,
757,155,Jeffrey Schlupp,Jeffrey Schlupp,
856,156,,,
6027,157,Jairo Riedewald,Jairo Riedewald,
5735,159,Jean-Philippe Mateta,Jean-Philippe Mateta,
8706,160,,,
8214,162,Tyrick Mitchell,Tyrick Mitchell,
876,163,Fabian Delph,Fabian Delph,
714,164,,,
585,165,Seamus Coleman,Seamus Coleman,
2249,166,,,
7063,167,,,
1823,168,Lucas Digne,Lucas Digne,
1653,169,Michael Keane,Michael Keane,
741,170,Jordan Pickford,Jordan Pickford,
1379,171,Allan,Allan Marques Loureiro,
2383,172,André Gomes,André Filipe Tavares Gomes,
1726,173,Abdoulaye Doucouré,Abdoulaye Doucouré,
500,174,Alex Iwobi,Alex Iwobi,
6521,175,Yerry Mina,Yerry Mina,
1042,176,Tom Davies,Tom Davies,
5555,177,Dominic Calvert-Lewin,Dominic Calvert-Lewin,
985,178,Mason Holgate,Mason Holgate,
7689,179,Ben Godfrey,Ben Godfrey,
6026,180,Richarlison,Richarlison de Andrade,
8366,181,,,
2164,182,,,
2259,183,,,
8816,184,Liam Cooper,Liam Cooper,
8716,185,Luke Ayling,Luke Ayling,
4381,186,Mateusz Klich,Mateusz Klich,
2381,187,Rodrigo,Rodrigo Moreno,
8718,188,Stuart Dallas,Stuart Dallas,
822,189,Patrick Bamford,Patrick Bamford,
2163,190,Diego Llorente,Diego Llorente,
8719,191,Kalvin Phillips,Kalvin Phillips,
3428,192,Hélder Costa,Hélder Wander Sousa de Azevedo e Costa,
1014,193,Tyler Roberts,Tyler Roberts,
6273,194,Robin Koch,Robin Koch,
8723,195,,,
8026,196,Raphinha,Raphael Dias Belloli,
8721,197,Jamie Shackleton,Jamie Shackleton,
8717,198,Pascal Struijk,Pascal Struijk,
8715,199,Illan Meslier,Illan Meslier,
745,200,Kasper Schmeichel,Kasper Schmeichel,
807,201,Jonny Evans,Jonny Evans,
753,202,Marc Albrighton,Marc Albrighton,
1785,203,,,
473,204,,,
755,205,Jamie Vardy,Jamie Vardy,
1234,206,,,
3303,207,Ricardo Pereira,Ricardo Domingos Barbosa Pereira,
759,208,Daniel Amartey,Daniel Amartey,
6157,209,Timothy Castagne,Timothy Castagne,
5956,210,Youri Tielemans,Youri Tielemans,
770,211,Ayoze Pérez,Ayoze Pérez,
6818,212,James Maddison,James Maddison,
620,213,Kelechi Iheanacho,Kelechi Iheanacho,
6418,214,Hamza Choudhury,Hamza Choudhury,
6681,215,Harvey Barnes,Harvey Barnes,
5545,216,Wilfred Ndidi,Wilfred Ndidi,
5264,217,Caglar Söyüncü,Çaglar Söyüncü,
7753,218,,,
8562,219,Luke Thomas,Luke Thomas,
7589,220,,,
489,221,James Milner,James Milner,
605,222,Jordan Henderson,Jordan Henderson,
527,223,,,
332,224,Joel Matip,Joel Matip,
229,225,Thiago Alcántara,Thiago Alcántara do Nascimento,
888,226,,,
966,227,Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain,
482,228,Roberto Firmino,Roberto Firmino,
833,229,Virgil van Dijk,Virgil van Dijk,
838,230,Sadio Mané,Sadio Mané,
1257,231,Alisson,Alisson Ramses Becker,
3420,232,Fabinho,Fabio Henrique Tavares,
1250,233,Mohamed Salah,Mohamed Salah,
1688,234,Andrew Robertson,Andrew Robertson,
484,235,Divock Origi,Divock Origi,
8239,236,,,
1791,237,Trent Alexander-Arnold,Trent Alexander-Arnold,
987,238,Joseph Gomez,Joseph Gomez,
5247,239,Naby Keita,Naby Keita,
6854,240,Diogo Jota,Diogo Jota,
8228,241,,,
7904,242,,,
6326,243,Ibrahima Konaté,Ibrahima Konaté,
6665,244,Curtis Jones,Curtis Jones,
8852,245,Konstantinos Tsimikas,Konstantinos Tsimikas,
8204,246,,,
9086,247,,,
638,249,Kyle Walker,Kyle Walker,
