inst#,actual,predicted,error,prediction
1,1:?,1:no,,0.526
2,1:?,1:no,,0.998
3,1:?,1:no,,0.52
4,1:?,1:no,,0.59
5,1:?,2:return,,0.645
6,1:?,1:no,,0.999
7,1:?,2:return,,0.562
8,1:?,1:no,,0.509
9,1:?,2:return,,0.556
10,1:?,1:no,,0.999
11,1:?,1:no,,0.817
12,1:?,1:no,,0.627
13,1:?,1:no,,0.905
14,1:?,1:no,,1
15,1:?,1:no,,0.999
16,1:?,1:no,,0.878
17,1:?,1:no,,0.82
18,1:?,1:no,,1
19,1:?,1:no,,0.999
20,1:?,1:no,,0.625
21,1:?,2:return,,0.564
22,1:?,1:no,,0.825
23,1:?,1:no,,0.701
24,1:?,1:no,,0.611
25,1:?,1:no,,0.869
26,1:?,1:no,,0.64
27,1:?,1:no,,1
28,1:?,1:no,,0.999
29,1:?,1:no,,1
30,1:?,1:no,,0.999
31,1:?,1:no,,1
32,1:?,1:no,,0.999
33,1:?,1:no,,0.924
34,1:?,1:no,,0.766
35,1:?,1:no,,0.946
36,1:?,1:no,,0.825
37,1:?,1:no,,0.951
38,1:?,1:no,,0.52
39,1:?,1:no,,0.803
40,1:?,2:return,,0.577
41,1:?,1:no,,0.59
42,1:?,1:no,,0.949
43,1:?,2:return,,0.645
44,1:?,1:no,,0.999
45,1:?,1:no,,0.745
46,1:?,1:no,,0.999
47,1:?,1:no,,0.534
48,1:?,1:no,,0.999
49,1:?,1:no,,0.76
50,1:?,1:no,,0.695
51,1:?,1:no,,0.808
52,1:?,1:no,,0.869
53,1:?,1:no,,0.766
54,1:?,1:no,,0.947
55,1:?,1:no,,0.898
56,1:?,1:no,,0.878
57,1:?,1:no,,0.78
58,1:?,1:no,,0.869
59,1:?,1:no,,0.766
60,1:?,1:no,,0.926
61,1:?,1:no,,0.86
62,1:?,1:no,,0.999
63,1:?,1:no,,0.999
64,1:?,1:no,,0.992
65,1:?,1:no,,0.983
66,1:?,1:no,,0.999
67,1:?,1:no,,0.978
68,1:?,1:no,,0.775
69,1:?,1:no,,0.864
70,1:?,1:no,,0.627
71,1:?,1:no,,0.771
72,1:?,1:no,,0.814
73,1:?,1:no,,1
74,1:?,1:no,,1
75,1:?,1:no,,0.999
76,1:?,2:return,,0.742
77,1:?,1:no,,0.755
78,1:?,1:no,,0.541
79,1:?,1:no,,0.999
80,1:?,2:return,,0.716
81,1:?,2:return,,0.645
82,1:?,2:return,,0.864
83,1:?,1:no,,0.999
84,1:?,1:no,,0.803
85,1:?,1:no,,0.998
86,1:?,1:no,,0.61
87,1:?,1:no,,0.51
88,1:?,2:return,,0.821
89,1:?,1:no,,0.998
90,1:?,2:return,,0.561
91,1:?,1:no,,0.998
92,1:?,1:no,,0.716
93,1:?,1:no,,0.828
94,1:?,1:no,,0.505
95,1:?,1:no,,0.822
96,1:?,1:no,,0.999
97,1:?,1:no,,0.702
98,1:?,1:no,,0.977
99,1:?,1:no,,0.87
100,1:?,1:no,,0.999
101,1:?,1:no,,0.52
102,1:?,1:no,,0.639
103,1:?,1:no,,0.999
104,1:?,1:no,,0.999
105,1:?,1:no,,0.999
106,1:?,1:no,,0.999
107,1:?,1:no,,0.822
108,1:?,1:no,,0.54
109,1:?,1:no,,0.716
110,1:?,1:no,,0.765
111,1:?,1:no,,0.999
112,1:?,1:no,,0.87
113,1:?,1:no,,0.999
114,1:?,1:no,,0.926
115,1:?,1:no,,0.898
116,1:?,2:return,,0.566
117,1:?,1:no,,0.556
118,1:?,1:no,,0.625
119,1:?,1:no,,0.976
120,1:?,1:no,,0.521
121,1:?,1:no,,0.967
122,1:?,2:return,,0.798
123,1:?,2:return,,0.645
124,1:?,1:no,,0.675
125,1:?,1:no,,0.998
126,1:?,2:return,,0.864
127,1:?,1:no,,0.999
128,1:?,2:return,,0.645
129,1:?,1:no,,0.951
130,1:?,1:no,,0.946
131,1:?,1:no,,0.927
132,1:?,1:no,,0.958
133,1:?,1:no,,1
134,1:?,1:no,,1
135,1:?,1:no,,1
136,1:?,1:no,,0.869
137,1:?,1:no,,0.924
138,1:?,1:no,,0.556
139,1:?,1:no,,0.521
140,1:?,2:return,,0.526
141,1:?,1:no,,0.999
142,1:?,1:no,,0.999
143,1:?,1:no,,0.999
144,1:?,1:no,,0.772
145,1:?,1:no,,0.999
146,1:?,1:no,,0.926
147,1:?,1:no,,0.54
148,1:?,1:no,,0.769
149,1:?,1:no,,0.629
150,1:?,2:return,,0.649
151,1:?,1:no,,0.897
152,1:?,1:no,,0.769
153,1:?,1:no,,0.999

