inst#,actual,predicted,error,prediction
1,1:?,1:no,,0.9
2,1:?,1:no,,1
3,1:?,2:return,,0.631
4,1:?,1:no,,1
5,1:?,1:no,,0.977
6,1:?,2:return,,0.981
7,1:?,2:return,,0.606
8,1:?,1:no,,1
9,1:?,2:return,,0.795
10,1:?,1:no,,1
11,1:?,1:no,,1
12,1:?,1:no,,0.885
13,1:?,1:no,,0.968
14,1:?,1:no,,0.96
15,1:?,1:no,,0.844
16,1:?,1:no,,0.999
17,1:?,1:no,,1
18,1:?,1:no,,1
19,1:?,2:return,,0.981
20,1:?,1:no,,0.983
21,1:?,1:no,,0.999
22,1:?,1:no,,0.958
23,1:?,1:no,,0.992
24,1:?,1:no,,1
25,1:?,1:no,,0.999
26,1:?,1:no,,0.552
27,1:?,1:no,,1
28,1:?,1:no,,0.999
29,1:?,1:no,,0.943
30,1:?,1:no,,0.935
31,1:?,1:no,,0.801
32,1:?,1:no,,0.927
33,1:?,1:no,,0.85
34,1:?,1:no,,1
35,1:?,1:no,,1
36,1:?,1:no,,0.972
37,1:?,1:no,,0.998
38,1:?,1:no,,0.998
39,1:?,1:no,,1
40,1:?,1:no,,1
41,1:?,1:no,,1
42,1:?,1:no,,1
43,1:?,1:no,,1
44,1:?,1:no,,0.999
45,1:?,1:no,,0.997
46,1:?,1:no,,0.992
47,1:?,1:no,,0.976
48,1:?,1:no,,0.95
49,1:?,1:no,,0.863
50,1:?,1:no,,0.998
51,1:?,1:no,,0.993
52,1:?,1:no,,0.997
53,1:?,1:no,,0.991
54,1:?,1:no,,0.977
55,1:?,1:no,,0.996
56,1:?,1:no,,0.999
57,1:?,1:no,,0.787
58,1:?,1:no,,0.746
59,1:?,1:no,,0.999
60,1:?,1:no,,0.715
61,1:?,2:return,,0.765
62,1:?,2:return,,0.994
63,1:?,1:no,,0.995
64,1:?,1:no,,0.928
65,1:?,1:no,,1
66,1:?,2:return,,0.981
67,1:?,1:no,,0.921
68,1:?,1:no,,1
69,1:?,1:no,,1
70,1:?,1:no,,1
71,1:?,2:return,,0.559
72,1:?,1:no,,1
73,1:?,1:no,,1
74,1:?,1:no,,1
75,1:?,1:no,,1
76,1:?,1:no,,1
77,1:?,1:no,,0.998
78,1:?,1:no,,0.997
79,1:?,1:no,,0.936
80,1:?,1:no,,0.893
81,1:?,1:no,,1
82,1:?,1:no,,0.999
83,1:?,1:no,,1
84,1:?,1:no,,1
85,1:?,1:no,,0.989
86,1:?,1:no,,0.981
87,1:?,1:no,,0.953
88,1:?,1:no,,0.92
89,1:?,1:no,,1
90,1:?,1:no,,1
91,1:?,1:no,,1
92,1:?,1:no,,0.996
93,1:?,1:no,,1
94,1:?,1:no,,0.74
95,1:?,1:no,,1
96,1:?,2:return,,0.903
97,1:?,1:no,,1
98,1:?,1:no,,0.967
99,1:?,1:no,,0.997
100,1:?,1:no,,0.995
101,1:?,1:no,,0.982
102,1:?,1:no,,1
103,1:?,2:return,,0.838
104,1:?,2:return,,0.769
105,1:?,2:return,,0.536
106,1:?,1:no,,1
107,1:?,1:no,,0.999
108,1:?,1:no,,1
109,1:?,1:no,,1
110,1:?,1:no,,0.999
111,1:?,1:no,,0.876
112,1:?,1:no,,0.99
113,1:?,1:no,,0.997
114,1:?,2:return,,0.994
115,1:?,1:no,,0.994
116,1:?,2:return,,0.996
117,1:?,1:no,,0.997
118,1:?,1:no,,0.992
119,1:?,1:no,,0.978
120,1:?,1:no,,0.997
121,1:?,1:no,,1
122,1:?,1:no,,0.996
123,1:?,2:return,,0.887
124,1:?,1:no,,0.878
125,1:?,2:return,,0.665
126,1:?,2:return,,0.996
127,1:?,2:return,,0.949
128,1:?,1:no,,0.874
129,1:?,2:return,,0.947
130,1:?,2:return,,0.804
131,1:?,1:no,,0.814
132,1:?,1:no,,0.998
133,1:?,1:no,,1
134,1:?,1:no,,1
135,1:?,1:no,,0.871
136,1:?,1:no,,0.618
137,1:?,1:no,,1
138,1:?,2:return,,0.884
139,1:?,1:no,,1
140,1:?,1:no,,0.999
141,1:?,1:no,,1
142,1:?,2:return,,0.952
143,1:?,1:no,,0.745
144,1:?,1:no,,1
145,1:?,1:no,,0.967
146,1:?,1:no,,0.998
147,1:?,1:no,,0.842
148,1:?,1:no,,0.947
149,1:?,1:no,,0.998
150,1:?,1:no,,1
151,1:?,1:no,,0.978
152,1:?,1:no,,0.999
153,1:?,1:no,,0.915
154,1:?,1:no,,1
155,1:?,1:no,,1
156,1:?,1:no,,0.964
157,1:?,1:no,,0.999
158,1:?,1:no,,0.999
159,1:?,1:no,,1
160,1:?,1:no,,0.993
161,1:?,1:no,,1
162,1:?,1:no,,0.956
163,1:?,1:no,,1
164,1:?,2:return,,0.916
