name,pos,prediction,confidence_score
Bernd Leno,GK,2:return,0.532
Aaron Ramsdale,GK,2:return,0.51
Emiliano Martínez,GK,2:return,0.502
Robin Olsen,GK,2:return,0.57
David Raya Martin,GK,1:no,0.508
Alvaro Fernandes,GK,2:return,0.536
Jonas Lössl,GK,2:return,0.536
Jason Steele,GK,2:return,0.563
Robert Sánchez,GK,2:return,0.518
Nick Pope,GK,2:return,0.649
Will Norris,GK,2:return,0.669
Wayne Hennessey,GK,2:return,0.992
Kepa Arrizabalaga,GK,2:return,0.587
Edouard Mendy,GK,2:return,0.513
Vicente Guaita,GK,2:return,0.558
Jack Butland,GK,2:return,0.584
Jordan Pickford,GK,2:return,0.532
Asmir Begović,GK,1:no,0.508
Kasper Schmeichel,GK,2:return,0.541
Eldin Jakupovic,GK,2:return,0.632
Illan Meslier,GK,2:return,0.654
Adrián San Miguel del Castillo,GK,2:return,0.512
Alisson Ramses Becker,GK,2:return,0.508
Caoimhin Kelleher,GK,2:return,0.512
Ederson Santana de Moraes,GK,1:no,0.579
Zack Steffen,GK,1:no,0.508
Scott Carson,GK,1:no,0.508
David de Gea,GK,2:return,0.596
Dean Henderson,GK,2:return,0.648
Tom Heaton,GK,2:return,0.648
Karl Darlow,GK,2:return,0.58
Martin Dubravka,GK,2:return,0.541
Michael McGovern,GK,2:return,0.68
Tim Krul,GK,2:return,1
Angus Gunn,GK,2:return,0.68
Fraser Forster,GK,2:return,0.521
Willy Caballero,GK,2:return,0.548
Hugo Lloris,GK,2:return,0.52
Pierluigi Gollini,GK,2:return,0.593
Ben Foster,GK,2:return,0.621
Daniel Bachmann,GK,2:return,0.649
Darren Randolph,GK,2:return,0.631
Lukasz Fabianski,GK,2:return,0.589
Alphonse Areola,GK,2:return,0.631
John Ruddy,GK,2:return,0.666
José Malheiro de Sá,GK,2:return,0.6
Cédric Soares,DEF,1:no,0.596
Rob Holding,DEF,1:no,0.999
Gabriel Magalhães,DEF,2:return,0.562
Ben White,DEF,1:no,0.671
Nuno Varela Tavares,DEF,1:no,0.999
Calum Chambers,DEF,1:no,0.589
Kortney Hause,DEF,1:no,0.999
Tyrone Mings,DEF,1:no,0.611
Matthew Cash,DEF,2:return,0.64
Ezri Konsa Ngoyo,DEF,1:no,0.893
Ashley Young,DEF,1:no,0.762
Lucas Digne,DEF,1:no,0.755
Pontus Jansson,DEF,1:no,0.528
Rico Henry,DEF,1:no,0.821
Mads Roerslev Rasmussen,DEF,1:no,0.988
Mads Bech Sørensen,DEF,1:no,0.999
Ethan Pinnock,DEF,1:no,0.828
Kristoffer Ajer,DEF,1:no,0.517
Finley Stevens,DEF,1:no,0.999
Mathias Jorgensen,DEF,1:no,0.999
Shane Duffy,DEF,1:no,0.772
Lewis Dunk,DEF,2:return,0.572
Joël Veltman,DEF,1:no,0.772
Tariq Lamptey,DEF,1:no,0.771
Marc Cucurella,DEF,1:no,0.706
James Tarkowski,DEF,1:no,0.78
Phil Bardsley,DEF,1:no,0.999
Kevin Long,DEF,1:no,0.999
Matthew Lowton,DEF,1:no,0.999
Charlie Taylor,DEF,1:no,0.86
Nathan Collins,DEF,1:no,0.86
Connor Roberts,DEF,1:no,0.898
César Azpilicueta,DEF,1:no,0.689
Thiago Emiliano da Silva,DEF,1:no,0.817
Marcos Alonso,DEF,1:no,0.935
Antonio Rüdiger,DEF,2:return,0.562
Andreas Christensen,DEF,1:no,0.852
Reece James,DEF,2:return,0.64
Malang Sarr,DEF,1:no,0.999
Trevoh Chalobah,DEF,2:return,0.562
James Tomkins,DEF,1:no,0.999
Cheikhou Kouyaté,DEF,1:no,0.671
Martin Kelly,DEF,1:no,0.999
Tyrick Mitchell,DEF,1:no,0.526
Joel Ward,DEF,1:no,0.999
Marc Guéhi,DEF,1:no,0.746
Joachim Andersen,DEF,2:return,0.556
Nathaniel Clyne,DEF,1:no,0.847
Michael Keane,DEF,1:no,0.947
Mason Holgate,DEF,1:no,0.627
Ben Godfrey,DEF,1:no,0.869
Jonjoe Kenny,DEF,1:no,0.827
Jarrad Branthwaite,DEF,1:no,0.999
Vitalii Mykolenko,DEF,1:no,0.992
Jonny Evans,DEF,1:no,0.898
Ricardo Domingos Barbosa Pereira,DEF,1:no,0.999
Daniel Amartey,DEF,1:no,0.78
Timothy Castagne,DEF,1:no,0.757
Çaglar Söyüncü,DEF,1:no,0.711
James Justin,DEF,1:no,0.623
Wesley Fofana,DEF,1:no,0.86
Jannik Vestergaard,DEF,1:no,0.999
Liam Cooper,DEF,1:no,0.86
Luke Ayling,DEF,2:return,0.627
Diego Llorente,DEF,1:no,0.766
Robin Koch,DEF,1:no,0.766
Pascal Struijk,DEF,1:no,0.556
Charlie Cresswell,DEF,1:no,0.999
Joel Matip,DEF,1:no,0.598
Virgil van Dijk,DEF,1:no,0.791
Andrew Robertson,DEF,2:return,0.513
Trent Alexander-Arnold,DEF,2:return,0.545
Joseph Gomez,DEF,1:no,0.894
Ibrahima Konaté,DEF,1:no,0.939
Konstantinos Tsimikas,DEF,1:no,0.999
Kyle Walker,DEF,1:no,0.886
John Stones,DEF,1:no,0.796
João Pedro Cavaco Cancelo,DEF,2:return,0.513
Nathan Aké,DEF,1:no,0.917
Aymeric Laporte,DEF,1:no,0.746
Oleksandr Zinchenko,DEF,1:no,0.999
Harry Maguire,DEF,1:no,0.711
Alex Nicolao Telles,DEF,2:return,0.649
Victor Lindelöf,DEF,1:no,0.766
Eric Bailly,DEF,1:no,0.999
Aaron Wan-Bissaka,DEF,1:no,0.766
José Diogo Dalot Teixeira,DEF,1:no,0.766
Raphaël Varane,DEF,1:no,0.825
Phil Jones,DEF,1:no,0.999
Matt Targett,DEF,1:no,0.682
Dan Burn,DEF,1:no,0.639
Matt Ritchie,DEF,1:no,0.999
Jamaal Lascelles,DEF,1:no,0.983
Paul Dummett,DEF,1:no,0.999
Javier Manquillo,DEF,1:no,0.988
Emil Krafth,DEF,1:no,0.897
Fabian Schär,DEF,1:no,0.639
Federico Fernández,DEF,1:no,0.999
Grant Hanley,DEF,1:no,0.711
Sam Byram,DEF,1:no,0.697
Christoph Zimmermann,DEF,1:no,0.999
Ben Gibson,DEF,1:no,0.898
Dimitris Giannoulis,DEF,1:no,0.898
Jack Stephens,DEF,1:no,0.947
Kyle Walker-Peters,DEF,1:no,0.708
Jan Bednarek,DEF,1:no,0.718
Mohammed Salisu,DEF,1:no,0.772
Romain Perraud,DEF,1:no,0.988
Tino Livramento,DEF,1:no,0.688
Yan Valery,DEF,1:no,0.984
Matt Doherty,DEF,1:no,0.509
Eric Dier,DEF,1:no,0.611
Ben Davies,DEF,2:return,0.562
Davinson Sánchez,DEF,1:no,0.999
Joe Rodon,DEF,1:no,0.999
Cristian Romero,DEF,2:return,0.562
Emerson Aparecido Leite de Souza Junior,DEF,1:no,0.611
Craig Cathcart,DEF,1:no,0.898
Francisco Femenía Far,DEF,1:no,0.772
Christian Kabasele,DEF,1:no,0.766
William Troost-Ekong,DEF,1:no,0.999
Adam Masina,DEF,1:no,1
Francisco Sierralta,DEF,1:no,0.999
Jeremy Ngakia,DEF,1:no,0.999
Hassane Kamara,DEF,1:no,0.64
Samir Caetano de Souza Santos,DEF,1:no,0.825
Kurt Zouma,DEF,1:no,0.556
Aaron Cresswell,DEF,2:return,0.542
