@relation DEF_gameweek_32

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute is_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0.02626,0.030005,0.883091,13.5,8.8,5.75,2.8,6,1,3.25,?
0.011387,0,0.883091,0,0,0,0,6,1,0.25,?
0.017112,0.00945,0.883091,17.9,6.475,9.25,3.35,6,1,4,?
0.045558,0,0.883091,16.15,1.15,5.25,2.25,6,1,4,?
0,0.010045,0.883091,0.95,0.175,0.5,0.175,6,1,0,?
0.03399,0,1.136359,13.7,0.05,9.75,2.35,7,1,3.75,?
0.002101,0,1.136359,0,0,0,0,7,1,0,?
0.05453,0.040339,1.136359,15.55,8.175,11.5,3.5,7,1,2.75,?
0.181685,0.050669,1.136359,25.6,10.45,16,5.2,7,1,5.5,?
0,0.012385,1.136359,7.35,0.575,0.5,0.825,7,1,0.5,?
0,0.084357,1.136359,6.7,12.125,1.5,2.025,7,1,0.75,?
0.025051,0.004948,1.136359,5.75,2.85,5,1.375,7,1,2,?
0.147681,0.007203,1.04186,23.4,2.85,19.75,4.6,9,1,3.5,?
0.003311,0.100808,1.04186,10.35,8.95,0.75,1.975,9,1,2.75,?
0,0.020841,1.04186,3.15,0.95,0.5,0.45,9,1,0.75,?
0.01467,0.033339,1.04186,0,0,0,0,9,1,0,?
0,0.010426,1.04186,19.05,2.925,1.5,2.35,9,1,3,?
0.031221,0.206875,1.04186,17.15,7.125,13.25,3.725,9,1,4.5,?
0,0.028888,1.04186,0,0,0,0,9,1,0,?
0.035543,0.019198,1.04186,0,0,0,0,9,1,0,?
0.07226,0.010553,1.652368,9.8,5.9,17,3.275,8,0,0.25,?
0.190785,0.073828,1.652368,24.8,4.45,33.5,6.275,8,0,3.75,?
0.099809,0.016261,1.652368,14.2,8.475,11.75,3.45,8,0,2.25,?
0.031577,0.108656,1.652368,5.35,12.25,7.25,2.475,8,0,1.75,?
0.005499,0.174498,1.652368,18.55,29.325,5,5.3,8,0,2.75,?
0,0.003153,1.88062,23.4,2.65,1,2.7,2,0,0.25,?
0,0,1.88062,0,0,0,0,2,0,0,?
0.012398,0,1.88062,1.7,0.025,1,0.275,2,0,0.25,?
0.002063,0.11823,1.88062,0,0,0,0,2,0,0,?
0.009963,0,1.88062,9,0.475,0.25,0.975,2,0,0.5,?
0.037048,0,1.88062,6.6,0.175,3.25,1,2,0,-0.5,?
0.007072,0,1.88062,9.15,1.425,1,1.15,2,0,0.5,?
0.015921,0.052908,1.123803,4,5.55,5,1.45,6,0,0.25,?
0,0.003564,1.123803,16.8,4.725,0,2.175,6,0,2,?
0.04497,0.031774,1.123803,3.6,3.925,13.25,2.075,6,0,0,?
0.066048,0,1.123803,20.85,3.15,17.5,4.15,6,0,4.25,?
0.062251,0.011916,1.123803,7.95,2.275,1.25,1.15,6,0,2.25,?
0.047009,0.246713,1.123803,18.05,5.8,10.25,3.425,6,0,4.5,?
0.005163,0.090494,1.123803,0.6,1,0,0.15,6,0,2,?
0.106636,0.018483,1.123803,26.1,4.8,8.25,3.9,6,0,6.5,?
0.167948,0,1.014763,0,0,0,0,5,0,0,?
0.022252,0.026469,1.014763,8.05,3.225,1.75,1.3,5,0,4.5,?
0,0,1.014763,0,0,0,0,5,0,0,?
0.01481,0.018082,1.014763,20.65,8.475,6.5,3.55,5,0,5.5,?
0,0.004871,1.014763,0,0,0,0,5,0,0,?
0,0.022252,1.014763,17.1,3.1,2,2.2,5,0,5,?
0.0211,0.173753,1.014763,25.5,10.375,3.75,3.975,5,0,7.25,?
0.003679,0,1.014763,8.05,1.25,2.25,1.15,5,0,5,?
0,0,1.552381,8.45,0.15,0,0.875,8,1,1.25,?
0.051038,0.003985,1.552381,19.8,3.15,9.25,3.225,8,1,3.75,?
0.03814,0,1.552381,11.95,0.725,5.5,1.825,8,1,2,?
