name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Cédric Soares,DEF,0.02625993825495243,0.0300047118216753,0.8830912500000001,13.5,8.8,5.75,2.8,6,1,3.25,?
Rob Holding,DEF,0.011387490667402744,0.0,0.8830912500000001,0.0,0.0,0.0,0.0,6,1,0.25,?
Gabriel Magalhães,DEF,0.017111847177147865,0.009449547156691551,0.8830912500000001,17.9,6.475,9.25,3.3499999999999996,6,1,4.0,?
Ben White,DEF,0.04555841162800789,0.0,0.8830912500000001,16.15,1.15,5.25,2.25,6,1,4.0,?
Nuno Varela Tavares,DEF,0.0,0.010044875554740429,0.8830912500000001,0.95,0.175,0.5,0.175,6,1,0.0,?
Calum Chambers,DEF,0.03398982062935829,0.0,1.1363595,13.7,0.05,9.75,2.35,7,1,3.75,?
Kortney Hause,DEF,0.0021014262456446886,0.0,1.1363595,0.0,0.0,0.0,0.0,7,1,0.0,?
Tyrone Mings,DEF,0.0545300655066967,0.040339456871151924,1.1363595,15.55,8.175,11.5,3.5,7,1,2.75,?
Matthew Cash,DEF,0.18168499320745468,0.05066941678524017,1.1363595,25.6,10.45,16.0,5.2,7,1,5.5,?
Ezri Konsa Ngoyo,DEF,0.0,0.012385163456201553,1.1363595,7.35,0.575,0.5,0.825,7,1,0.5,?
Ashley Young,DEF,0.0,0.08435710705816746,1.1363595,6.699999999999999,12.125,1.5,2.0250000000000004,7,1,0.75,?
Lucas Digne,DEF,0.025051388889551163,0.00494812848046422,1.1363595,5.75,2.85,5.0,1.375,7,1,2.0,?
Pontus Jansson,DEF,0.14768096804618835,0.007202681619673967,1.04186025,23.4,2.85,19.75,4.6000000000000005,9,1,3.5,?
Rico Henry,DEF,0.0033107802737504244,0.10080752242356539,1.04186025,10.350000000000001,8.950000000000001,0.75,1.975,9,1,2.75,?
Mads Roerslev Rasmussen,DEF,0.0,0.020840613171458244,1.04186025,3.1500000000000004,0.9500000000000001,0.5,0.45,9,1,0.75,?
Mads Bech Sørensen,DEF,0.014670130796730518,0.03333882475271821,1.04186025,0.0,0.0,0.0,0.0,9,1,0.0,?
Ethan Pinnock,DEF,0.0,0.010425596497952938,1.04186025,19.05,2.9250000000000007,1.5,2.35,9,1,3.0,?
Kristoffer Ajer,DEF,0.031221283599734306,0.2068750187754631,1.04186025,17.15,7.124999999999999,13.25,3.725,9,1,4.5,?
Finley Stevens,DEF,0.0,0.028888171538710594,1.04186025,0.0,0.0,0.0,0.0,9,1,0.0,?
Mathias Jorgensen,DEF,0.03554322198033333,0.019198198802769184,1.04186025,0.0,0.0,0.0,0.0,9,1,0.0,?
Shane Duffy,DEF,0.07226020283997059,0.010552745778113604,1.6523679999999998,9.8,5.9,17.0,3.2750000000000004,8,0,0.25,?
Lewis Dunk,DEF,0.19078476168215275,0.07382820546627045,1.6523679999999998,24.8,4.45,33.5,6.275,8,0,3.75,?
Joël Veltman,DEF,0.09980896068736911,0.016260980628430843,1.6523679999999998,14.2,8.475000000000001,11.75,3.45,8,0,2.25,?
Tariq Lamptey,DEF,0.03157662693411112,0.10865643434226513,1.6523679999999998,5.3500000000000005,12.25,7.25,2.475,8,0,1.75,?
Marc Cucurella,DEF,0.0054988376796245575,0.17449805047363043,1.6523679999999998,18.55,29.325,5.0,5.3,8,0,2.75,?
James Tarkowski,DEF,0.0,0.003152820048853755,1.88062,23.4,2.65,1.0,2.7,2,0,0.25,?
Phil Bardsley,DEF,0,0,1.88062,0.0,0.0,0.0,0.0,2,0,0.0,?
Kevin Long,DEF,0.01239841990172863,0.0,1.88062,1.7,0.025,1.0,0.275,2,0,0.25,?
Matthew Lowton,DEF,0.002062584040686488,0.1182301752269268,1.88062,0.0,0.0,0.0,0.0,2,0,0.0,?
Charlie Taylor,DEF,0.009963105665519834,0.0,1.88062,9.0,0.475,0.25,0.9750000000000001,2,0,0.5,?
Nathan Collins,DEF,0.03704765439033508,0.0,1.88062,6.6000000000000005,0.175,3.25,1.0,2,0,-0.5,?
Connor Roberts,DEF,0.007071546744555235,0.0,1.88062,9.15,1.425,1.0,1.15,2,0,0.5,?
César Azpilicueta,DEF,0.015921495389193296,0.05290825106203556,1.1238029999999999,4.0,5.55,5.0,1.45,6,0,0.25,?
Thiago Emiliano da Silva,DEF,0.0,0.0035639735870063305,1.1238029999999999,16.8,4.725,0.0,2.1750000000000003,6,0,2.0,?
Marcos Alonso,DEF,0.0449704322963953,0.03177368734031916,1.1238029999999999,3.6,3.925,13.25,2.075,6,0,0.0,?
Antonio Rüdiger,DEF,0.06604822934605181,0.0,1.1238029999999999,20.85,3.15,17.5,4.15,6,0,4.25,?
Andreas Christensen,DEF,0.062250755494460464,0.011915610171854496,1.1238029999999999,7.95,2.275,1.25,1.15,6,0,2.25,?
Reece James,DEF,0.04700934235006571,0.24671299010515213,1.1238029999999999,18.05,5.8,10.25,3.4250000000000003,6,0,4.5,?
Malang Sarr,DEF,0.005163038615137339,0.09049440175294876,1.1238029999999999,0.6,1.0,0.0,0.15,6,0,2.0,?
Trevoh Chalobah,DEF,0.1066356673836708,0.018482742831110954,1.1238029999999999,26.1,4.800000000000001,8.25,3.9,6,0,6.5,?
James Tomkins,DEF,0.16794762294739485,0.0,1.0147632500000001,0.0,0.0,0.0,0.0,5,0,0.0,?
Cheikhou Kouyaté,DEF,0.022251665592193604,0.02646879479289055,1.0147632500000001,8.05,3.225,1.75,1.3,5,0,4.5,?
Martin Kelly,DEF,0,0,1.0147632500000001,0.0,0.0,0.0,0.0,5,0,0.0,?
Tyrick Mitchell,DEF,0.014809876680374146,0.01808187924325466,1.0147632500000001,20.65,8.475000000000001,6.5,3.55,5,0,5.5,?
Joel Ward,DEF,0.0,0.004870956763625145,1.0147632500000001,0.0,0.0,0.0,0.0,5,0,0.0,?
Marc Guéhi,DEF,0.0,0.022251665592193604,1.0147632500000001,17.1,3.1,2.0,2.1999999999999997,5,0,5.0,?
Joachim Andersen,DEF,0.021099502220749855,0.17375312373042107,1.0147632500000001,25.5,10.375,3.75,3.9749999999999996,5,0,7.25,?
Nathaniel Clyne,DEF,0.0036785630509257317,0.0,1.0147632500000001,8.05,1.25,2.25,1.15,5,0,5.0,?
Michael Keane,DEF,0.0,0.0,1.55238125,8.45,0.15,0.0,0.875,8,1,1.25,?
Mason Holgate,DEF,0.05103760212659836,0.0039848643355071545,1.55238125,19.8,3.15,9.25,3.225,8,1,3.75,?
Ben Godfrey,DEF,0.038140254095196724,0.0,1.55238125,11.95,0.7250000000000001,5.5,1.825,8,1,2.0,?
Jonjoe Kenny,DEF,0.02391642378643155,0.045577649027109146,1.55238125,6.0,11.175,0.25,1.75,8,1,0.0,?
Jarrad Branthwaite,DEF,0.19443711265921593,0.0,1.55238125,0.0,0.0,0.0,0.0,8,1,0.0,?
Vitalii Mykolenko,DEF,0.00406514760106802,0.014317361637949944,1.55238125,3.6,4.3,0.75,0.875,8,1,0.5,?
Jonny Evans,DEF,0.0,0.02382867969572544,1.92683175,4.25,0.225,0.0,0.45,4,1,1.75,?
Ricardo Domingos Barbosa Pereira,DEF,0.07607909850776196,0.022355051711201668,1.92683175,1.4,0.475,0.5,0.25,4,1,0.25,?
Daniel Amartey,DEF,0.0,0.0,1.92683175,19.4,1.125,0.5,2.125,4,1,2.5,?
Timothy Castagne,DEF,0.006483972072601318,0.043358827009797096,1.92683175,14.899999999999999,3.7750000000000004,1.75,2.05,4,1,4.0,?
Çaglar Söyüncü,DEF,0.02647099643945694,0.0,1.92683175,21.1,0.575,2.0,2.375,4,1,2.5,?
James Justin,DEF,0.10464005172252655,0.1027702335268259,1.92683175,8.4,7.0,12.25,2.7750000000000004,4,1,1.25,?
Wesley Fofana,DEF,0.032455332577228546,0.0,1.92683175,3.85,0.15,4.75,0.875,4,1,0.25,?
Jannik Vestergaard,DEF,0.0,0.0,1.92683175,0.0,0.0,0.0,0.0,4,1,0.0,?
Liam Cooper,DEF,0.008576793596148491,0.0,1.4947500000000002,4.4,0.075,0.0,0.45,1,0,0.5,?
Luke Ayling,DEF,0.051184915006160736,0.07667890563607216,1.4947500000000002,27.05,10.55,18.75,5.625000000000001,1,0,4.0,?
Diego Llorente,DEF,0.08110614866018295,0.0,1.4947500000000002,15.25,0.15,1.5,1.7,1,0,1.25,?
