@relation FWD_gameweek_32

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute is_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0.329372,0.092157,0.883091,11.3,8.575,27.25,4.625,6,1,3,?
0.00841,0.084484,0.883091,0.6,3.2,1.75,0.55,6,1,1,?
0.398262,0.020642,1.136359,12.25,9.375,48.25,7.025,7,1,3.5,?
0.193314,0.219596,1.136359,7.85,10.25,9.5,2.7,7,1,2,?
1.03506,0.262381,1.04186,51.7,15.575,61.5,12.9,9,1,9,?
0.371361,0.121843,1.652368,0.6,12.8,26.5,3.725,8,0,0.75,?
0.190835,0.058433,1.652368,4.9,14.1,22.5,4.175,8,0,1.5,?
0.029678,0,1.88062,0.25,0.525,5.5,0.55,2,0,1,?
0,0,1.88062,1,0.025,0,0.1,2,0,0.25,?
0,0,1.88062,0,0,0,0,2,0,0,?
0.177316,0,1.88062,0.15,1.1,4.5,0.525,2,0,1.25,?
0.102868,0.006939,1.123803,1.65,8.425,19,2.825,6,0,1.75,?
0.035156,0,1.123803,1.05,0.85,6,0.8,6,0,0.75,?
0.075197,0,1.014763,0.05,0.15,0.5,0.075,5,0,0.25,?
0.062568,0.026156,1.014763,11.15,0.7,4.75,1.675,5,0,2.25,?
0.471145,0.019448,1.014763,19.85,6,39.75,6.575,5,0,4.5,?
0.026469,0.102938,1.014763,0.8,2.775,4.5,0.8,5,0,0.25,?
0.063794,0.090169,1.552381,4.75,3.575,3.75,1.225,8,1,1.5,?
0.13053,0.009381,1.552381,5.85,5.4,25.5,3.7,8,1,1.75,?
0.303054,0.073125,1.552381,0,0,0,0,8,1,0,?
0,0,1.552381,0,0,0,0,8,1,0,?
0,0,1.552381,0,0,0,0,8,1,0,?
0.270257,0.039305,1.926832,14.9,12.7,17,4.475,4,1,3.75,?
0.108024,0,1.926832,0.6,0,1,0.05,4,1,0.5,?
0.256422,0.134878,1.49475,22.25,17.425,18,5.75,1,0,4,?
0.033597,0.152582,1.49475,4.45,3.075,3.5,1.1,1,0,1.25,?
0.312451,0,0.813794,11.4,1.725,20.25,3.325,10,0,1.5,?
0.2511,0,0.813794,0,0,0,0,10,0,0,?
0.192091,0,0.416431,0,0.85,10,0.975,10,1,0.5,?
0,0,0.416431,0,0,0,0,10,1,0,?
0.130451,0.017908,1.796495,11,4.025,15,2.925,7,1,3.5,?
0.015105,0.002723,1.796495,0,0,0,0,7,1,0,?
0.055032,0.013914,1.796495,3.35,9,4.25,1.65,7,1,0.75,?
0.036256,0.017251,1.796495,0.65,0.95,4,0.525,7,1,0.5,?
0.408936,0.220258,2.46299,26.65,10.05,34.5,7.1,1,1,5.5,?
0.433118,0.250244,1.616756,10.7,14.925,27.5,5.325,9,1,2.75,?
0.017456,0.010063,1.616756,1.5,2.725,4.5,0.85,9,1,0.75,?
0.02141,0,1.616756,0,0.45,1.5,0.15,9,1,0.25,?
0.762551,0.482011,0.810731,34.85,31.05,42.75,10.875,5,0,7.75,?
0,0,0.810731,0,0,0,0,5,0,0,?
0.11926,0.080435,1.512103,8.45,7.775,10.25,2.65,3,1,1.5,?
0.186085,0.040074,1.512103,4.9,6.525,22.75,3.425,3,1,1.75,?
0.035429,0.092185,1.512103,1.3,5.55,3,1,3,1,0.75,?
0.26131,0.117631,1.512103,36.15,12.025,34.75,8.175,3,1,6,?
0.312701,0.035063,1.612089,5.6,11.8,30.25,4.675,4,0,2.25,?
0.384716,0.014962,1.407388,2.5,3.825,14.25,1.975,2,0,2,?
0.056294,0.109523,1.407388,6.05,2.825,8.75,1.775,2,0,2,?
