name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Alexandre Lacazette,FWD,0.32937152637168765,0.09215723723173141,0.8830912500000001,11.299999999999999,8.575,27.25,4.625,6,1,3.0,?
Edward Nketiah,FWD,0.008409793488681316,0.08448397368192673,0.8830912500000001,0.6000000000000001,3.1999999999999997,1.75,0.55,6,1,1.0,?
Ollie Watkins,FWD,0.39826221065595746,0.020641963928937912,1.1363595,12.25,9.375,48.25,7.025,7,1,3.5,?
Danny Ings,FWD,0.19331372156739235,0.21959554590284824,1.1363595,7.85,10.25,9.5,2.6999999999999997,7,1,2.0,?
Ivan Toney,FWD,1.035060252994299,0.2623813431710005,1.04186025,51.699999999999996,15.575,61.5,12.9,9,1,9.0,?
Neal Maupay,FWD,0.37136092875152826,0.12184325233101845,1.6523679999999998,0.6,12.8,26.5,3.7249999999999996,8,0,0.75,?
Danny Welbeck,FWD,0.19083525612950325,0.05843295343220234,1.6523679999999998,4.9,14.100000000000001,22.5,4.175000000000001,8,0,1.5,?
Jay Rodriguez,FWD,0.02967789093963802,0.0,1.88062,0.25,0.525,5.5,0.55,2,0,1.0,?
Ashley Barnes,FWD,0.0,0.0,1.88062,1.0,0.025,0.0,0.1,2,0,0.25,?
Lewis Richardson,FWD,0,0,1.88062,0.0,0.0,0.0,0.0,2,0,0.0,?
Wout Weghorst,FWD,0.17731644958257675,0.0,1.88062,0.15,1.1,4.5,0.525,2,0,1.25,?
Timo Werner,FWD,0.10286815650761127,0.00693891616538167,1.1238029999999999,1.6500000000000001,8.425,19.0,2.825,6,0,1.75,?
Romelu Lukaku,FWD,0.0351555310189724,0.0,1.1238029999999999,1.05,0.8500000000000001,6.0,0.8,6,0,0.75,?
Christian Benteke,FWD,0.07519692182540894,0.0,1.0147632500000001,0.05,0.15,0.5,0.075,5,0,0.25,?
Jordan Ayew,FWD,0.06256809085607529,0.026155607774853706,1.0147632500000001,11.149999999999999,0.7,4.75,1.675,5,0,2.25,?
Jean-Philippe Mateta,FWD,0.47114506736397743,0.01944803912192583,1.0147632500000001,19.85,6.0,39.75,6.575000000000001,5,0,4.5,?
Odsonne Edouard,FWD,0.02646879479289055,0.1029381426051259,1.0147632500000001,0.8,2.7750000000000004,4.5,0.8,5,0,0.25,?
Dominic Calvert-Lewin,FWD,0.06379388738423586,0.09016881883144379,1.55238125,4.75,3.575,3.75,1.225,8,1,1.5,?
Richarlison de Andrade,FWD,0.13053004862740636,0.009381392039358616,1.55238125,5.85,5.4,25.5,3.7,8,1,1.75,?
Salomón Rondón,FWD,0.30305381771177053,0.07312541082501411,1.55238125,0.0,0.0,0.0,0.0,8,1,0.0,?
Lewis Dobbin,FWD,0.0,0.0,1.55238125,0.0,0.0,0.0,0.0,8,1,0.0,?
Cenk Tosun,FWD,0.0,0.0,1.55238125,0.0,0.0,0.0,0.0,8,1,0.0,?
Kelechi Iheanacho,FWD,0.2702574757859111,0.03930454095825553,1.92683175,14.900000000000002,12.7,17.0,4.475,4,1,3.75,?
Patson Daka,FWD,0.1080244928598404,0.0,1.92683175,0.6,0.0,1.0,0.05,4,1,0.5,?
Rodrigo Moreno,FWD,0.25642248056828976,0.13487756624817848,1.4947500000000002,22.25,17.425,18.0,5.75,1,0,4.0,?
Sam Greenwood,FWD,0.03359678015112877,0.15258248150348663,1.4947500000000002,4.45,3.075,3.5,1.1,1,0,1.25,?
Roberto Firmino,FWD,0.3124509435147047,0.0,0.8137945,11.4,1.725,20.25,3.325,10,0,1.5,?
Divock Origi,FWD,0.2511001918464899,0.0,0.8137945,0.0,0.0,0.0,0.0,10,0,0.0,?
Gabriel Fernando de Jesus,FWD,0.19209069199860096,0.0,0.416431325,0.0,0.8500000000000001,10.0,0.975,10,1,0.5,?
Liam Delap,FWD,0.0,0.0,0.416431325,0.0,0.0,0.0,0.0,10,1,0.0,?
Chris Wood,FWD,0.1304512657225132,0.017907636240124702,1.79649475,11.0,4.025,15.0,2.925,7,1,3.5,?
Dwight Gayle,FWD,0.015105050057172775,0.002723284298554063,1.79649475,0.0,0.0,0.0,0.0,7,1,0.0,?
Allan Saint-Maximin,FWD,0.05503214243799448,0.01391376880928874,1.79649475,3.3499999999999996,9.0,4.25,1.6500000000000001,7,1,0.75,?
Joelinton Cássio Apolinário de Lira,FWD,0.03625565906986594,0.017250760458409786,1.79649475,0.65,0.95,4.0,0.525,7,1,0.5,?
Teemu Pukki,FWD,0.4089362290687859,0.22025778330862522,2.46299,26.650000000000002,10.05,34.5,7.1,1,1,5.5,?
Che Adams,FWD,0.4331179279834032,0.2502438873052597,1.61675575,10.7,14.925,27.5,5.324999999999999,9,1,2.75,?
Shane Long,FWD,0.01745574362576008,0.01006349828094244,1.61675575,1.5,2.7250000000000005,4.5,0.8500000000000001,9,1,0.75,?
Adam Armstrong,FWD,0.02141018258407712,0.0,1.61675575,0.0,0.45,1.5,0.15,9,1,0.25,?
Harry Kane,FWD,0.7625506222248077,0.48201096057891846,0.8107314999999999,34.85,31.05,42.75,10.875,5,0,7.75,?
Dane Scarlett,FWD,0.0,0.0,0.8107314999999999,0.0,0.0,0.0,0.0,5,0,0.0,?
João Pedro Junqueira de Jesus,FWD,0.11926019005477428,0.08043520525097847,1.5121025000000001,8.45,7.775,10.25,2.65,3,1,1.5,?
Emmanuel Dennis,FWD,0.18608510214835405,0.04007387533783913,1.5121025000000001,4.9,6.525,22.75,3.4250000000000003,3,1,1.75,?
Joshua King,FWD,0.03542918339371681,0.09218515269458294,1.5121025000000001,1.3,5.55,3.0,1.0,3,1,0.75,?
Juan Camilo Hernández Suárez,FWD,0.2613100726157427,0.11763065960258245,1.5121025000000001,36.15,12.025,34.75,8.175,3,1,6.0,?
Michail Antonio,FWD,0.3127008490264416,0.03506250539794564,1.612089,5.6,11.8,30.25,4.675000000000001,4,0,2.25,?
Fabio Silva,FWD,0.3847160041332245,0.014961808919906616,1.4073885,2.5,3.825,14.25,1.9749999999999999,2,0,2.0,?
Hee-Chan Hwang,FWD,0.05629383330233395,0.10952279716730118,1.4073885,6.05,2.825,8.75,1.775,2,0,2.0,?
