@relation MID_gameweek_32

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute is_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0.056227,0.133913,0.883091,10.3,21.925,11,4.325,6,1,2,?
0.003892,0.010825,0.883091,0,0,0,0,6,1,0,?
0.311213,0.037904,0.883091,5.6,15.2,19,4,6,1,1.75,?
0.145662,0.249765,0.883091,19.5,25.875,39,8.425,6,1,4.5,?
0.096975,0.086884,0.883091,10.7,15.925,16.75,4.325,6,1,2.25,?
0.00606,0.128365,0.883091,2.45,3.075,0,0.55,6,1,0.25,?
0.201825,0.145028,0.883091,10.2,27.2,11,4.65,6,1,2.5,?
0.006233,0,1.136359,0,0.4,2,0.15,7,1,0.25,?
0,0.007052,1.136359,2.45,3.275,0.5,0.625,7,1,0.75,?
0.041302,0.127988,1.136359,23.35,23.75,11.75,5.9,7,1,1.75,?
0.101844,0.092066,1.136359,10,15.075,10.75,3.575,7,1,2,?
0.034414,0,1.136359,7.9,5.325,5.5,1.9,7,1,1.75,?
0.020762,0.090621,1.136359,21.25,16.575,5.5,4.35,7,1,4,?
0.042878,0.101844,1.136359,4.55,5.375,7.5,1.725,7,1,1,?
0.009223,0,1.136359,0,0,0,0,7,1,0,?
0,0,1.136359,0,0,0,0,7,1,0,?
0.159136,0.049442,1.136359,18.9,20.15,30.25,6.925,7,1,4,?
0.031104,0.02333,1.04186,14.85,10.525,7.5,3.275,9,1,1.75,?
0.053581,0,1.04186,1.3,1.2,5.25,0.775,9,1,0.25,?
0.05274,0.064698,1.04186,7.5,15.15,13.5,3.625,9,1,1.75,?
0.176502,0.021809,1.04186,21.95,4.625,24,5.05,9,1,5.25,?
0,0.076664,1.04186,0,0,0,0,9,1,0,?
0.036303,0.003587,1.04186,3.25,5.4,4.5,1.325,9,1,1,?
0.257317,0.235795,1.04186,25.1,24.05,44,9.3,9,1,4.5,?
