name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Granit Xhaka,MID,0.056227111,0.133913179,0.88309125,10.3,21.925,11,4.325,6,1,2,?
Mohamed Naser El Sayed Elneny,MID,0.003891529,0.010825068,0.88309125,0,0,0,0,6,1,0,?
Emile Smith Rowe,MID,0.311213249,0.037904437,0.88309125,5.6,15.2,19,4,6,1,1.75,?
Bukayo Saka,MID,0.145662242,0.249764709,0.88309125,19.5,25.875,39,8.425,6,1,4.5,?
Gabriel Teodoro Martinelli Silva,MID,0.096974773,0.08688362,0.88309125,10.7,15.925,16.75,4.325,6,1,2.25,?
Albert Sambi Lokonga,MID,0.006059659,0.128364642,0.88309125,2.45,3.075,0,0.55,6,1,0.25,?
Martin Ødegaard,MID,0.201825367,0.145028496,0.88309125,10.2,27.2,11,4.65,6,1,2.5,?
Bertrand Traoré,MID,0.006233491,0,1.1363595,0,0.4,2,0.15,7,1,0.25,?
Morgan Sanson,MID,0,0.007051584,1.1363595,2.45,3.275,0.5,0.625,7,1,0.75,?
John McGinn,MID,0.041302248,0.127987612,1.1363595,23.35,23.75,11.75,5.9,7,1,1.75,?
Emiliano Buendía Stati,MID,0.101843826,0.092066344,1.1363595,10,15.075,10.75,3.575,7,1,2,?
Douglas Luiz Soares de Paulo,MID,0.0344141,0,1.1363595,7.9,5.325,5.5,1.9,7,1,1.75,?
Jacob Ramsey,MID,0.020762001,0.090621259,1.1363595,21.25,16.575,5.5,4.35,7,1,4,?
Leon Bailey,MID,0.042877588,0.101843826,1.1363595,4.55,5.375,7.5,1.725,7,1,1,?
Carney Chukwuemeka,MID,0.009223213,0,1.1363595,0,0,0,0,7,1,0,?
Tim Iroegbunam,MID,0,0,1.1363595,0,0,0,0,7,1,0,?
Philippe Coutinho Correia,MID,0.159136234,0.049442407,1.1363595,18.9,20.15,30.25,6.925,7,1,4,?
