inst#,actual,predicted,error,prediction
1,1:?,1:no,,0.849
2,1:?,1:no,,1
3,1:?,1:no,,0.699
4,1:?,2:return,,0.9
5,1:?,1:no,,0.817
6,1:?,1:no,,1
7,1:?,1:no,,0.755
8,1:?,1:no,,1
9,1:?,1:no,,1
10,1:?,1:no,,0.743
11,1:?,1:no,,0.919
12,1:?,1:no,,0.997
13,1:?,1:no,,0.844
14,1:?,1:no,,0.998
15,1:?,1:no,,1
16,1:?,1:no,,1
17,1:?,1:no,,0.533
18,1:?,1:no,,0.986
19,1:?,1:no,,0.999
20,1:?,1:no,,0.958
21,1:?,1:no,,0.669
22,1:?,1:no,,1
23,1:?,1:no,,0.999
24,1:?,2:return,,0.904
25,1:?,1:no,,1
26,1:?,1:no,,0.999
27,1:?,1:no,,0.943
28,1:?,1:no,,0.524
29,1:?,1:no,,1
30,1:?,1:no,,0.757
31,1:?,1:no,,0.818
32,1:?,1:no,,0.771
33,1:?,1:no,,1
34,1:?,1:no,,1
35,1:?,1:no,,0.971
36,1:?,1:no,,0.999
37,1:?,1:no,,1
38,1:?,1:no,,1
39,1:?,1:no,,1
40,1:?,1:no,,0.998
41,1:?,1:no,,0.998
42,1:?,1:no,,0.944
43,1:?,1:no,,0.997
44,1:?,1:no,,0.999
45,1:?,1:no,,0.991
46,1:?,1:no,,0.998
47,1:?,1:no,,0.998
48,1:?,1:no,,0.893
49,1:?,1:no,,0.949
50,1:?,1:no,,0.999
51,1:?,2:return,,0.888
52,1:?,2:return,,0.99
53,1:?,1:no,,0.997
54,1:?,1:no,,0.995
55,1:?,1:no,,1
56,1:?,1:no,,1
57,1:?,2:return,,0.966
58,1:?,1:no,,0.774
59,1:?,1:no,,1
60,1:?,1:no,,1
61,1:?,1:no,,1
62,1:?,1:no,,1
63,1:?,1:no,,1
64,1:?,1:no,,1
65,1:?,1:no,,1
66,1:?,1:no,,0.842
67,1:?,1:no,,1
68,1:?,1:no,,0.97
69,1:?,1:no,,0.992
70,1:?,1:no,,1
71,1:?,1:no,,0.978
72,1:?,1:no,,1
73,1:?,1:no,,0.994
74,1:?,1:no,,1
75,1:?,2:return,,0.639
76,1:?,1:no,,1
77,1:?,2:return,,0.515
78,1:?,1:no,,1
79,1:?,1:no,,0.943
80,1:?,1:no,,0.998
81,1:?,1:no,,0.987
82,1:?,1:no,,0.965
83,1:?,1:no,,1
84,1:?,2:return,,0.672
85,1:?,2:return,,0.895
86,1:?,1:no,,0.67
87,1:?,1:no,,1
88,1:?,1:no,,0.989
89,1:?,1:no,,1
90,1:?,1:no,,1
91,1:?,1:no,,1
92,1:?,1:no,,0.985
93,1:?,1:no,,0.984
94,1:?,1:no,,0.999
95,1:?,2:return,,0.507
96,1:?,1:no,,0.969
97,1:?,2:return,,0.854
98,1:?,1:no,,0.999
99,1:?,1:no,,0.997
100,1:?,1:no,,0.626
101,1:?,1:no,,0.999
102,1:?,1:no,,0.999
103,1:?,1:no,,1
104,1:?,1:no,,0.999
105,1:?,1:no,,0.652
106,1:?,1:no,,0.652
107,1:?,1:no,,0.736
108,1:?,2:return,,0.992
109,1:?,1:no,,0.597
110,1:?,1:no,,0.597
111,1:?,2:return,,0.873
112,1:?,2:return,,0.811
113,1:?,1:no,,0.941
114,1:?,1:no,,0.999
115,1:?,1:no,,1
116,1:?,1:no,,0.999
117,1:?,1:no,,0.927
118,1:?,2:return,,0.645
119,1:?,1:no,,1
120,1:?,2:return,,0.611
121,1:?,1:no,,1
122,1:?,1:no,,0.999
123,1:?,1:no,,1
124,1:?,1:no,,0.538
125,1:?,1:no,,0.944
126,1:?,1:no,,1
127,1:?,1:no,,0.969
128,1:?,1:no,,0.997
129,1:?,1:no,,0.979
130,1:?,1:no,,0.995
131,1:?,1:no,,0.998
132,1:?,1:no,,1
133,1:?,1:no,,0.987
134,1:?,1:no,,0.915
135,1:?,1:no,,1
136,1:?,1:no,,0.91
137,1:?,1:no,,1
138,1:?,1:no,,0.999
139,1:?,1:no,,1
140,1:?,1:no,,0.993
141,1:?,1:no,,1
142,1:?,1:no,,0.993
143,1:?,1:no,,1
144,1:?,1:no,,0.618
145,1:?,1:no,,0.628
146,1:?,1:no,,1
147,1:?,1:no,,1
148,1:?,1:no,,1
149,1:?,1:no,,1
150,1:?,1:no,,0.755
151,1:?,2:return,,0.998
152,1:?,1:no,,0.999
153,1:?,1:no,,0.891
154,1:?,1:no,,1
155,1:?,1:no,,0.991
156,1:?,2:return,,0.93
157,1:?,1:no,,0.533
158,1:?,1:no,,0.618
159,1:?,1:no,,1
160,1:?,1:no,,0.998
161,1:?,1:no,,1
162,1:?,1:no,,0.998
163,1:?,1:no,,0.965
164,1:?,1:no,,1
165,1:?,1:no,,0.951
166,1:?,1:no,,1
167,1:?,1:no,,1
168,1:?,1:no,,0.999
169,1:?,1:no,,0.994
170,1:?,1:no,,0.988
171,1:?,2:return,,0.905
172,1:?,1:no,,0.834
173,1:?,1:no,,0.999
174,1:?,1:no,,0.979
175,1:?,2:return,,0.611
176,1:?,1:no,,0.998
177,1:?,1:no,,0.999
178,1:?,1:no,,1
179,1:?,1:no,,0.943
180,1:?,1:no,,0.996
181,1:?,2:return,,0.744
182,1:?,1:no,,0.998
183,1:?,1:no,,0.739
184,1:?,1:no,,1

