name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
Cédric Soares,DEF,0.02634286694228649,0.1129352767020464,0.8948402499999999,16.2,21.200000000000003,2.75,4.0249999999999995,6,0,2.0,?
Cédric Soares,DEF,0.02634286694228649,0.1129352767020464,0.8948402499999999,16.2,21.200000000000003,2.75,4.0249999999999995,9,0,2.0,?
Rob Holding,DEF,0.011387490667402744,0.0,0.8948402499999999,0.0,0.0,0.0,0.0,6,0,0.25,?
Rob Holding,DEF,0.011387490667402744,0.0,0.8948402499999999,0.0,0.0,0.0,0.0,9,0,0.25,?
Gabriel Magalhães,DEF,0.05311158858239651,0.013173180865123868,0.8948402499999999,16.35,9.125,17.5,4.275,6,0,2.75,?
Gabriel Magalhães,DEF,0.05311158858239651,0.013173180865123868,0.8948402499999999,16.35,9.125,17.5,4.275,9,0,2.75,?
Ben White,DEF,0.0,0.0,0.8948402499999999,15.25,1.375,1.0,1.775,6,0,2.5,?
Ben White,DEF,0.0,0.0,0.8948402499999999,15.25,1.375,1.0,1.775,9,0,2.5,?
Nuno Varela Tavares,DEF,0.0,0.010044875554740429,0.8948402499999999,0.95,0.175,0.5,0.175,6,0,0.0,?
Nuno Varela Tavares,DEF,0.0,0.010044875554740429,0.8948402499999999,0.95,0.175,0.5,0.175,9,0,0.0,?
Rico Henry,DEF,0.0033107802737504244,0.11863701697438955,0.90973125,11.45,17.025,0.75,2.9,1,0,4.0,?
Mads Roerslev Rasmussen,DEF,0.0,0.0,0.90973125,2.4499999999999997,1.0,1.0,0.45,1,0,1.0,?
Mads Bech Sørensen,DEF,0.014670130796730518,0.03333882475271821,0.90973125,0.0,0.0,0.0,0.0,1,0,0.0,?
Ethan Pinnock,DEF,0.0,0.0,0.90973125,15.3,0.4,1.5,1.7,1,0,4.0,?
Kristoffer Ajer,DEF,0.04822547920048237,0.11691280454397202,0.90973125,13.0,4.75,18.25,3.575,1,0,3.75,?
Finley Stevens,DEF,0.0,0.028888171538710594,0.90973125,0.0,0.0,0.0,0.0,1,0,0.0,?
Mathias Jorgensen,DEF,0.03554322198033333,0.005766021087765694,0.90973125,3.05,0.075,0.5,0.375,1,0,1.5,?
Shane Duffy,DEF,0.07226020283997059,0.010552745778113604,1.8451805000000001,3.5,2.925,7.0,1.35,7,0,0.25,?
Shane Duffy,DEF,0.07226020283997059,0.010552745778113604,1.8451805000000001,3.5,2.925,7.0,1.35,10,0,0.25,?
Lewis Dunk,DEF,0.03312606876716018,0.07763917022384703,1.8451805000000001,17.9,5.8,11.75,3.5500000000000003,7,0,2.5,?
Lewis Dunk,DEF,0.03312606876716018,0.07763917022384703,1.8451805000000001,17.9,5.8,11.75,3.5500000000000003,10,0,2.5,?
Adam Webster,DEF,0.29633426666259766,0.0,1.8451805000000001,1.5,0.0,0.0,0.15,7,0,0.25,?
Adam Webster,DEF,0.29633426666259766,0.0,1.8451805000000001,1.5,0.0,0.0,0.15,10,0,0.25,?
Joël Veltman,DEF,0.09578833729028702,0.008067877031862736,1.8451805000000001,17.6,4.95,11.5,3.4250000000000003,7,0,2.5,?
Joël Veltman,DEF,0.09578833729028702,0.008067877031862736,1.8451805000000001,17.6,4.95,11.5,3.4250000000000003,10,0,2.5,?
Tariq Lamptey,DEF,0.020809934474527836,0.009291751310229301,1.8451805000000001,4.4,7.225,4.25,1.575,7,0,2.0,?
Tariq Lamptey,DEF,0.020809934474527836,0.009291751310229301,1.8451805000000001,4.4,7.225,4.25,1.575,10,0,2.0,?
Marc Cucurella,DEF,0.0054988376796245575,0.16575857438147068,1.8451805000000001,20.049999999999997,23.7,3.5,4.75,7,0,3.0,?
Marc Cucurella,DEF,0.0054988376796245575,0.16575857438147068,1.8451805000000001,20.049999999999997,23.7,3.5,4.75,10,0,3.0,?
James Tarkowski,DEF,0.0,0.003152820048853755,1.857035,36.4,2.9,3.0,4.225,9,0,0.75,?
James Tarkowski,DEF,0.0,0.003152820048853755,1.857035,36.4,2.9,3.0,4.225,6,1,0.75,?
Phil Bardsley,DEF,0,0,1.857035,0.0,0.0,0.0,0.0,9,0,0.0,?
Phil Bardsley,DEF,0,0,1.857035,0.0,0.0,0.0,0.0,6,1,0.0,?
Kevin Long,DEF,0.01239841990172863,0.0,1.857035,1.7,0.025,1.0,0.275,9,0,0.25,?
Kevin Long,DEF,0.01239841990172863,0.0,1.857035,1.7,0.025,1.0,0.275,6,1,0.25,?
Matthew Lowton,DEF,0.016248192638158798,0.02715799491852522,1.857035,5.8500000000000005,6.925,3.5,1.625,9,0,0.25,?
Matthew Lowton,DEF,0.016248192638158798,0.02715799491852522,1.857035,5.8500000000000005,6.925,3.5,1.625,6,1,0.25,?
Charlie Taylor,DEF,0.021379795391112566,0.2142705526202917,1.857035,15.35,7.325,3.25,2.6,9,0,1.5,?
Charlie Taylor,DEF,0.021379795391112566,0.2142705526202917,1.857035,15.35,7.325,3.25,2.6,6,1,1.5,?
Nathan Collins,DEF,0.17677857540547848,0.0,1.857035,20.1,0.625,14.25,3.5,9,0,1.5,?
Nathan Collins,DEF,0.17677857540547848,0.0,1.857035,20.1,0.625,14.25,3.5,6,1,1.5,?
Connor Roberts,DEF,0.0,0.0,1.857035,7.5,1.075,1.0,0.95,9,0,0.75,?
Connor Roberts,DEF,0.0,0.0,1.857035,7.5,1.075,1.0,0.95,6,1,0.75,?
César Azpilicueta,DEF,0.015921495389193296,0.05290825106203556,1.0526765,4.0,5.55,5.0,1.45,8,1,0.25,?
Thiago Emiliano da Silva,DEF,0.0,0.0035639735870063305,1.0526765,15.05,4.525,0.0,1.975,8,1,2.0,?
Marcos Alonso,DEF,0.14420839957892895,0.281673819757998,1.0526765,17.2,19.8,24.75,6.175,8,1,3.25,?
Antonio Rüdiger,DEF,0.0710028144530952,0.0,1.0526765,19.05,2.875,10.0,3.1750000000000003,8,1,4.25,?
Andreas Christensen,DEF,0.062250755494460464,0.01808540942147374,1.0526765,14.600000000000001,5.324999999999999,1.25,2.125,8,1,3.75,?
Reece James,DEF,0.04055912746116519,0.24671299010515213,1.0526765,4.2,2.75,0.25,0.725,8,1,0.25,?
Malang Sarr,DEF,0.005163038615137339,0.09049440175294876,1.0526765,0.6,1.0,0.0,0.15,8,1,2.0,?
Trevoh Chalobah,DEF,0.1066356673836708,0.018482742831110954,1.0526765,18.0,1.3,8.25,2.75,8,1,4.0,?
James Tomkins,DEF,0.16794762294739485,0.0,1.170575,0.0,0.0,0.0,0.0,2,0,0.0,?
Cheikhou Kouyaté,DEF,0.022251665592193604,0.02646879479289055,1.170575,8.899999999999999,3.1500000000000004,1.75,1.3749999999999998,2,0,4.25,?
Martin Kelly,DEF,0,0,1.170575,0.0,0.0,0.0,0.0,2,0,0.0,?
Joel Ward,DEF,0.0,0.004870956763625145,1.170575,4.45,0.225,0.0,0.475,2,0,0.0,?
Marc Guéhi,DEF,0.0,0.022251665592193604,1.170575,16.650000000000002,3.0,3.0,2.25,2,0,4.75,?
Joachim Andersen,DEF,0.04438105598092079,0.19996878132224083,1.170575,27.65,13.000000000000002,5.25,4.6,2,0,7.0,?
Nathaniel Clyne,DEF,0.0,0.01226130872964859,1.170575,8.8,3.025,0.0,1.1749999999999998,2,0,4.75,?
Seamus Coleman,DEF,0.01548931747674942,0.04175176378339529,1.31533675,8.15,3.875,5.5,1.75,5,1,3.25,?
Michael Keane,DEF,0.012641889043152332,0.0,1.31533675,13.6,0.22499999999999998,1.5,1.55,5,1,2.75,?
Mason Holgate,DEF,0.05103760212659836,0.0039848643355071545,1.31533675,16.6,0.7,8.25,2.575,5,1,3.5,?
Ben Godfrey,DEF,0.02197202341631055,0.02038727141916752,1.31533675,18.700000000000003,3.425,5.75,2.8,5,1,3.25,?
Jonjoe Kenny,DEF,0.007481707725673914,0.05725711118429899,1.31533675,8.35,13.25,3.5,2.525,5,1,0.5,?
Jarrad Branthwaite,DEF,0.15055510541424155,0.0,1.31533675,2.4,0.075,1.0,0.35,5,1,0.25,?
Vitalii Mykolenko,DEF,0.00406514760106802,0.05445730406790972,1.31533675,13.149999999999999,9.9,2.25,2.55,5,1,3.5,?
Jonny Evans,DEF,0.0,0.02382867969572544,1.7727767500000002,4.25,0.225,0.0,0.45,2,0,1.75,?
Jonny Evans,DEF,0.0,0.02382867969572544,1.7727767500000002,4.25,0.225,0.0,0.45,3,0,1.75,?
Ricardo Domingos Barbosa Pereira,DEF,0.07607909850776196,0.022355051711201668,1.7727767500000002,1.4,0.475,0.5,0.25,2,0,0.25,?
Ricardo Domingos Barbosa Pereira,DEF,0.07607909850776196,0.022355051711201668,1.7727767500000002,1.4,0.475,0.5,0.25,3,0,0.25,?
Daniel Amartey,DEF,0.0,0.0,1.7727767500000002,16.35,1.1749999999999998,0.0,1.7750000000000001,2,0,1.5,?
Daniel Amartey,DEF,0.0,0.0,1.7727767500000002,16.35,1.1749999999999998,0.0,1.7750000000000001,3,0,1.5,?
