name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
Alexandre Lacazette,FWD,0.0846766377799213,0.11451531946659088,0.8948402499999999,3.8000000000000003,10.1,15.75,2.9,6,0,2.0,?
Alexandre Lacazette,FWD,0.0846766377799213,0.11451531946659088,0.8948402499999999,3.8000000000000003,10.1,15.75,2.9,9,0,2.0,?
Edward Nketiah,FWD,0.17389715742319822,0.10433594509959221,0.8948402499999999,1.25,6.175,8.25,1.575,6,0,1.0,?
Edward Nketiah,FWD,0.17389715742319822,0.10433594509959221,0.8948402499999999,1.25,6.175,8.25,1.575,9,0,1.0,?
Ivan Toney,FWD,0.7611227743327618,0.3200650792568922,0.90973125,40.8,28.175,63.5,13.275,1,0,7.75,?
Neal Maupay,FWD,0.37136092875152826,0.12184325233101845,1.8451805000000001,0.45,11.775,18.5,2.8,7,0,0.5,?
Neal Maupay,FWD,0.37136092875152826,0.12184325233101845,1.8451805000000001,0.45,11.775,18.5,2.8,10,0,0.5,?
Danny Welbeck,FWD,0.07679324969649315,0.060379909235052764,1.8451805000000001,10.45,16.425,17.25,4.425000000000001,7,0,1.5,?
Danny Welbeck,FWD,0.07679324969649315,0.060379909235052764,1.8451805000000001,10.45,16.425,17.25,4.425000000000001,10,0,1.5,?
Jay Rodriguez,FWD,0.26654401584528387,0.02575859148055315,1.857035,10.9,7.3,24.25,4.25,9,0,2.75,?
Jay Rodriguez,FWD,0.26654401584528387,0.02575859148055315,1.857035,10.9,7.3,24.25,4.25,6,1,2.75,?
Ashley Barnes,FWD,0.0,0.0,1.857035,0.5,0.025,0.5,0.1,9,0,0.5,?
Ashley Barnes,FWD,0.0,0.0,1.857035,0.5,0.025,0.5,0.1,6,1,0.5,?
Matej Vydra,FWD,0.04546565469354391,0.12696709483861923,1.857035,3.8,2.975,4.25,1.025,9,0,1.25,?
Matej Vydra,FWD,0.04546565469354391,0.12696709483861923,1.857035,3.8,2.975,4.25,1.025,6,1,1.25,?
Lewis Richardson,FWD,0,0,1.857035,0.0,0.0,0.0,0.0,9,0,0.0,?
Lewis Richardson,FWD,0,0,1.857035,0.0,0.0,0.0,0.0,6,1,0.0,?
Wout Weghorst,FWD,0.020643144845962524,0.012974576093256474,1.857035,2.0,4.0,7.25,1.2999999999999998,9,0,1.5,?
Wout Weghorst,FWD,0.020643144845962524,0.012974576093256474,1.857035,2.0,4.0,7.25,1.2999999999999998,6,1,1.5,?
Timo Werner,FWD,0.639121787622571,0.030355917755514383,1.0526765,19.2,13.625000000000002,47.25,7.925000000000001,8,1,5.25,?
Christian Benteke,FWD,0.07519692182540894,0.0,1.170575,0.05,0.15,0.5,0.075,2,0,0.25,?
Jordan Ayew,FWD,0.08396060951054096,0.04362379387021065,1.170575,12.899999999999999,3.7249999999999996,12.25,2.9000000000000004,2,0,2.75,?
Jean-Philippe Mateta,FWD,0.5102419033646584,0.01944803912192583,1.170575,22.05,5.999999999999999,46.5,7.4750000000000005,2,0,4.75,?
Odsonne Edouard,FWD,0.02646879479289055,0.1029381426051259,1.170575,0.8,3.2750000000000004,4.5,0.8500000000000001,2,0,0.25,?
Dominic Calvert-Lewin,FWD,0.03643661830574274,0.110198974609375,1.31533675,5.05,7.175,5.75,1.8,5,1,2.5,?
Richarlison de Andrade,FWD,0.5560604836791754,0.04818152729421854,1.31533675,36.300000000000004,15.075,50.75,10.225,5,1,5.0,?
Salomón Rondón,FWD,0.1648971801623702,0.029939599335193634,1.31533675,0.0,0.0,1.0,0.025,5,1,0.25,?
Lewis Dobbin,FWD,0.0,0.0,1.31533675,0.0,0.0,0.0,0.0,5,1,0.0,?
Cenk Tosun,FWD,0.0,0.0,1.31533675,0.0,0.0,0.0,0.0,5,1,0.0,?
Kelechi Iheanacho,FWD,0.2702574757859111,0.01763693941757083,1.7727767500000002,9.75,9.899999999999999,16.5,3.625,2,0,3.0,?
Kelechi Iheanacho,FWD,0.2702574757859111,0.01763693941757083,1.7727767500000002,9.75,9.899999999999999,16.5,3.625,3,0,3.0,?
Patson Daka,FWD,0.0046094912104308605,0.0,1.7727767500000002,0.6,0.275,4.5,0.425,2,0,1.0,?
Patson Daka,FWD,0.0046094912104308605,0.0,1.7727767500000002,0.6,0.275,4.5,0.425,3,0,1.0,?
Roberto Firmino,FWD,0.25714663974940777,0.0,0.8158395,11.4,1.725,20.25,3.325,8,1,1.75,?
Divock Origi,FWD,0.2511001918464899,0.0,0.8158395,0.0,0.0,0.0,0.0,8,1,0.0,?
Gabriel Fernando de Jesus,FWD,0.3572340179234743,0.10155186057090759,0.5486840749999999,9.45,3.475,29.0,4.1,6,1,2.5,?
Liam Delap,FWD,0.0,0.0,0.5486840749999999,0.0,0.0,0.0,0.0,6,1,0.0,?
