name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
Bernd Leno,GK,0,0,0.89484025,1.5,0,0,0.15,6,0,1.5,?
Bernd Leno,GK,0,0,0.89484025,1.5,0,0,0.15,9,0,1.5,?
Aaron Ramsdale,GK,0,0,0.89484025,8.75,0,0,0.875,6,0,0.75,?
Aaron Ramsdale,GK,0,0,0.89484025,8.75,0,0,0.875,9,0,0.75,?
David Raya Martin,GK,0,0.010248992,0.90973125,23.4,2.5,0,2.575,1,0,4.5,?
Alvaro Fernandes,GK,0,0,0.90973125,0,0,0,0,1,0,0,?
Jonas Lössl,GK,0,0,0.90973125,0,0,0,0,1,0,0,?
Jason Steele,GK,0,0,1.8451805,0,0,0,0,7,0,0,?
Jason Steele,GK,0,0,1.8451805,0,0,0,0,10,0,0,?
Robert Sánchez,GK,0,0,1.8451805,27,0,0,2.7,7,0,3.25,?
Robert Sánchez,GK,0,0,1.8451805,27,0,0,2.7,10,0,3.25,?
Nick Pope,GK,0,0,1.857035,19.95,0,0,2,9,0,1.5,?
Nick Pope,GK,0,0,1.857035,19.95,0,0,2,6,1,1.5,?
Will Norris,GK,0,0,1.857035,0,0,0,0,9,0,0,?
Will Norris,GK,0,0,1.857035,0,0,0,0,6,1,0,?
Wayne Hennessey,GK,0,0.076379322,1.857035,0,0,0,0,9,0,0,?
Wayne Hennessey,GK,0,0.076379322,1.857035,0,0,0,0,6,1,0,?
Kepa Arrizabalaga,GK,0,0,1.0526765,0,0,0,0,8,1,0,?
Edouard Mendy,GK,0,0,1.0526765,13.95,0,0,1.375,8,1,3.25,?
Vicente Guaita,GK,0,0,1.170575,24.05,0,0,2.4,2,0,6.25,?
Jack Butland,GK,0,0,1.170575,0,0,0,0,2,0,0,?
Jordan Pickford,GK,0,0.010282479,1.31533675,17.55,2.5,0,2,5,1,3,?
Asmir Begović,GK,0,0,1.31533675,10.65,0,0,1.075,5,1,2.75,?
Kasper Schmeichel,GK,0,0,1.77277675,38.65,0,0,3.875,2,0,4.25,?
Kasper Schmeichel,GK,0,0,1.77277675,38.65,0,0,3.875,3,0,4.25,?
Eldin Jakupovic,GK,0,0,1.77277675,0,0,0,0,2,0,0,?
Eldin Jakupovic,GK,0,0,1.77277675,0,0,0,0,3,0,0,?
Adrián San Miguel del Castillo,GK,0,0,0.8158395,0,0,0,0,8,1,0,?
Alisson Ramses Becker,GK,0,0,0.8158395,21.05,0,0,2.1,8,1,5.5,?
Caoimhin Kelleher,GK,0,0,0.8158395,0,0,0,0,8,1,0,?
Ederson Santana de Moraes,GK,0,0,0.548684075,15.75,0,0,1.575,6,1,3.75,?
Zack Steffen,GK,0,0,0.548684075,0,0,0,0,6,1,0,?
Scott Carson,GK,0,0,0.548684075,0,0,0,0,6,1,0,?
David de Gea,GK,0,0,1.45043875,20.15,0,0,2,2,1,1.75,?
David de Gea,GK,0,0,1.45043875,20.15,0,0,2,10,0,1.75,?
Dean Henderson,GK,0,0,1.45043875,0,0,0,0,2,1,0,?
Dean Henderson,GK,0,0,1.45043875,0,0,0,0,10,0,0,?
Tom Heaton,GK,0,0,1.45043875,0,0,0,0,2,1,0,?
Tom Heaton,GK,0,0,1.45043875,0,0,0,0,10,0,0,?
Karl Darlow,GK,0,0,1.423624,0,0,0,0,5,1,0,?
Karl Darlow,GK,0,0,1.423624,0,0,0,0,4,1,0,?
Martin Dubravka,GK,0,0,1.423624,13.3,0,0,1.325,5,1,2.75,?
Martin Dubravka,GK,0,0,1.423624,13.3,0,0,1.325,4,1,2.75,?
Michael McGovern,GK,0,0,2.26946,0,0,0,0,8,0,0,?
Tim Krul,GK,0,0.119801797,2.26946,29.4,3.325,0,3.275,8,0,6.25,?
Angus Gunn,GK,0,0,2.26946,0,0,0,0,8,0,0,?
Fraser Forster,GK,0,0,2.00251575,29,0,0,2.925,8,1,1.5,?
Fraser Forster,GK,0,0,2.00251575,29,0,0,2.925,1,0,1.5,?
Willy Caballero,GK,0,0,2.00251575,0,0,0,0,8,1,0,?
Willy Caballero,GK,0,0,2.00251575,0,0,0,0,1,0,0,?
Hugo Lloris,GK,0,0,0.9279865,14.45,0,0,1.45,6,1,5,?
Pierluigi Gollini,GK,0,0,0.9279865,0,0,0,0,6,1,0,?
Ben Foster,GK,0,0,1.484863,16.6,0,0,1.65,4,1,1.25,?
Daniel Bachmann,GK,0,0,1.484863,0,0,0,0,4,1,0,?
Darren Randolph,GK,0,0,1.5287615,0,0,0,0,1,1,0,?
Lukasz Fabianski,GK,0,0,1.5287615,28.3,0,0,2.825,1,1,2.25,?
Alphonse Areola,GK,0,0,1.5287615,0,0,0,0,1,1,0,?
