inst#,actual,predicted,error,prediction
1,1:?,1:no,,0.571
2,1:?,1:no,,0.656
3,1:?,1:no,,0.999
4,1:?,1:no,,0.999
5,1:?,1:no,,0.67
6,1:?,1:no,,0.744
7,1:?,1:no,,0.852
8,1:?,1:no,,0.892
9,1:?,1:no,,0.999
10,1:?,1:no,,1
11,1:?,2:return,,0.527
12,1:?,1:no,,0.981
13,1:?,1:no,,0.999
14,1:?,1:no,,0.729
15,1:?,2:return,,0.595
16,1:?,1:no,,0.999
17,1:?,1:no,,0.999
18,1:?,1:no,,0.966
19,1:?,1:no,,0.987
20,1:?,1:no,,0.623
21,1:?,1:no,,0.814
22,1:?,1:no,,0.999
23,1:?,1:no,,1
24,1:?,1:no,,0.696
25,1:?,1:no,,0.858
26,1:?,1:no,,0.857
27,1:?,1:no,,0.941
28,1:?,1:no,,0.684
29,1:?,1:no,,0.852
30,1:?,1:no,,0.871
31,1:?,1:no,,0.784
32,1:?,1:no,,1
33,1:?,1:no,,0.999
34,1:?,1:no,,1
35,1:?,1:no,,0.999
36,1:?,1:no,,0.896
37,1:?,1:no,,0.822
38,1:?,1:no,,0.861
39,1:?,1:no,,0.769
40,1:?,1:no,,0.767
41,1:?,1:no,,0.639
42,1:?,1:no,,0.959
43,1:?,1:no,,0.926
44,1:?,1:no,,0.761
45,1:?,1:no,,0.864
46,1:?,2:return,,0.758
47,1:?,1:no,,0.528
48,1:?,1:no,,0.745
49,1:?,1:no,,0.856
50,1:?,1:no,,0.999
51,1:?,1:no,,0.607
52,1:?,1:no,,0.999
53,1:?,1:no,,0.65
54,1:?,1:no,,0.999
55,1:?,1:no,,0.884
56,1:?,1:no,,0.729
57,1:?,2:return,,0.578
58,1:?,1:no,,0.834
59,1:?,1:no,,0.754
60,1:?,1:no,,0.822
61,1:?,1:no,,0.683
62,1:?,1:no,,0.625
63,1:?,1:no,,0.769
64,1:?,1:no,,0.999
65,1:?,1:no,,0.761
66,1:?,1:no,,0.92
67,1:?,1:no,,0.92
68,1:?,1:no,,0.999
69,1:?,1:no,,0.999
70,1:?,1:no,,0.859
71,1:?,1:no,,0.859
72,1:?,1:no,,0.801
73,1:?,1:no,,0.801
74,1:?,1:no,,0.761
75,1:?,1:no,,0.761
76,1:?,1:no,,0.608
77,1:?,1:no,,0.608
78,1:?,1:no,,0.809
79,1:?,1:no,,0.809
80,1:?,1:no,,0.888
81,1:?,1:no,,0.888
82,1:?,1:no,,0.999
83,1:?,1:no,,0.999
84,1:?,2:return,,0.554
85,1:?,1:no,,0.745
86,1:?,2:return,,0.577
87,1:?,2:return,,0.507
88,1:?,1:no,,0.821
89,1:?,1:no,,0.999
90,1:?,1:no,,0.999
91,1:?,1:no,,0.746
92,1:?,1:no,,0.755
93,1:?,2:return,,0.736
94,1:?,1:no,,0.806
95,1:?,1:no,,0.671
96,1:?,1:no,,0.998
97,1:?,1:no,,0.556
98,1:?,1:no,,0.858
99,1:?,2:return,,0.634
100,1:?,1:no,,0.736
101,1:?,1:no,,0.86
102,1:?,1:no,,0.967
103,1:?,1:no,,0.999
104,1:?,1:no,,1
105,1:?,1:no,,0.697
106,1:?,1:no,,0.918
107,1:?,1:no,,0.766
108,1:?,1:no,,0.941
109,1:?,1:no,,0.999
110,1:?,1:no,,1
111,1:?,1:no,,0.756
112,1:?,1:no,,0.686
113,1:?,1:no,,0.702
114,1:?,1:no,,0.625
115,1:?,1:no,,0.999
116,1:?,1:no,,0.999
117,1:?,1:no,,0.983
118,1:?,1:no,,0.976
119,1:?,1:no,,0.999
120,1:?,1:no,,0.999
121,1:?,1:no,,0.988
122,1:?,1:no,,0.983
123,1:?,1:no,,0.926
124,1:?,1:no,,0.898
125,1:?,1:no,,0.54
126,1:?,2:return,,0.547
127,1:?,1:no,,0.999
128,1:?,1:no,,0.999
129,1:?,1:no,,0.755
130,1:?,1:no,,0.941
131,1:?,1:no,,1
132,1:?,1:no,,0.896
133,1:?,1:no,,0.891
134,1:?,1:no,,0.925
135,1:?,1:no,,1
136,1:?,1:no,,0.999
137,1:?,1:no,,0.708
138,1:?,1:no,,0.608
139,1:?,1:no,,0.718
140,1:?,1:no,,0.618
141,1:?,1:no,,0.718
142,1:?,1:no,,0.618
143,1:?,1:no,,0.999
144,1:?,1:no,,0.999
145,1:?,1:no,,0.827
146,1:?,1:no,,0.753
147,1:?,1:no,,0.999
148,1:?,1:no,,0.999
149,1:?,1:no,,0.605
150,1:?,2:return,,0.562
151,1:?,1:no,,0.999
152,1:?,1:no,,0.998
153,1:?,2:return,,0.573
154,1:?,1:no,,0.999
155,1:?,2:return,,0.562
156,1:?,2:return,,0.573
157,1:?,1:no,,0.898
158,1:?,1:no,,0.772
159,1:?,1:no,,0.766
160,1:?,1:no,,0.999
161,1:?,1:no,,1
162,1:?,1:no,,0.999
163,1:?,1:no,,0.999
164,1:?,1:no,,0.72
165,1:?,1:no,,0.825
166,1:?,2:return,,0.55
167,1:?,1:no,,0.639
168,1:?,1:no,,0.898
169,1:?,1:no,,0.999
170,1:?,1:no,,0.898
171,1:?,1:no,,0.864
172,1:?,1:no,,0.864
173,1:?,1:no,,0.999

