@relation DEF_gameweek_34

@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute was_home numeric
@attribute form numeric
@attribute class {return,no}

@data
0.039105,0.143235,0.906762,16.05,26.2,2.75,4.525,8,1,1,?
0,0,0.906762,5.6,0.025,0,0.575,8,1,0.25,?
0.060661,0.01728,0.906762,18.65,12.05,21.25,5.2,8,1,1,?
0,0,0.906762,14.9,2.7,1.5,1.9,8,1,1,?
0.029572,0.019859,0.906762,5.35,8.3,8,2.175,8,1,0.75,?
0.03399,0,1.333753,2.45,0.05,5,0.75,6,0,0.25,?
0.030478,0.02952,1.333753,12.1,5.75,6.5,2.425,6,0,0.75,?
0.110319,0,1.333753,13.05,3.225,16.75,3.3,6,0,1,?
0.013815,0.012385,1.333753,11.7,0.95,9.5,2.2,6,0,0.5,?
0,0.084357,1.333753,6.65,11.925,1.5,2,6,0,0.5,?
0.353454,0.016588,1.079356,26.2,5.35,32.25,6.4,9,1,3.25,?
0,0.1404,1.079356,14.5,21.225,0,3.55,9,1,3,?
0,0,1.079356,2.45,1,1,0.45,9,1,1,?
0.01467,0.057154,1.079356,4.95,6.075,0,1.1,9,1,0.5,?
0.048225,0.271781,1.079356,19.55,9.85,18.75,4.8,9,1,3.5,?
0,0.028888,1.079356,0,0,0,0,9,1,0,?
0.036577,0.077639,1.24008,16.7,5.5,15.5,3.8,4,1,3.25,?
0.296334,0,1.24008,2.75,0.025,0.5,0.325,4,1,0,?
0.115817,0,1.24008,17.4,0.85,19,3.725,4,1,4,?
0.022274,0.01441,1.24008,4.15,6.775,6.75,1.775,4,1,4,?
0.008872,0.03882,1.24008,22.45,15.075,1.5,3.925,4,1,4.75,?
0.123067,0.018031,2.02454,28.25,3.025,9.5,4.075,7,1,2.25,?
0,0,2.02454,0,0,0,0,7,1,0,?
0.012398,0,2.02454,0,0,0,0,7,1,0,?
0.016248,0.012172,2.02454,6.7,7.15,3.5,1.725,7,1,2,?
0.01503,0.24794,2.02454,18.9,12.875,3.5,3.525,7,1,3,?
0.256524,0.136302,2.02454,39.05,3.175,22,6.425,7,1,5.75,?
0.005203,0.040479,2.02454,17.5,6.625,3.75,2.8,7,1,4.25,?
0.028597,0.056861,1.279573,14.05,6,7.75,2.775,7,1,1.25,?
0.028597,0.056861,1.279573,14.05,6,7.75,2.775,8,0,1.25,?
0,0.003564,1.279573,11.15,3.525,0,1.475,7,1,1.5,?
0,0.003564,1.279573,11.15,3.525,0,1.475,8,0,1.5,?
0.212166,0.2965,1.279573,21.3,23.875,42.25,8.75,7,1,3.5,?
0.212166,0.2965,1.279573,21.3,23.875,42.25,8.75,8,0,3.5,?
0.040559,0.226453,1.279573,6.65,4.125,0.75,1.15,7,1,0.25,?
0.040559,0.226453,1.279573,6.65,4.125,0.75,1.15,8,0,0.25,?
0.005163,0.090494,1.279573,5.95,3.075,0,0.9,7,1,1.75,?
0.005163,0.090494,1.279573,5.95,3.075,0,0.9,8,0,1.75,?
0.106636,0.018483,1.279573,5.9,0.65,0,0.65,7,1,2.25,?
0.106636,0.018483,1.279573,5.9,0.65,0,0.65,8,0,2.25,?
0.167948,0,1.184823,0,0,0,0,3,1,0,?
0.024704,0.026469,1.184823,11.75,3.15,2,1.7,3,1,3,?
0,0,1.184823,0,0,0,0,3,1,0,?
0,0.005513,1.184823,14.55,9.15,1.5,2.525,3,1,3.75,?
0,0.004871,1.184823,4.45,0.225,0,0.475,3,1,0,?
0.009902,0.022252,1.184823,19.75,3.425,7.5,3.05,3,1,3.75,?
0.044381,0.160041,1.184823,27.95,10.8,4.75,4.35,3,1,6,?
0,0.012261,1.184823,8.7,3.25,0,1.2,3,1,3.75,?
0.015489,0.050938,1.322412,7.5,2.825,0.5,1.075,10,0,2,?
0.012642,0,1.322412,9.45,0.15,1.5,1.125,10,0,1,?
0.048432,0,1.322412,6.15,1.075,4.75,1.2,10,0,0.25,?
0.051038,0.003985,1.322412,12.75,0.6,7.75,2.125,10,0,2,?
0.017537,0.020387,1.322412,17.85,3.25,1.5,2.275,10,0,2.25,?
0.007482,0.057257,1.322412,8.35,13.25,3.5,2.525,10,0,0.5,?
0.150555,0,1.322412,2.4,0.075,1,0.35,10,0,0.25,?
0.004065,0.059504,1.322412,16.5,13.825,2.25,3.275,10,0,4,?
0,0,1.665232,8.7,0.6,0,0.925,3,1,2,?
0.048249,0.011867,1.665232,1.15,0.65,2,0.375,3,1,0.5,?
0,0.016062,1.665232,8.8,2.95,0,1.175,3,1,1,?
0.006484,0.020657,1.665232,7.95,4.325,0,1.225,3,1,1.25,?
0.014198,0.004609,1.665232,8.25,2.825,0.5,1.175,3,1,0.75,?
0.132955,0.117148,1.665232,13.45,8.125,10.5,3.225,3,1,1.25,?
0,0.026806,1.665232,9.7,8.45,1,1.925,3,1,0.5,?
0.034178,0,1.665232,6.65,0.3,5.75,1.275,3,1,0.75,?
0,0,1.665232,0,0,0,0,3,1,0,?
0.008577,0,1.44508,8.75,0.15,0,0.9,4,0,2.25,?
0.095392,0.087379,1.44508,26.45,14.1,21,6.15,4,0,5.25,?
0.094081,0,1.44508,20.95,0.225,2.5,2.375,4,0,2.75,?
0.007417,0.028413,1.44508,8.25,3.2,0,1.15,4,0,2,?
0.230519,0,1.44508,12.95,0.225,15.25,2.85,4,0,0.75,?
0.015759,0,1.44508,2.3,0.05,1,0.325,4,0,0,?
0,0.011871,1.44508,0,0,0,0,4,0,0,?
0.025301,0,0.686067,18.15,2.025,10,3.025,2,1,5.25,?
0.01445,0,0.686067,18,1.275,6.25,2.525,2,1,5,?
0.012169,0.238026,0.686067,20.3,27.325,4.75,5.25,2,1,6,?
0.012613,0.273638,0.686067,15.6,17.7,4.75,3.8,2,1,4.25,?
0,0.148363,0.686067,8.75,5.7,0,1.45,2,1,2.5,?
0.017796,0,0.686067,0,0,0,0,2,1,0,?
0.113421,0.196582,0.686067,0,0,0,0,2,1,0,?
0.034934,0.216151,0.487577,21,26.225,13,6.025,1,1,6.5,?
0.139062,0.012963,0.487577,17.8,4.7,3,2.55,1,1,4.75,?
0.049433,0.12503,0.487577,1.65,0.3,0,0.2,1,1,0.25,?
0.014321,0.116461,0.487577,1.05,0.05,0,0.1,1,1,0.25,?
0.043171,0.023211,1.372721,22.3,6.825,18.25,4.725,8,0,1.25,?
0.043171,0.023211,1.372721,22.3,6.825,18.25,4.725,9,1,1.25,?
0,0.088606,1.372721,12.9,20.725,3.5,3.7,8,0,1.75,?
0,0.088606,1.372721,12.9,20.725,3.5,3.7,9,1,1.75,?
0,0,1.372721,11.9,1.775,2.5,1.625,8,0,0.75,?
0,0,1.372721,11.9,1.775,2.5,1.625,9,1,0.75,?
0,0,1.372721,0,0,0,0,8,0,0,?
0,0,1.372721,0,0,0,0,9,1,0,?
0.02968,0.030144,1.372721,11.05,0.975,6.5,1.85,8,0,0.5,?
0.02968,0.030144,1.372721,11.05,0.975,6.5,1.85,9,1,0.5,?
0.020938,0.077803,1.372721,17.55,16.15,3,3.65,8,0,0.75,?
0.020938,0.077803,1.372721,17.55,16.15,3,3.65,9,1,0.75,?
0,0.004183,1.372721,3.5,0.225,0,0.375,8,0,0.5,?
0,0.004183,1.372721,3.5,0.225,0,0.375,9,1,0.5,?
0,0,1.372721,2.2,0.025,0,0.225,8,0,0,?
0,0,1.372721,2.2,0.025,0,0.225,9,1,0,?
0.006968,0.055281,1.22221,16.95,15.925,7.25,4,1,0,4.25,?
0.053982,0.1555,1.22221,16.15,5.725,18.25,4,1,0,4.25,?
0.025595,0,1.22221,0,0,0,0,1,0,0,?
0.015223,0,1.22221,0.15,0,0.5,0.075,1,0,0.25,?
0,0,1.22221,0,0,0,0,1,0,0,?
0,0,1.22221,1.3,0.4,0,0.175,1,0,0,?
0.003377,0.007662,1.22221,10.9,3.825,0,1.475,1,0,3.5,?
0.038723,0.055647,1.22221,28.2,10.55,3.75,4.275,1,0,5,?
0.044242,0,1.22221,0,0,0,0,1,0,0,?
0.00388,0.030686,2.153602,4,7.225,2.75,1.4,5,1,0.5,?
0.1055,0,2.153602,27.15,0.125,2.25,2.975,5,1,3.5,?
0.070043,0.029862,2.153602,15.15,3.6,7.5,2.65,5,1,3.25,?
0.027486,0,2.153602,0,0,0,0,5,1,0,?
0.007549,0.006749,2.153602,3.45,3.875,2,0.925,5,1,0.25,?
0,0,2.153602,15.7,0.225,1,1.675,5,1,3.5,?
0,0.032016,2.153602,15,9.9,1,2.6,5,1,3.25,?
0,0.013529,2.350357,0,0,0,0,6,0,0,?
0.035172,0.110993,2.350357,12.15,5.975,14.75,3.275,6,0,3,?
0.042586,0,2.350357,27.35,0.75,15.25,4.325,6,0,3.75,?
0.177467,0,2.350357,10.1,0.2,0,1.025,6,0,0.25,?
0.053543,0.012332,2.350357,5.25,3.9,11.25,2.05,6,0,1.5,?
0.006644,0.036417,2.350357,4.45,4.65,1.5,1.075,6,0,0.75,?
0.002869,0.063763,2.350357,12.7,1.075,0,1.375,6,0,1.75,?
0.0174,0.006629,0.845348,17.3,3.4,2.5,2.325,5,0,3,?
0.118603,0,0.845348,18.2,1.7,8.75,2.9,5,0,4.5,?
0.016113,0,0.845348,0,0,0,0,5,0,0,?
0.028935,0.130379,0.845348,0,0,0,0,5,0,0,?
0.126929,0.028056,0.845348,6.3,6.375,11.5,2.425,5,0,2.5,?
0,0,0.845348,0,0,0,0,5,0,0,?
0,0.004889,0.845348,24.2,4.425,2,3.075,5,0,3,?
0.186584,0.05827,0.845348,14.65,12.15,11.25,3.8,5,0,3.75,?
0,0,1.628413,0.55,0.025,0,0.05,10,0,0.5,?
0,0.214663,1.628413,11.2,15.7,0.5,2.75,10,0,1.5,?
0,0,1.628413,22.15,0.15,1,2.35,10,0,1.25,?
0.025447,0.04386,1.628413,0,0,0,0,10,0,0,?
0.008475,0.01332,1.628413,0,0,0,0,10,0,0,?
0,0.024749,1.628413,22.9,10.825,0,3.375,10,0,1,?
0.029626,0.03567,1.628413,15.35,5.125,5.5,2.625,10,0,1.25,?
0.049241,0.051994,1.735626,22.85,13.425,8.5,4.5,9,0,3.25,?
0.00679,0.086816,1.735626,21.05,3.475,2,2.675,9,0,2,?
0,0.029153,1.735626,4.3,4.075,0.5,0.9,9,0,0.5,?
0,0.185061,1.735626,1.45,1.475,0,0.3,9,0,0,?
0.007009,0.025047,1.735626,6,4.6,0,1.05,9,0,0.25,?
0.011743,0.096887,1.735626,7.6,13.2,1.25,2.2,9,0,0.75,?
0,0,1.735626,0,0,0,0,9,0,0,?
0,0,1.642409,12.55,0.6,0,1.3,2,0,1,?
0.032743,0,1.642409,20.25,1.025,6.25,2.75,2,0,4.5,?
0,0.005235,1.642409,8.3,2.95,0.5,1.2,2,0,1.75,?
0.014809,0.047409,1.642409,13.75,11.375,4,2.9,2,0,3.5,?
0.171823,0.129532,1.642409,28.15,16.475,16.5,6.125,2,0,6,?
0.002716,0.096188,1.642409,0,0,0,0,2,0,0,?
0,0,1.642409,15.8,1.325,0,1.7,2,0,3,?
0,0.048883,1.642409,2.65,4.15,2.5,0.95,2,0,0.5,?
0,0,1.642409,0,0,0,0,2,0,0,?
