name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,was_home,form,class
Granit Xhaka,MID,0.045487794,0.019404253,0.90676175,16.4,14.475,14.25,4.525,8,1,3,?
Mohamed Naser El Sayed Elneny,MID,0.008289361,0.012862355,0.90676175,4.05,3.375,2,0.95,8,1,0.5,?
Nicolas Pépé,MID,0.183238219,0,0.90676175,0.1,1.175,15.5,1.675,8,1,0.5,?
Emile Smith Rowe,MID,0.161002051,0.074437114,0.90676175,14.35,19.8,24.25,5.825,8,1,3,?
Bukayo Saka,MID,0.407603127,0.315670513,0.90676175,22.35,38.175,40.5,10.1,8,1,3.25,?
Gabriel Teodoro Martinelli Silva,MID,0.145161293,0.014458239,0.90676175,4.15,8.05,32.25,4.45,8,1,1.5,?
Albert Sambi Lokonga,MID,0.013755265,0.048356666,0.90676175,7.25,13.975,2,2.325,8,1,1,?
Martin Ødegaard,MID,0.170756381,0.093755018,0.90676175,19.65,23.675,14.75,5.625,8,1,4,?
John McGinn,MID,0.023244335,0.131413036,1.33375275,21.1,27.225,8,5.625,6,0,1.5,?
Marvelous Nakamba,MID,0,0.011347068,1.33375275,0,0,0,0,6,0,0,?
Emiliano Buendía Stati,MID,0.110961611,0.067014955,1.33375275,9.85,12.8,16,3.85,6,0,2,?
Douglas Luiz Soares de Paulo,MID,0.010484871,0.099899538,1.33375275,11.25,13.55,0.25,2.525,6,0,1.75,?
Jacob Ramsey,MID,0.097855118,0.049485046,1.33375275,21.6,13.175,9.75,4.45,6,0,3.75,?
Leon Bailey,MID,0.037772524,0.101843826,1.33375275,4.55,5.6,9,1.85,6,0,1.25,?
Carney Chukwuemeka,MID,0.009223213,0,1.33375275,0,0,0,0,6,0,0,?
Tim Iroegbunam,MID,0,0,1.33375275,0,0,0,0,6,0,0,?
Philippe Coutinho Correia,MID,0.113901367,0.128147658,1.33375275,11.05,21.025,23.5,5.55,6,0,2,?
Christian Nørgaard,MID,0.179309467,0.003313098,1.079356,23.7,6.7,13.75,4.425,9,1,4,?
Tariqe Fosu-Henry,MID,0.053581476,0,1.079356,1.3,1.2,5.25,0.775,9,1,0.25,?
Vitaly Janelt,MID,0.1699859,0.176137282,1.079356,21.35,9.65,27.25,5.775,9,1,5.25,?
Saman Ghoddos,MID,0,0.066096373,1.079356,0.75,0.125,1.5,0.25,9,1,0.25,?
Mathias Jensen,MID,0.036302801,0.003586933,1.079356,4,5.8,4.5,1.45,9,1,1.25,?
Bryan Mbeumo,MID,0.406908901,0.392620813,1.079356,33.15,26.375,45.75,10.525,9,1,7.25,?
Shandon Baptiste,MID,0.033369038,0.026314246,1.079356,1.95,5.5,5,1.25,9,1,0.25,?
Yoane Wissa,MID,0.064986904,0.088077608,1.079356,22.15,9.1,19.25,5.05,9,1,4.75,?
Christian Eriksen,MID,0.216798565,0.472502733,1.079356,28.95,26.5,15,7.025,9,1,4.25,?
Adam Lallana,MID,0.014473821,0,1.2400805,1.9,0.25,1,0.3,4,1,0.5,?
Pascal Groß,MID,0,0.084207305,1.2400805,13.35,36.8,2.5,5.275,4,1,2.25,?
Solomon March,MID,0.01670919,0.088966843,1.2400805,7.25,17.7,5.5,3.05,4,1,1.5,?
Alexis Mac Allister,MID,0.091989835,0.017668169,1.2400805,7.6,7.25,10,2.475,4,1,2.25,?
Enock Mwepu,MID,0.042376884,0.088212587,1.2400805,17.6,3.6,9.5,3.075,4,1,4.25,?
Jeremy Sarmiento,MID,0,0,1.2400805,0.1,0.375,0,0.05,4,1,0.5,?
Jack Cork,MID,0,0,2.02454,3.1,2.025,0,0.5,7,1,0.75,?
Dale Stephens,MID,0.022307195,0.008636256,2.02454,0,0,0,0,7,1,0,?
