name,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form
Cédric Soares,0.00618698401376605,0.024877600371837616,0.7826909999999999,3.75,2.525,0.5,0.675,4,1,1.5
Alexandre Lacazette,0.5753289824351668,0.30198492854833603,0.7826909999999999,20.7,22.45,42.25,8.55,4,1,5.0
Granit Xhaka,0.018406473100185394,0.21393471956253052,0.7826909999999999,7.95,10.774999999999999,0.5,1.9249999999999998,4,1,1.25
Mohamed Naser El Sayed Elneny,0.003891529282554984,0.01082506775856018,0.7826909999999999,1.0,0.275,0.0,0.125,4,1,0.5
Rob Holding,0.011387490667402744,0.0,0.7826909999999999,14.6,0.625,1.5,1.6749999999999998,4,1,3.25
Thomas Partey,0.07486751861870289,0.03351648524403572,0.7826909999999999,11.5,6.85,10.75,2.925,4,1,1.5
Kieran Tierney,0.0483370590955019,0.039991673082113266,0.7826909999999999,22.5,11.575,13.5,4.7749999999999995,4,1,7.75
Nicolas Pépé,0.06615319848060608,0.0,0.7826909999999999,0.05,0.3,4.5,0.475,4,1,1.0
Edward Nketiah,0.12118902802467346,0.06673439592123032,0.7826909999999999,0.25,0.425,1.0,0.175,4,1,0.5
Emile Smith Rowe,0.22498904541134834,0.12037015706300735,0.7826909999999999,12.2,7.9,19.0,3.9,4,1,2.75
Bukayo Saka,0.14133848249912262,0.24654067773371935,0.7826909999999999,28.8,20.325,31.0,8.025,4,1,7.0
Gabriel Magalhães,0.2549863001331687,0.02894267812371254,0.7826909999999999,22.0,6.475,20.0,4.85,4,1,5.75
Ben White,0.030320864636451006,0.03957148315384984,0.7826909999999999,21.049999999999997,8.524999999999999,8.0,3.7499999999999996,4,1,5.5
Nuno Varela Tavares,0.010058904066681862,0.006704769562929869,0.7826909999999999,0.0,0.0,0.0,0.0,4,1,0.0
Albert Sambi Lokonga,0.0109680718742311,0.12575486674904823,0.7826909999999999,3.15,3.75,2.0,0.9,4,1,0.75
Martin Ødegaard,0.09444116428494453,0.12438246794044971,0.7826909999999999,19.5,31.049999999999997,13.75,6.4,4,1,4.25
Aaron Ramsdale,0.0,0.0,0.7826909999999999,16.45,0.25,0.0,1.6749999999999998,4,1,6.0
Arthur Okonkwo,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,4,1,0.0
Charlie Patino,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,4,1,0.0
Omari Hutchinson,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,4,1,0.0
Salah-Eddine Oulad M'hand,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,4,1,0.0
Mika Biereth,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,4,1,0.0
Zach Awe,FAIL,FAIL,FAIL,0.0,0.0,0.0,0.0,4,1,0.0
Calum Chambers,0.015448087826371193,0.013890262693166733,1.41222275,4.5,0.25,1.0,0.575,1,1,0.75
Emiliano Martínez,0.0,0.0,1.41222275,17.35,0.0,0.0,1.725,1,1,2.75
Morgan Sanson,0.002952639479190111,0.0,1.41222275,1.15,2.325,0.0,0.35,1,1,0.5
John McGinn,0.014649743679910898,0.1258298046886921,1.41222275,14.600000000000001,4.5,2.0,2.1,1,1,1.5
Kortney Hause,0.0021014262456446886,0.0,1.41222275,3.9,0.925,4.25,0.9,1,1,0.5
Tyrone Mings,0.06400277838110924,0.16290125530213118,1.41222275,21.5,9.149999999999999,7.25,3.7749999999999995,1,1,2.5
Ollie Watkins,0.19620977388694882,0.01698514260351658,1.41222275,3.4000000000000004,11.0,13.25,2.7,1,1,2.0
