@relation retrieved_data_cleaned

@attribute name string
@attribute pos string
@attribute avg_xG numeric
@attribute avg_xA numeric
@attribute avg_xGC numeric
@attribute avg_I numeric
@attribute avg_C numeric
@attribute avg_T numeric
@attribute avg_ICT numeric
@attribute fixture_difficulty numeric
@attribute is_home numeric
@attribute form numeric
@attribute class {return, no}

@data
'Granit Xhaka',MID,0,0.055589,0.90432,9.1,11.775,3,2.4,7,1,1,?
'Saman Ghoddos',MID,0,0.076664,1.05529,2.7,7.225,0,1,2,1,1.25,?
'Shandon Baptiste',MID,0,0.017835,1.05529,2.95,0.625,0,0.375,2,1,0.75,?
'Steven Alzate',MID,0,0,1.453339,6.9,0.575,0.5,0.8,5,1,0.75,?
'Jack Cork',MID,0,0.027446,1.232154,5.05,5.75,0.5,1.125,4,0,1.25,?
'Jairo Riedewald',MID,0,0.017875,1.278683,0,0,0,0,1,1,0,?
'Jesurun Rak-Sakyi',MID,0,0,1.278683,0,0,0,0,1,1,0,?
'Marc Albrighton',MID,0,0.231144,1.286299,13.1,7.775,2,2.3,1,0,2,?
'Jamie Shackleton',MID,0,0,3.0068,1.75,0.025,0,0.175,7,1,0.25,?
'Liam McCarron',MID,0,0,3.0068,0,0,0,0,7,1,0,?
'Stuart McKinstry',MID,0,0,3.0068,0,0,0,0,7,1,0,?
'Lewis Bate',MID,0,0,3.0068,0,0,0,0,7,1,0,?
'Tyler Morton',MID,0,0,0.629265,0,0,0,0,9,1,0,?
'Nemanja Matic',MID,0,0.090497,1.114164,0,0,0,0,1,1,0,?
'Pierre Lees-Melou',MID,0,0.017746,2.533978,7.05,7.35,0,1.45,6,0,2,?
'Mathias Normann',MID,0,0,2.533978,5.05,1.5,0,0.675,6,0,1,?
'Jonathan Rowe',MID,0,0.020301,2.533978,0,0.025,0,0,6,0,0.5,?
'Pierre-Emile Højbjerg',MID,0,0.018157,1.86917,9.2,4.2,1,1.45,3,0,1.75,?
'Edo Kayembe',MID,0,0,1.138702,1.9,1,0,0.275,8,0,1,?
'Sonny Perkins',MID,0,0,1.108387,0,0,0,0,7,1,0,?
'Morgan Sanson',MID,0.002953,0,1.528905,0,0,0,0,6,0,0,?
'James McArthur',MID,0.003834,0.111889,1.278683,11.15,3.725,1.75,1.65,1,1,1.75,?
'Mohamed Naser El Sayed Elneny',MID,0.003892,0.010825,0.90432,0,0,0,0,7,1,0,?
'Hamza Choudhury',MID,0.005057,0,1.286299,0,0,0,0,1,0,0,?
'Nikola Vlasic',MID,0.005995,0.032158,1.108387,0.6,2.825,0.5,0.375,7,1,0.5,?
'Jesse Lingard',MID,0.006679,0.022157,1.114164,1.9,3.95,2,0.775,1,1,0.75,?
'Anwar El Ghazi',MID,0.007014,0.017483,1.629686,0.55,0.2,1,0.175,10,1,0.25,?
'Ken Sema',MID,0.008038,0.004166,1.138702,0,0,0,0,8,0,0.25,?
'James Milner',MID,0.008163,0.052874,0.629265,0.85,3.7,2,0.65,9,1,0.5,?
'Ibrahima Diallo',MID,0.009127,0.003158,1.640977,1.35,0.175,1.75,0.325,2,1,0.75,?
'Carney Chukwuemeka',MID,0.009223,0,1.528905,1.3,0.55,2.5,0.45,6,0,0.75,?
'Eberechi Eze',MID,0.010483,0.018473,1.278683,0.55,0.15,0,0.075,1,1,0.5,?
