name,pos,avg_xG,avg_xA,avg_xGC,avg_I,avg_C,avg_T,avg_ICT,fixture_difficulty,is_home,form,class
Granit Xhaka,MID,0,0.055588968,0.9043195,9.1,11.775,3,2.4,7,1,1,?
Saman Ghoddos,MID,0,0.076663897,1.05529025,2.7,7.225,0,1,2,1,1.25,?
Shandon Baptiste,MID,0,0.017835235,1.05529025,2.95,0.625,0,0.375,2,1,0.75,?
Steven Alzate,MID,0,0,1.45333925,6.9,0.575,0.5,0.8,5,1,0.75,?
Jack Cork,MID,0,0.027445892,1.23215375,5.05,5.75,0.5,1.125,4,0,1.25,?
Jairo Riedewald,MID,0,0.017874788,1.27868275,0,0,0,0,1,1,0,?
Jesurun Rak-Sakyi,MID,0,0,1.27868275,0,0,0,0,1,1,0,?
Marc Albrighton,MID,0,0.231143907,1.28629875,13.1,7.775,2,2.3,1,0,2,?
Jamie Shackleton,MID,0,0,3.0068,1.75,0.025,0,0.175,7,1,0.25,?
Liam McCarron,MID,0,0,3.0068,0,0,0,0,7,1,0,?
Stuart McKinstry,MID,0,0,3.0068,0,0,0,0,7,1,0,?
Lewis Bate,MID,0,0,3.0068,0,0,0,0,7,1,0,?
Tyler Morton,MID,0,0,0.62926525,0,0,0,0,9,1,0,?
Nemanja Matic,MID,0,0.090497193,1.11416425,0,0,0,0,1,1,0,?
Pierre Lees-Melou,MID,0,0.017746173,2.5339775,7.05,7.35,0,1.45,6,0,2,?
Mathias Normann,MID,0,0,2.5339775,5.05,1.5,0,0.675,6,0,1,?
Jonathan Rowe,MID,0,0.020300802,2.5339775,0,0.025,0,0,6,0,0.5,?
Pierre-Emile Højbjerg,MID,0,0.018156769,1.86917,9.2,4.2,1,1.45,3,0,1.75,?
Edo Kayembe,MID,0,0,1.1387015,1.9,1,0,0.275,8,0,1,?
Sonny Perkins,MID,0,0,1.108387,0,0,0,0,7,1,0,?
Morgan Sanson,MID,0.002952639,0,1.52890525,0,0,0,0,6,0,0,?
James McArthur,MID,0.003833924,0.111889377,1.27868275,11.15,3.725,1.75,1.65,1,1,1.75,?
Mohamed Naser El Sayed Elneny,MID,0.003891529,0.010825068,0.9043195,0,0,0,0,7,1,0,?
Hamza Choudhury,MID,0.005056706,0,1.28629875,0,0,0,0,1,0,0,?
Nikola Vlasic,MID,0.005994941,0.032157984,1.108387,0.6,2.825,0.5,0.375,7,1,0.5,?
Jesse Lingard,MID,0.006679074,0.02215698,1.11416425,1.9,3.95,2,0.775,1,1,0.75,?
Anwar El Ghazi,MID,0.007013971,0.017482929,1.62968575,0.55,0.2,1,0.175,10,1,0.25,?
Ken Sema,MID,0.008038435,0.004165589,1.1387015,0,0,0,0,8,0,0.25,?
James Milner,MID,0.008163227,0.052874343,0.62926525,0.85,3.7,2,0.65,9,1,0.5,?
Ibrahima Diallo,MID,0.009126606,0.003157526,1.6409775,1.35,0.175,1.75,0.325,2,1,0.75,?
Carney Chukwuemeka,MID,0.009223213,0,1.52890525,1.3,0.55,2.5,0.45,6,0,0.75,?
Eberechi Eze,MID,0.010483071,0.018473309,1.27868275,0.55,0.15,0,0.075,1,1,0.5,?
Tyler Onyango,MID,0.010572066,0,1.62968575,0.3,0,4.5,0.475,10,1,0.25,?
Albert Sambi Lokonga,MID,0.010968072,0.125754867,0.9043195,3.15,3.75,2,0.9,7,1,0.75,?
Kiernan Dewsbury-Hall,MID,0.012126033,0.068070449,1.28629875,14.15,18.025,6,3.825,1,0,2,?
Solomon March,MID,0.01217681,0.150686072,1.45333925,2.6,11.95,2.5,1.7,5,1,0.5,?
Kenny McLean,MID,0.012516985,0.010243154,2.5339775,8.55,4.55,3.25,1.625,6,0,2,?
Harry Winks,MID,0.012620021,0.024628828,1.86917,6.9,6.825,2.5,1.65,3,0,1.25,?
Jorge Luiz Frello Filho,MID,0.01336256,0.007152053,0.65052525,8.65,4.725,0.25,1.375,1,0,1.75,?
Imrân Louza,MID,0.013745082,0,1.1387015,11,1.35,2.5,1.475,8,0,1.5,?
John McGinn,MID,0.014108423,0.024039094,1.52890525,18.7,11.8,4.25,3.475,6,0,2,?
Wilfred Ndidi,MID,0.015325854,0,1.28629875,12.9,1.8,5,1.975,1,0,1.5,?
Declan Rice,MID,0.015575888,0.013957521,1.108387,17.1,9.675,5.5,3.25,7,1,1.75,?
Saúl Ñíguez,MID,0.015762182,0,0.65052525,0.05,0.075,0,0.025,1,0,0.25,?
Will Hughes,MID,0.015830824,0.01187958,1.27868275,5.7,5.85,12.25,2.4,1,1,1.75,?
Luka Milivojevic,MID,0.017196989,0.05165332,1.27868275,0,0,0,0,1,1,0,?
Allan Marques Loureiro,MID,0.017641233,0.026365111,1.62968575,11.1,8.2,1.75,2.125,10,1,1,?
André Filipe Tavares Gomes,MID,0.018744555,0,1.62968575,1.1,4.7,0.25,0.6,10,1,0.25,?
Kieran Dowell,MID,0.019742221,0.006820695,2.5339775,0.05,0.075,0,0.025,6,0,0.25,?
Dale Stephens,MID,0.022307195,0.008636256,1.23215375,0,0,0,0,4,0,0,?
Thiago Alcántara do Nascimento,MID,0.022585246,0.021630403,0.62926525,12.05,9.225,2.75,2.425,9,1,2,?
Theo Walcott,MID,0.023683554,0,1.6409775,0,0,0,0,2,1,0.25,?
Christos Tzolis,MID,0.024826299,0.042942022,2.5339775,0,0,0,0,6,0,0,?
Adam Forshaw,MID,0.02582901,0.028962154,3.0068,7.8,4.15,7.5,1.95,7,1,1.25,?
Stuart Dallas,MID,0.025887126,0.118891709,3.0068,10.65,5.825,3.25,2,7,1,1.5,?
Moussa Djenepo,MID,0.026555833,0.042687691,1.6409775,0,0,0,0,2,1,0.25,?
Douglas Luiz Soares de Paulo,MID,0.027975588,0.046692438,1.52890525,9.8,11.15,4,2.5,6,0,1.75,?
Jack Harrison,MID,0.028627629,0.043310564,3.0068,10.2,16,6.5,3.225,7,1,1.75,?
Boubakary Soumaré,MID,0.030437042,0,1.28629875,1.25,0.7,1.75,0.375,1,0,0.5,?
Alex Kral,MID,0.030804351,0.030272994,1.108387,0,0,0,0,7,1,0,?
Andros Townsend,MID,0.031105833,0.101999536,1.62968575,3.5,4.775,6,1.45,10,1,1,?
Dwight McNeil,MID,0.031846408,0.142106271,1.23215375,14.2,20.275,17,5.15,4,0,2.25,?
Bamidele Alli,MID,0.032803499,0.130010465,1.62968575,5.6,12.675,9.5,2.775,10,1,1,?
Naby Keita,MID,0.033355622,0.032751612,0.62926525,8.8,9.075,4.25,2.225,9,1,1.25,?
Billy Gilmour,MID,0.034934261,0.02850306,2.5339775,5.85,12.675,2,2.075,6,0,1.25,?
Adam Lallana,MID,0.035859724,0.004831516,1.45333925,4.6,4.275,3,1.2,5,1,1,?
James Ward-Prowse,MID,0.03816573,0.472697928,1.6409775,33,42.85,10,8.575,2,1,4.75,?
Frederico Rodrigues de Paula Santos,MID,0.038797375,0.261016903,1.11416425,12.1,5.15,6.75,2.4,1,1,2.25,?
Donny van de Beek,MID,0.042078592,0.004844602,1.62968575,5,5.05,6.5,1.675,10,1,1.5,?
Pablo Fornals,MID,0.04211944,0.031998578,1.108387,8.2,9.7,13.25,3.1,7,1,2,?
Lucas Rodrigues Moura da Silva,MID,0.042706028,0.145480853,1.86917,7.6,11.45,6.75,2.525,3,0,2,?
James McAtee,MID,0.044324361,0,0.9556575,0,0.05,0,0,3,0,0.25,?
Rodrigo Hernandez,MID,0.044528157,0.081268291,0.9556575,13.4,14.875,8.25,3.65,3,0,1.75,?
Ayoze Pérez,MID,0.04472306,0.014583515,1.28629875,0,0,0,0,1,0,0.25,?
Andriy Yarmolenko,MID,0.045973974,0.026016673,1.108387,0,0,0,0,7,1,0,?
Oriol Romeu Vidal,MID,0.046407031,0.070395371,1.6409775,14.75,17.225,12.75,4.5,2,1,2.25,?
Leon Bailey,MID,0.050800101,0.021894449,1.52890525,0.65,1.65,2,0.425,6,0,0.25,?
Michael Olise,MID,0.052436369,0.113106823,1.27868275,11.7,21.875,6.25,3.975,1,1,2.75,?
Nicolas Pépé,MID,0.053835873,0,0.9043195,0.5,0.6,9.5,1.05,7,1,0.25,?
Jeffrey Schlupp,MID,0.05820195,0,1.27868275,5.95,2.725,12,2.075,1,1,1.75,?
Tom Cleverley,MID,0.059445916,0.013716568,1.1387015,9.65,6.95,9,2.575,8,0,2.25,?
Milot Rashica,MID,0.061239894,0.093903448,2.5339775,21.1,21.975,15,5.825,6,0,4.25,?
Jordan Henderson,MID,0.062427726,0.26188762,0.62926525,13.75,14.775,6,3.475,9,1,2.5,?
Steven Bergwijn,MID,0.063291334,0,1.86917,0.85,0.275,6.25,0.75,3,0,0.75,?
William Smallbone,MID,0.066707961,0.050952293,1.6409775,0,0,0,0,2,1,0,?
Vitaly Janelt,MID,0.069189449,0.026320949,1.05529025,3.4,8.25,7,1.825,2,1,1.5,?
Emile Smith Rowe,MID,0.073436681,0.120370157,0.9043195,11.5,10.075,17,3.85,7,1,3.75,?
Ruben Loftus-Cheek,MID,0.075805396,0.029250914,0.65052525,0,0.075,0,0,1,0,0.25,?
Frank Onyeka,MID,0.07631856,0.003332573,1.05529025,2.85,0.15,8.75,1.175,2,1,0.5,?
Tomas Soucek,MID,0.076625172,0.071932233,1.108387,12.95,12.325,26,5.15,7,1,2.25,?
Alexis Mac Allister,MID,0.076924145,0.028540191,1.45333925,11.55,17.75,17,4.6,5,1,1.5,?
Emiliano Buendía Stati,MID,0.078814363,0.151005542,1.52890525,21.9,19.7,20,6.15,6,0,4,?
Josh Brownhill,MID,0.078835973,0.065799642,1.23215375,33.95,19.375,19.25,7.275,4,0,4.75,?
Curtis Jones,MID,0.079603736,0.071503201,0.62926525,7.4,6.975,14,2.85,9,1,1,?
Crysencio Summerville,MID,0.080597806,0.003431849,3.0068,0,0,0,0,7,1,0,?
Mohamed Elyounoussi,MID,0.082836632,0.239983724,1.6409775,22.5,27.075,20.75,7.025,2,1,4.5,?
Aaron Lennon,MID,0.084509425,0.018814605,1.23215375,14.25,7.05,5.25,2.65,4,0,3.5,?
NGolo Kanté,MID,0.09250059,0.02824547,0.65052525,17.25,9.4,5,3.175,1,0,2.75,?
Kevin De Bruyne,MID,0.093670665,0.244676262,0.9556575,24.4,32.1,15.5,7.2,3,0,5.25,?
Thomas Partey,MID,0.09481534,0.061835213,0.9043195,11.55,7.15,21,3.975,7,1,1.75,?
Pascal Groß,MID,0.106839639,0.157110263,1.45333925,7.9,15.925,6.25,3.025,5,1,1.5,?
