name,pos,return_confidence
Bernd Leno,GK,0.558
Aaron Ramsdale,GK,0.523
Emiliano MartÃ­nez,GK,0.543
Robin Olsen,GK,0.58
Alvaro Fernandes,GK,0.548
Jonas LÃ¶ssl,GK,0.548
Jason Steele,GK,0.636
Robert SÃ¡nchez,GK,0.561
Nick Pope,GK,0.549
Will Norris,GK,0.59
Wayne Hennessey,GK,0.989
Edouard Mendy,GK,0.513
Vicente Guaita,GK,0.596
Jack Butland,GK,0.653
Asmir BegoviÄ‡,GK,0.517
Kasper Schmeichel,GK,0.627
Eldin Jakupovic,GK,0.66
Illan Meslier,GK,0.561
AdriÃ¡n San Miguel del Castillo,GK,0.655
Alisson Ramses Becker,GK,0.594
Caoimhin Kelleher,GK,0.655
Ederson Santana de Moraes,GK,0.596
Zack Steffen,GK,0.665
Scott Carson,GK,0.665
Karl Darlow,GK,0.672
Martin Dubravka,GK,0.6
Michael McGovern,GK,0.622
Tim Krul,GK,1
Angus Gunn,GK,0.622
Fraser Forster,GK,0.565
Alex McCarthy,GK,0.581
Willy Caballero,GK,0.578
Hugo Lloris,GK,0.516
Pierluigi Gollini,GK,0.583
Daniel Bachmann,GK,0.521
Darren Randolph,GK,0.536
Lukasz Fabianski,GK,0.501
Alphonse Areola,GK,0.536
John Ruddy,GK,0.658
JosÃ© Malheiro de SÃ¡,GK,0.599
Pontus Jansson,DEF,0.591
Kristoffer Ajer,DEF,0.554
Lewis Dunk,DEF,0.655
JoÃ«l Veltman,DEF,0.645
Marc Cucurella,DEF,0.666
Nathan Collins,DEF,0.657
Marc GuÃ©hi,DEF,0.645
Joachim Andersen,DEF,0.64
Luke Ayling,DEF,0.677
Joel Matip,DEF,0.645
Andrew Robertson,DEF,0.735
Trent Alexander-Arnold,DEF,0.676
JoÃ£o Pedro Cavaco Cancelo,DEF,0.798
Matt Targett,DEF,0.613
Dan Burn,DEF,0.595
Fabian SchÃ¤r,DEF,0.578
Emerson Aparecido Leite de Souza Junior,DEF,0.509
Jonathan Castro Otto,DEF,0.766
Bukayo Saka,MID,0.979
Vitaly Janelt,MID,0.732
Bryan Mbeumo,MID,0.989
Christian Eriksen,MID,0.691
Maxwel Cornet,MID,0.95
Wilfried Zaha,MID,0.94
James Maddison,MID,0.847
Raphael Dias Belloli,MID,0.863
Jack Harrison,MID,0.976
Daniel James,MID,0.668
Sadio ManÃ©,MID,0.835
Mohamed Salah,MID,0.993
Diogo Jota,MID,0.994
Kevin De Bruyne,MID,0.992
Riyad Mahrez,MID,0.87
Raheem Sterling,MID,0.508
Bernardo Mota Veiga de Carvalho e Silva,MID,0.71
Phil Foden,MID,0.702
Heung-Min Son,MID,0.995
Dejan Kulusevski,MID,0.846
Edward Nketiah,FWD,0.594
Ollie Watkins,FWD,0.79
Ivan Toney,FWD,0.898
Jay Rodriguez,FWD,0.79
Wout Weghorst,FWD,0.586
Richarlison de Andrade,FWD,0.752
Rodrigo Moreno,FWD,0.844
Teemu Pukki,FWD,0.932
Harry Kane,FWD,0.898
Kepa Arrizabalaga,GK,1.131
David de Gea,GK,1.032
Dean Henderson,GK,1.104
Tom Heaton,GK,1.104
Marcos Alonso,DEF,1.3679999999999999
Mason Mount,MID,1.8290000000000002
Kai Havertz,MID,1.881
Timo Werner,FWD,1.76
Cristiano Ronaldo dos Santos Aveiro,FWD,1.486
